mon_azon,mon_name,mon_group,mon_lvl,mon_hp,mon_ai,mon_range,mon_sight1,mon_sight2,mon_exp,mon_str,mon_hea,mon_int,mon_wis,mon_agi,mon_mp,mon_attspd,mon_otp,mon_eva,mon_minatt,mon_maxatt,mon_mag1,mon_mag2,mon_def1,mon_def2,mon_absorb,mon_move1,mon_move2,mon_res1,mon_res2,mon_res3,mon_res4,mon_res5,mon_pic,mon_3d
89,"Maid of Honor of the Royal Tomb 2",9,57,,2,28,200,320,997,130,98,64,50,68,150,1400,86,62,345,408,0,0,135,108,21,1500,500,29,29,29,41,41,58,"M081_B1.gb#57$Tex\M081.GTX$0$-1$0 M081_B2.gb#57$Tex\M081.GTX$0$-1$0 M081_B3.gb#57$Tex\M081.GTX$0$-1$0 M081_B4.gb#57$Tex\M081.GTX$0$-1$0"
90,"Minister of the Royal Tomb 3",9,57,,2,40,280,320,997,130,98,64,50,68,300,1400,86,62,345,408,0,0,135,108,21,1500,500,30,30,30,41,41,57,"M080_B1.gb#57$Tex\M080.GTX$0$-1$0 M080_B2.gb#57$Tex\M080.GTX$0$-1$0 M080_B3.gb#57$Tex\M080.GTX$0$-1$0"
91,"Maid of Honor of the Royal Tomb 3",9,57,,2,40,280,320,997,130,98,64,50,68,300,1400,86,62,345,408,0,0,135,108,21,1500,500,30,30,30,41,41,58,"M081_B1.gb#57$Tex\M081.GTX$0$-1$0 M081_B2.gb#57$Tex\M081.GTX$0$-1$0 M081_B3.gb#57$Tex\M081.GTX$0$-1$0 M081_B4.gb#57$Tex\M081.GTX$0$-1$0"
92,"Giant Doggebi D1",8,57,4503,2,28,190,320,997,135,100,10,10,68,70,1600,86,62,315,400,0,0,120,93,21,1600,500,26,26,26,40,41,54,"M049_B1.gb#75$Tex\M049.GTX$0#0$-1$0 M049_B2.gb#57$Tex\M049.GTX$0$-1$0 M049_B3.gb#57$Tex\M049.GTX$0$-1$0"
93,"Devil Troop of Madness D1",7,57,2718,2,34,190,320,997,120,74,10,10,57,70,1600,86,59,375,376,0,0,80,70,15,1400,600,32,32,32,41,41,47,"M057_H1.gb#57$Tex\M057.GTX$0$-1$0"
94,"High Class Doggebi of Monster Face 2",13,57,5103,2,28,190,320,1020,134,100,10,10,68,70,1600,86,62,318,410,0,0,121,93,21,1600,500,26,26,26,40,41,49,"M044_B1.gb#75$Tex\M044.GTX$0#0$-1$0 M044_B2.gb#57$Tex\M044.GTX$0$-1$0 M044_B3.gb#57$Tex\M044.GTX$0$-1$0"
95,"The Royal Tomb Keeper with Sword 1",9,58,,2,28,200,320,1055,132,101,72,50,70,150,1400,87,63,348,410,0,0,137,109,22,1500,500,30,30,30,42,42,59,"M082_B1.gb#57$Tex\M082.GTX$0$-1$0 M082_B2.gb#57$Tex\M082.GTX$0$-1$0 M082_B3.gb#57$Tex\M082.GTX$0$-1$0 M082_B4.gb#57$Tex\M082_1.GTX$0$-1$0"
96,"The Royal Tomb Keeper with Sword 2",9,58,,2,28,200,320,1055,132,101,72,50,70,150,1400,87,63,348,410,0,0,137,109,22,1500,500,30,30,30,42,42,59,"M082_B1.gb#57$Tex\M082.GTX$0$-1$0 M082_B2.gb#57$Tex\M082.GTX$0$-1$0 M082_B3.gb#57$Tex\M082.GTX$0$-1$0 M082_B4.gb#57$Tex\M082_1.GTX$0$-1$0"
97,"The Royal Tomb Keeper with Ball 1",9,58,,2,32,200,320,1055,132,101,72,50,70,150,1400,87,63,348,410,0,0,137,109,22,1500,500,30,30,30,42,42,59,"M085_B1.gb#57$Tex\M085.GTX$0$-1$0 M085_B2.gb#57$Tex\M085.GTX$0$-1$0 M085_B3.gb#57$Tex\M085_1.GTX$0$-1$0"
98,"The Royal Tomb Keeper with Ball 2",9,58,,2,28,200,320,1055,132,101,72,50,70,150,1400,87,63,348,410,0,0,137,109,22,1500,500,30,30,30,42,42,59,"M085_B1.gb#57$Tex\M085.GTX$0$-1$0 M085_B2.gb#57$Tex\M085.GTX$0$-1$0 M085_B3.gb#57$Tex\M085_1.GTX$0$-1$0"
99,"The Royal Tomb Keeper with Spear 1",9,58,,2,36,280,320,1055,132,101,72,50,70,300,1400,87,63,348,410,0,0,137,109,22,1500,500,31,31,31,42,42,60,"M084_B1.gb#57$Tex\M084.GTX$0$-1$0 M084_B2.gb#57$Tex\M084.GTX$0$-1$0 M084_B3.gb#57$Tex\M084_1.GTX$0$-1$0"
100,"The Royal Tomb Keeper with Spear 2",9,58,,2,36,280,320,1055,132,101,72,50,70,300,1400,87,63,348,410,0,0,137,109,22,1500,500,31,31,31,42,42,60,"M084_B1.gb#57$Tex\M084.GTX$0$-1$0 M084_B2.gb#57$Tex\M084.GTX$0$-1$0 M084_B3.gb#57$Tex\M084_1.GTX$0$-1$0"
101,"The Royal Tomb Keeper with Shield 1",9,58,,2,48,280,320,1055,132,101,72,50,70,300,1400,87,63,348,410,0,0,137,109,22,1500,500,31,31,31,42,42,59,"M083_B1.gb#57$Tex\M083.GTX$0$-1$0 M083_B2.gb#57$Tex\M083.GTX$0$-1$0 M083_B3.gb#57$Tex\M083_1.GTX$0$-1$0 M083_B4.gb#57$Tex\M083_2.GTX$0$-1$0"
102,"The Royal Tomb Keeper with Shield 2",9,58,,2,36,280,320,1055,132,101,72,50,70,300,1400,87,63,348,410,0,0,137,109,22,1500,500,31,31,31,42,42,59,"M083_B1.gb#57$Tex\M083.GTX$0$-1$0 M083_B2.gb#57$Tex\M083.GTX$0$-1$0 M083_B3.gb#57$Tex\M083_1.GTX$0$-1$0 M083_B4.gb#57$Tex\M083_2.GTX$0$-1$0"
103,"Guardian of Doggebi D1",8,58,4800,2,28,190,320,1055,136,102,10,10,70,70,1600,87,63,318,410,0,0,122,94,22,1600,500,27,27,27,40,42,55,"M050_B1.gb#57$Tex\M050.GTX$0$-1$0 M050_B2.gb#57$Tex\M050.GTX$0$-1$0 M050_B3.gb#57$Tex\M050.GTX$0$-1$0"
104,"Devil Troop of Anger D1",7,58,2795,2,34,190,320,1055,122,76,10,10,58,70,1600,87,60,378,379,0,0,81,71,15,1400,600,33,33,33,42,42,48,"M058_H1.gb#57$Tex\M058.GTX$0$-1$0"
105,"High Class Doggebi of Monster Face 3",13,58,5200,2,28,190,320,1088,136,102,10,10,68,70,1600,87,63,324,420,0,0,123,94,21,1600,500,26,26,26,40,41,49,"M044_B1.gb#75$Tex\M044.GTX$0#0$-1$0 M044_B2.gb#57$Tex\M044.GTX$0$-1$0 M044_B3.gb#57$Tex\M044.GTX$0$-1$0"
106,"High Class Doggebi with a Gong 1",13,58,5383,2,28,190,320,1156,138,104,10,10,70,70,1600,88,63,330,430,0,0,125,95,22,1600,500,27,27,27,41,42,50,"M045_B1.gb#129$Tex\M045.GTX#Tex\M045_1.GTX$0#1#0#1#1$-1$0 M045_B2.gb#57$Tex\M045.GTX$0$-1$0 M045_B3.gb#57$Tex\M045.GTX$0$-1$0"
107,"The Royal Tomb Keeper with Sword 3",9,59,,2,28,200,320,1100,134,102,72,50,70,150,1400,87,63,350,413,0,0,138,110,22,1500,500,30,30,30,42,42,59,"M082_B1.gb#57$Tex\M082.GTX$0$-1$0 M082_B2.gb#57$Tex\M082.GTX$0$-1$0 M082_B3.gb#57$Tex\M082.GTX$0$-1$0 M082_B4.gb#57$Tex\M082_1.GTX$0$-1$0"
108,"The Royal Tomb Keeper with Ball 3",9,59,,2,28,200,320,1100,134,102,72,50,70,150,1400,87,63,350,413,0,0,138,110,22,1500,500,30,30,30,42,42,59,"M085_B1.gb#57$Tex\M085.GTX$0$-1$0 M085_B2.gb#57$Tex\M085.GTX$0$-1$0 M085_B3.gb#57$Tex\M085_1.GTX$0$-1$0"
109,"The Royal Tomb Keeper with Spear 3",9,59,,2,32,200,320,1100,134,102,72,50,70,150,1400,87,63,350,413,0,0,138,110,22,1500,500,30,30,30,42,42,60,"M084_B1.gb#57$Tex\M084.GTX$0$-1$0 M084_B2.gb#57$Tex\M084.GTX$0$-1$0 M084_B3.gb#57$Tex\M084_1.GTX$0$-1$0"
110,"The Royal Tomb Keeper with Shield 3",9,59,,2,28,200,320,1100,134,102,72,50,70,150,1400,87,63,350,413,0,0,138,110,22,1500,500,30,30,30,42,42,59,"M083_B1.gb#57$Tex\M083.GTX$0$-1$0 M083_B2.gb#57$Tex\M083.GTX$0$-1$0 M083_B3.gb#57$Tex\M083_1.GTX$0$-1$0 M083_B4.gb#57$Tex\M083_2.GTX$0$-1$0"
111,"High Class Doggebi with a Gong 2",13,59,5484,2,28,190,320,1224,138,106,10,10,70,70,1600,89,64,336,440,0,0,127,96,22,1600,500,27,27,27,41,42,50,"M045_B1.gb#129$Tex\M045.GTX#Tex\M045_1.GTX$0#1#0#1#1$-1$0 M045_B2.gb#57$Tex\M045.GTX$0$-1$0 M045_B3.gb#57$Tex\M045.GTX$0$-1$0"
112,"The Royal Tomb Keeper with Sword 4",9,60,,2,28,200,320,1145,136,103,72,50,71,150,1400,88,64,352,416,0,0,139,111,23,1500,500,31,31,31,43,43,59,"M082_B1.gb#57$Tex\M082.GTX$0$-1$0 M082_B2.gb#57$Tex\M082.GTX$0$-1$0 M082_B3.gb#57$Tex\M082.GTX$0$-1$0 M082_B4.gb#57$Tex\M082_1.GTX$0$-1$0"
113,"The Royal Tomb Keeper with Ball 4",9,60,,2,28,200,320,1145,136,103,72,50,71,150,1400,88,64,352,416,0,0,139,111,23,1500,500,31,31,31,43,43,59,"M085_B1.gb#57$Tex\M085.GTX$0$-1$0 M085_B2.gb#57$Tex\M085.GTX$0$-1$0 M085_B3.gb#57$Tex\M085_1.GTX$0$-1$0"
114,"The Royal Tomb Keeper with Spear 4",9,60,,2,32,200,320,1145,136,103,72,50,71,150,1400,88,64,352,416,0,0,139,111,23,1500,500,31,31,31,43,43,60,"M084_B1.gb#57$Tex\M084.GTX$0$-1$0 M084_B2.gb#57$Tex\M084.GTX$0$-1$0 M084_B3.gb#57$Tex\M084_1.GTX$0$-1$0"
115,"The Royal Tomb Keeper with Shield 4",9,60,,2,28,200,320,1145,136,103,72,50,71,150,1400,88,64,352,416,0,0,139,111,23,1500,500,31,31,31,43,43,59,"M083_B1.gb#57$Tex\M083.GTX$0$-1$0 M083_B2.gb#57$Tex\M083.GTX$0$-1$0 M083_B3.gb#57$Tex\M083_1.GTX$0$-1$0 M083_B4.gb#57$Tex\M083_2.GTX$0$-1$0"
116,"The Royal Tomb Keeper with Sword 5",9,60,,2,36,280,320,1145,136,103,72,50,71,300,1400,88,64,352,416,0,0,139,111,23,1500,500,32,32,32,44,44,59,"M082_B1.gb#57$Tex\M082.GTX$0$-1$0 M082_B2.gb#57$Tex\M082.GTX$0$-1$0 M082_B3.gb#57$Tex\M082.GTX$0$-1$0 M082_B4.gb#57$Tex\M082_1.GTX$0$-1$0"
117,"The Royal Tomb Keeper with Ball 5",9,60,,2,36,280,320,1145,136,103,72,50,71,300,1400,88,64,352,416,0,0,139,111,23,1500,500,32,32,32,44,44,59,"M085_B1.gb#57$Tex\M085.GTX$0$-1$0 M085_B2.gb#57$Tex\M085.GTX$0$-1$0 M085_B3.gb#57$Tex\M085_1.GTX$0$-1$0"
118,"The Royal Tomb Keeper with Spear 5",9,60,,2,48,280,320,1145,136,103,72,50,71,300,1400,88,64,352,416,0,0,139,111,23,1500,500,32,32,32,44,44,60,"M084_B1.gb#57$Tex\M084.GTX$0$-1$0 M084_B2.gb#57$Tex\M084.GTX$0$-1$0 M084_B3.gb#57$Tex\M084_1.GTX$0$-1$0"
119,"The Royal Tomb Keeper with Shield 5",9,60,,2,36,280,320,1145,136,103,72,50,71,300,1400,88,64,352,416,0,0,139,111,23,1500,500,32,32,32,44,44,59,"M083_B1.gb#57$Tex\M083.GTX$0$-1$0 M083_B2.gb#57$Tex\M083.GTX$0$-1$0 M083_B3.gb#57$Tex\M083_1.GTX$0$-1$0 M083_B4.gb#57$Tex\M083_2.GTX$0$-1$0"
120,"High Class Doggebi with a Gong 3",13,60,5587,2,28,190,320,1292,140,108,10,10,70,70,1600,90,64,342,450,0,0,129,97,22,1600,500,27,27,27,41,42,50,"M045_B1.gb#129$Tex\M045.GTX#Tex\M045_1.GTX$0#1#0#1#1$-1$0 M045_B2.gb#57$Tex\M045.GTX$0$-1$0 M045_B3.gb#57$Tex\M045.GTX$0$-1$0"
121,"High Class Drunken Doggebi 1",13,60,5775,2,28,190,320,1360,142,110,10,10,72,70,1600,91,65,348,460,0,0,131,98,23,1600,500,28,28,28,42,43,51,"M046_B1.gb#75$Tex\M046.GTX$0#0$-1$0 M046_B2.gb#57$Tex\M046.GTX$0$-1$0 M046_B3.gb#57$Tex\M046.GTX$0$-1$0"
122,"The Royal Tomb Keeper with Sword 6",9,61,,2,28,200,320,1190,138,104,72,50,71,150,1400,89,64,354,419,0,0,140,112,23,1500,500,31,31,31,43,43,59,"M082_B1.gb#57$Tex\M082.GTX$0$-1$0 M082_B2.gb#57$Tex\M082.GTX$0$-1$0 M082_B3.gb#57$Tex\M082.GTX$0$-1$0 M082_B4.gb#57$Tex\M082_1.GTX$0$-1$0"
123,"The Royal Tomb Keeper with Ball 6",9,61,,2,28,200,320,1190,138,104,72,50,71,150,1400,89,64,354,419,0,0,140,112,23,1500,500,31,31,31,43,43,59,"M085_B1.gb#57$Tex\M085.GTX$0$-1$0 M085_B2.gb#57$Tex\M085.GTX$0$-1$0 M085_B3.gb#57$Tex\M085_1.GTX$0$-1$0"
124,"The Royal Tomb Keeper with Spear 6",9,61,,2,32,200,320,1190,138,104,72,50,71,150,1400,89,64,354,419,0,0,140,112,23,1500,500,31,31,31,43,43,60,"M084_B1.gb#57$Tex\M084.GTX$0$-1$0 M084_B2.gb#57$Tex\M084.GTX$0$-1$0 M084_B3.gb#57$Tex\M084_1.GTX$0$-1$0"
125,"The Royal Tomb Keeper with Shield 6",9,61,,2,28,200,320,1190,138,104,72,50,71,150,1400,89,64,354,419,0,0,140,112,23,1500,500,31,31,31,43,43,59,"M083_B1.gb#57$Tex\M083.GTX$0$-1$0 M083_B2.gb#57$Tex\M083.GTX$0$-1$0 M083_B3.gb#57$Tex\M083_1.GTX$0$-1$0 M083_B4.gb#57$Tex\M083_2.GTX$0$-1$0"
126,"Traitor Warrior 1",10,61,,2,32,200,320,1400,140,110,90,50,70,300,1400,90,68,370,440,0,0,160,128,23,1600,600,28,28,28,40,40,61,"M120_B1.gb#75$Tex\M120.GTX$0#0$-1$0 M120_B2.gb#93$Tex\M120.GTX#Tex\M120_1.GTX$0#1#0$-1$0"
127,"Gigantic Species Warrior 1",11,61,5592,2,28,200,320,1400,140,110,90,50,70,300,1400,90,68,370,440,0,0,150,120,20,1600,600,33,33,33,45,45,68,"M127_B1.gb#57$Tex\M127.GTX$0$-1$0 M127_B2.gb#57$Tex\M127.GTX$0$-1$0 M127_B3.gb#57$Tex\M127.GTX$0$-1$0 M127_B4.gb#57$Tex\M127.GTX$0$-1$0 M127_B5.gb#57$Tex\M127.GTX$0$-1$0 M127_H1.gb#57$Tex\M127.GTX$0$-1$0"
128,"Warrior of Shadow Troop 1",12,61,5592,2,44,300,320,1400,140,110,90,50,70,300,1400,90,68,370,440,0,0,150,120,23,1500,500,33,33,33,45,45,75,"M160_B1.gb#57$Tex\M160.GTX$0$-1$0 M160_B2.gb#57$Tex\M160.GTX$0$-1$0 M160_B3.gb#57$Tex\M160_1.GTX$0$-1$0 M160_H1.gb#57$Tex\M160.GTX$0$-1$0"
129,"High Class Drunken Doggebi 2",13,61,5880,2,28,190,320,1428,142,112,10,10,72,70,1600,92,65,354,470,0,0,133,99,23,1600,500,28,28,28,42,43,51,"M046_B1.gb#75$Tex\M046.GTX$0#0$-1$0 M046_B2.gb#57$Tex\M046.GTX$0$-1$0 M046_B3.gb#57$Tex\M046.GTX$0$-1$0"
130,"Demon Crack Soldier 1",14,61,6029,2,44,210,320,1400,140,110,90,50,70,300,1400,90,68,370,440,0,0,150,120,23,1500,500,33,33,33,45,45,80,"M245_B1.gb#112$Tex\M215.GTX$0#0$-1$0 M245_B2.gb#112$Tex\M215.GTX#Tex\M215_2.GTX$0#1$-1$0 M245_H1.gb#112$Tex\M215_1.GTX$0#0$-1$0"
131,"Traitor Warrior 2",10,62,,2,32,200,320,1460,142,112,90,50,71,300,1400,91,68,372,448,0,0,165,132,24,1600,600,28,28,28,40,40,61,"M120_B1.gb#75$Tex\M120.GTX$0#0$-1$0 M120_B2.gb#93$Tex\M120.GTX#Tex\M120_1.GTX$0#1#0$-1$0"
132,"Gigantic Species Warrior 2",11,62,,2,28,200,320,1460,142,112,90,50,71,300,1400,91,68,372,448,0,0,155,124,21,1600,600,33,33,33,45,45,68,"M127_B1.gb#57$Tex\M127.GTX$0$-1$0 M127_B2.gb#57$Tex\M127.GTX$0$-1$0 M127_B3.gb#57$Tex\M127.GTX$0$-1$0 M127_B4.gb#57$Tex\M127.GTX$0$-1$0 M127_B5.gb#57$Tex\M127.GTX$0$-1$0 M127_H1.gb#57$Tex\M127.GTX$0$-1$0"
133,"The Royal Tomb Keeper with Sword 7",9,62,,2,36,280,320,1460,142,112,90,50,71,300,1400,91,68,372,448,0,0,145,125,24,1500,500,33,33,33,45,45,59,"M082_B1.gb#57$Tex\M082.GTX$0$-1$0 M082_B2.gb#57$Tex\M082.GTX$0$-1$0 M082_B3.gb#57$Tex\M082.GTX$0$-1$0 M082_B4.gb#57$Tex\M082_1.GTX$0$-1$0"
134,"The Royal Tomb Keeper with Ball 7",9,62,,2,36,280,320,1460,142,112,90,50,71,300,1400,91,68,372,448,0,0,145,125,24,1500,500,33,33,33,45,45,59,"M085_B1.gb#57$Tex\M085.GTX$0$-1$0 M085_B2.gb#57$Tex\M085.GTX$0$-1$0 M085_B3.gb#57$Tex\M085_1.GTX$0$-1$0"
135,"The Royal Tomb Keeper with Spear 7",9,62,,2,48,280,320,1460,142,112,90,50,71,300,1400,91,68,372,448,0,0,145,125,24,1500,500,33,33,33,45,45,60,"M084_B1.gb#57$Tex\M084.GTX$0$-1$0 M084_B2.gb#57$Tex\M084.GTX$0$-1$0 M084_B3.gb#57$Tex\M084_1.GTX$0$-1$0"
136,"The Royal Tomb Keeper with Shield 7",9,62,,2,36,280,320,1460,142,112,90,50,71,300,1400,91,68,372,448,0,0,145,125,24,1500,500,33,33,33,45,45,59,"M083_B1.gb#57$Tex\M083.GTX$0$-1$0 M083_B2.gb#57$Tex\M083.GTX$0$-1$0 M083_B3.gb#57$Tex\M083_1.GTX$0$-1$0 M083_B4.gb#57$Tex\M083_2.GTX$0$-1$0"
137,"Warrior of Shadow Troop 2",12,62,,2,44,300,320,1460,142,112,90,50,71,300,1400,91,68,372,448,0,0,155,124,24,24,1500,500,33,33,33,45,75,"M160_B1.gb#57$Tex\M160.GTX$0$-1$0 M160_B2.gb#57$Tex\M160.GTX$0$-1$0 M160_B3.gb#57$Tex\M160_1.GTX$0$-1$0 M160_H1.gb#57$Tex\M160.GTX$0$-1$0"
138,"High Class Drunken Doggebi 3",13,62,5988,2,28,190,320,1496,144,114,10,10,72,70,1600,93,66,360,480,0,0,135,100,23,1600,500,28,28,28,42,43,51,"M046_B1.gb#75$Tex\M046.GTX$0#0$-1$0 M046_B2.gb#57$Tex\M046.GTX$0$-1$0 M046_B3.gb#57$Tex\M046.GTX$0$-1$0"
139,"Demon Crack Soldier 2",14,62,6143,2,44,210,320,1460,142,112,90,50,71,300,1400,91,68,373,450,0,0,155,124,23,1500,500,33,33,33,45,45,80,"M245_B1.gb#112$Tex\M215.GTX$0#0$-1$0 M245_B2.gb#112$Tex\M215.GTX#Tex\M215_2.GTX$0#1$-1$0 M245_H1.gb#112$Tex\M215_1.GTX$0#0$-1$0"
140,"Traitor Warrior 3",10,63,,2,32,200,320,1520,144,114,90,50,72,300,1400,92,68,374,456,0,0,170,136,24,1600,600,28,28,28,40,40,61,"M120_B1.gb#75$Tex\M120.GTX$0#0$-1$0 M120_B2.gb#93$Tex\M120.GTX#Tex\M120_1.GTX$0#1#0$-1$0"
141,"Gigantic Species Warrior 3",11,63,,2,28,200,320,1520,144,114,90,50,72,300,1400,92,68,374,456,0,0,160,128,21,1600,600,33,33,33,45,45,68,"M127_B1.gb#57$Tex\M127.GTX$0$-1$0 M127_B2.gb#57$Tex\M127.GTX$0$-1$0 M127_B3.gb#57$Tex\M127.GTX$0$-1$0 M127_B4.gb#57$Tex\M127.GTX$0$-1$0 M127_B5.gb#57$Tex\M127.GTX$0$-1$0 M127_H1.gb#57$Tex\M127.GTX$0$-1$0"
142,"Warrior of Shadow Troop 3",12,63,,2,44,300,320,1520,144,114,90,50,72,300,1400,92,68,374,456,0,0,160,128,24,1500,500,33,33,33,45,45,75,"M160_B1.gb#57$Tex\M160.GTX$0$-1$0 M160_B2.gb#57$Tex\M160.GTX$0$-1$0 M160_B3.gb#57$Tex\M160_1.GTX$0$-1$0 M160_H1.gb#57$Tex\M160.GTX$0$-1$0"
143,"High Class Doggebi with a Mask of Black Crow 1",13,63,6198,2,28,190,320,1564,144,116,10,10,74,70,1600,94,66,366,490,0,0,137,101,24,1600,500,29,29,29,43,44,52,"M047_B1.gb#75$Tex\M047.GTX$0#0$-1$0 M047_B2.gb#57$Tex\M047.GTX$0$-1$0 M047_B3.gb#57$Tex\M047.GTX$0$-1$0"
144,"Demon Crack Soldier 3",14,63,,2,44,210,320,1520,144,114,90,50,72,300,1400,92,68,376,460,0,0,160,128,23,1500,500,33,33,33,45,45,80,"M245_B1.gb#112$Tex\M215.GTX$0#0$-1$0 M245_B2.gb#112$Tex\M215.GTX#Tex\M215_2.GTX$0#1$-1$0 M245_H1.gb#112$Tex\M215_1.GTX$0#0$-1$0"
145,"Trained Traitor Warrior 1",10,64,,2,32,200,320,1580,146,116,90,50,73,300,1400,93,69,380,480,0,0,175,140,24,1600,600,29,29,29,41,41,62,"M121_B1.gb#75$Tex\M121.GTX$0#0$-1$0 M121_B2.gb#75$Tex\M121.GTX#Tex\M121_1.GTX$0#1$-1$0"
146,"Trained Traitor Archer 1",10,64,,2,180,200,320,1580,136,116,90,50,75,300,1600,93,69,360,470,0,0,175,140,24,1600,600,29,29,29,41,41,63,"M122_B1.gb#75$Tex\M122.GTX$0#0$-1$0 M122_B2.gb#75$Tex\M122.GTX#Tex\M122_1.GTX$0#1$-1$0"
147,"Gigantic Species Archer 1",11,64,,2,180,200,320,1580,136,116,90,50,75,300,1400,93,69,360,470,0,0,165,132,21,1600,600,34,34,34,46,46,69,"M128_B1.gb#57$Tex\M127.GTX$0$-1$0 M128_B2.gb#57$Tex\M127.GTX$0$-1$0 M128_B3.gb#57$Tex\M127.GTX$0$-1$0 M128_B4.gb#57$Tex\M127.GTX$0$-1$0 M128_B5.gb#57$Tex\M127.GTX$0$-1$0 M128_B6.gb#57$Tex\M127_2.GTX$0$-1$0 M128_H1.gb#57$Tex\M127.GTX$0$-1$0"
148,"Gigantic Species Shock Trooper 1",11,64,,2,28,200,320,1580,146,116,90,50,73,300,1600,93,69,380,480,0,0,165,132,21,1600,600,34,34,34,46,46,70,"M129_B1.gb#57$Tex\M129.GTX$0$-1$0 M129_B2.gb#57$Tex\M129.GTX$0$-1$0 M129_B3.gb#57$Tex\M129.GTX$0$-1$0 M129_B4.gb#57$Tex\M129.GTX$0$-1$0 M129_B5.gb#57$Tex\M129.GTX$0$-1$0 M129_H1.gb#57$Tex\M129.GTX$0$-1$0"
149,"The Royal Tomb Keeper with Sword 8",9,64,,2,36,280,320,1580,146,116,90,50,73,300,1400,93,69,380,480,0,0,155,132,24,1500,500,34,34,34,46,46,59,"M082_B1.gb#57$Tex\M082.GTX$0$-1$0 M082_B2.gb#57$Tex\M082.GTX$0$-1$0 M082_B3.gb#57$Tex\M082.GTX$0$-1$0 M082_B4.gb#57$Tex\M082_1.GTX$0$-1$0"
150,"The Royal Tomb Keeper with Ball 8",9,64,,2,36,280,320,1580,146,116,90,50,73,300,1400,93,69,380,480,0,0,155,132,24,1500,500,34,34,34,46,46,59,"M085_B1.gb#57$Tex\M085.GTX$0$-1$0 M085_B2.gb#57$Tex\M085.GTX$0$-1$0 M085_B3.gb#57$Tex\M085_1.GTX$0$-1$0"
151,"The Royal Tomb Keeper with Spear 8",9,64,,2,48,280,320,1580,146,116,90,50,73,300,1400,93,69,380,480,0,0,155,132,24,1500,500,34,34,34,46,46,60,"M084_B1.gb#57$Tex\M084.GTX$0$-1$0 M084_B2.gb#57$Tex\M084.GTX$0$-1$0 M084_B3.gb#57$Tex\M084_1.GTX$0$-1$0"
152,"The Royal Tomb Keeper with Shield 8",9,64,,2,36,280,320,1580,146,116,90,50,73,300,1400,93,69,380,480,0,0,155,132,24,1500,500,34,34,34,46,46,59,"M083_B1.gb#57$Tex\M083.GTX$0$-1$0 M083_B2.gb#57$Tex\M083.GTX$0$-1$0 M083_B3.gb#57$Tex\M083_1.GTX$0$-1$0 M083_B4.gb#57$Tex\M083_2.GTX$0$-1$0"
153,"Warrior of Shadow Troop 4",12,64,,2,44,300,320,1580,146,116,90,50,73,300,1400,93,69,380,480,0,0,165,132,24,1500,500,34,34,34,46,46,75,"M160_B1.gb#57$Tex\M160.GTX$0$-1$0 M160_B2.gb#57$Tex\M160.GTX$0$-1$0 M160_B3.gb#57$Tex\M160_1.GTX$0$-1$0 M160_H1.gb#57$Tex\M160.GTX$0$-1$0"
154,"High Class Doggebi with a Mask of Black Crow 2",13,64,6308,2,28,190,320,1632,146,118,10,10,74,70,1600,95,67,372,500,0,0,139,102,24,1600,500,29,29,29,43,44,52,"M047_B1.gb#75$Tex\M047.GTX$0#0$-1$0 M047_B2.gb#57$Tex\M047.GTX$0$-1$0 M047_B3.gb#57$Tex\M047.GTX$0$-1$0"
155,"Chief of Demon Crack Troop 1",14,64,,2,44,210,320,1580,146,116,90,50,73,300,1400,93,69,379,470,0,0,165,132,24,1500,500,34,34,34,46,46,81,"M248_B1.gb#130$Tex\M216.GTX#Tex\M216_1.GTX$0#0#1$-1$0 M248_B2.gb#112$Tex\M216.GTX#Tex\M216_2.GTX$0#1$-1$0 M248_H1.gb#112$Tex\M216_1.GTX$0#0$-1$0"
156,"Trained Traitor Archer 2",10,65,,2,32,200,320,1640,148,118,90,50,74,300,1400,94,69,382,488,0,0,180,144,25,1600,600,29,29,29,41,41,63,"M122_B1.gb#75$Tex\M122.GTX$0#0$-1$0 M122_B2.gb#75$Tex\M122.GTX#Tex\M122_1.GTX$0#1$-1$0"
157,"Trained Traitor Warrior 2",10,65,,2,180,200,320,1640,138,118,90,50,76,300,1600,94,69,362,478,0,0,180,144,25,1600,600,29,29,29,41,41,62,"M121_B1.gb#75$Tex\M121.GTX$0#0$-1$0 M121_B2.gb#75$Tex\M121.GTX#Tex\M121_1.GTX$0#1$-1$0"
158,"Gigantic Species Archer 2",11,65,,2,180,200,320,1640,138,118,90,50,76,300,1400,94,69,362,478,0,0,170,136,22,1600,600,34,34,34,46,46,69,"M128_B1.gb#57$Tex\M127.GTX$0$-1$0 M128_B2.gb#57$Tex\M127.GTX$0$-1$0 M128_B3.gb#57$Tex\M127.GTX$0$-1$0 M128_B4.gb#57$Tex\M127.GTX$0$-1$0 M128_B5.gb#57$Tex\M127.GTX$0$-1$0 M128_B6.gb#57$Tex\M127_2.GTX$0$-1$0 M128_H1.gb#57$Tex\M127.GTX$0$-1$0"
