que_id,que_type,que_lvl,que_name,que_monst,que_item,que_text,que_rew,que_pic1,que_pic2,que_pic3
"54","Quest",55,"The Dead People Around The Tomb(3)","Minister of the Royal Tomb","5 Books from Judicator","1. Talk to Gang-Man (Giant Bird - 15)
2. Hunt monsters
3. Go back to Gang-Man (Giant Bird - 15)","+2.562.732 XP, +1 Contribution point",49,-1,5
"54","RQ",67,"Twisted Demon Patrol Head","Twisted Demon Patrol","15 Twisted Demon Patrol Head",,"+ 75.000 XP",96,-1,0
"55","Quest",56,"The Dead People Around The Tomb(4)","Maid of Honor of the Royal Tomb","5 Harps from Maidens","1. Talk to Gang-Man (Giant Bird - 15)
2. Hunt monsters
3. Go back to Gang-Man (Giant Bird - 15)","+3.076.950 XP, +1 Contribution point",50,-1,5
"55","RQ",68,"Twisted Demon Warrior Head","Twisted Demon Warrior","10 Twisted Demon Warrior Head",,"+ 80.000 XP",96,-1,0
"56","Quest",57,"The Dead People Around The Tomb(5)","The Royal Tomb Keeper","5 Swords of Tomb Keepers","1. Talk to Gang-Man (Giant Bird - 15)
2. Hunt monsters
3. Go back to Gang-Man (Giant Bird - 15)","+3.694.082 XP, +1 Contribution point",51,-1,5
"56","RQ",69,"Twisted Demon Soldier Head","Twisted Demon Soldier","20 Twisted Demon Soldier Head",,"+ 89.265 XP",96,-1,0
"57","Quest",58,"The Dead People Around The Tomb(6)","The Royal Tomb Keeper","5 Shields of Tomb keeper","1. Talk to Gang-Man (Giant Bird - 15)
2. Hunt monsters
3. Go back to Gang-Man (Giant Bird - 15)","+4.434.712 XP, +1 Contribution point",52,-1,5
"57","RQ",70,"Twisted Demon Defender Head","Twisted Demon Defender","5 Twisted Demon Defender Head",,,96,-1,0
"58","Quest",59,"The Dead People Around The Tomb(7)","The Royal Tomb Keeper","5 Sticks of Tomb keeper","1. Talk to Gang-Man (Giant Bird - 15)
2. Hunt monsters
3. Go back to Gang-Man (Giant Bird - 15)","+5.323.541 XP, +1 Contribution point",53,-1,5
"58","RQ",86,"Wild Boar","Wild Boar","80 Wild Boar's Head",,,58,-1,0
"59","Quest",60,"The Dead People Around The Tomb(8)","The Royal Tomb Keeper","5 Hammers of Tomb keeper","1. Talk to Gang-Man (Giant Bird - 15)
2. Hunt monsters
3. Go back to Gang-Man (Giant Bird - 15)","+6.390.210 XP, +1 Contribution point",54,-1,5
"59","RQ",87,"Knoll's Head","Knoll","100 Knoll's Head",,,59,-1,0
"60","Quest",70,"Quality of Mu-Geuk warior","Catapults, Crazy Demon Worker","10 Catapults leaver, 30 Crazy Demon Workers Head","1. Talk to Soo-Ryun
2. Hunt monsters
3. Go back to Soo-Ryun","-",-1,-1,0
"60","RQ",88,"Degenarated Twisted Demon Head","Degenarated Twisted Demon","120 Degenarated Twisted Demon's Head",,,60,-1,0
"61","Quest",70,"Block up Goblins information interchange","-","-","1. Talk to Soo-Ryun","-",-1,-1,0
"61","RQ",89,"Goblin's Head","Goblin","150 Goblin's Head",,,61,-1,0
"62","Quest",70,"Source of Demons power","-","-","1. Talk to Soo-Ryun","-",-1,-1,0
"62","RQ",90,"Guard of D'evah's Head","Guard of D'evah","200 Guard of D'evah's Head",,,62,-1,0
"63","Quest",70,"Death of the chief of Crazy Demon Workers","-","-","1. Talk to Soo-Ryun","-",-1,-1,0
"64","Quest",70,"Wiping out the remnants of skeletons","-","-","1. Talk to Soo-Ryun","-",-1,-1,0
"65","Quest",70,"Yun Hwa's request","Elite Skeleton","50 Elite Skeleton's Head","1. Talk to Yun-Hwa
2. Hunt monsters
3. Go to the Explorer at Northwest","-",-1,-1,0
"66","Quest",70,"Making a complete suit of armor","-","-","1. Talk to Yun-Hwa","-",-1,-1,0
"67","Quest",70,"Restoring soldiers health","-","-","1. Talk to Yun-Hwa","-",-1,-1,0
"68","Quest",70,"The Knoll's temporary fort","-","-","1. Talk to Yun-Hwa","-",-1,-1,0
"69","Quest",70,"An urgent ssession","-","-","1. Talk to Yun-Hwa","-",-1,-1,0
"70","Quest",70,"Skeleton Archer's suppression","Skeleton Archer","10 Skeleton Archer's Head","1. Talk to Dae-Gil
2. Hunt monsters
3. Go back to Dae-Gil","-",-1,-1,0
"71","Quest",70,"Wild Boar's horn","-","-","1. Talk to Dae-Gil","-",-1,-1,0
"72","Quest",70,"The end of Demon tribe","-","-","1. Talk to Dae-Gil","-",-1,-1,0
"73","Quest",70,"D'evah's suspicious activities","-","-","1. Talk to Dae-Gil","-",-1,-1,0
"74","Quest",70,"Guard of D'evah's Commander","-","-","1. Talk to Dae-Gil","-",-1,-1,0
