sk_megn,sk_type,sk_poz,sk_desc,sk_order,sk_pic,sk_lvl,sk_pre,sk_form,sk_pars,sk_maxpars,sk_mana,sk_charge,sk_coold,sk_range,sk_lasting,sk_honor
"Curse of Agility","2",18,"Decrease the target's Agility temporally",10,31,"56 64|1 1","|0","Agility - #0 %","sk_lvl 20 *","0","42","0","0","0","50 sk_lvl 20 * +",0
"Curse of Critical Hit","2",18,"Decrease the activation percentage of Critical Hit temporally",7,28,"54 67|1 1","|0","Percentage of Critical Hit - #0 %","25 sk_lvl 25 * +","0","26","0","0","0","50 sk_lvl 20 * +",0
"Curse of Defense","2",18,"Decrease the target's Defense temporally",13,34,"59 67|1 1","|0","Short Range Defense - #0 %
Long-Range Defense - #1 %","4 sk_lvl 8 * +|2 sk_lvl 6 * +","0|0","83","0","0","0","30 sk_lvl 10 * +",0
"Curse of Health","2",18,"Decrease the target's health temporally",9,30,"56 63|1 1","|0","Health - #0 %","sk_lvl 12 *","0","38","0","0","0","50 sk_lvl 20 * +",0
"Curse of Intelligence","2",18,"Decrease the target's Intelligence temporally",11,32,"57 64|1 1","|0","Intelligence - #0 %","sk_lvl 24 *","0","42","0","0","0","50 sk_lvl 20 * +",0
"Curse Resistance","2",17,"Increase the resistance on Curse",8,18,"55 65|1 1","|0","Curse Resistance + #0 %","10 sk_lvl 5 * +","0","22 sk_lvl 14 * +","0","0","0","900",0
"Curse of Strength","2",18,"Decrease the target's strength temporally",8,29,"55 63|1 1","|0","Strength - #0 %","sk_lvl 24 *","0","38","0","0","0","50 sk_lvl 20 * +",0
"Curse of Wisdom","2",18,"Decrease the target's Wisdom temporally",12,33,"58 66|1 1","|0","Wisdom - #0 %","sk_lvl 16 *","0","38","0","0","0","50 sk_lvl 20 * +",0
"Decrease of Target Range","2",18,"Decrease 50% 0f the range of selected target",4,25,"52|1","|0","-","0","0","50","0","0","0","15",0
"Defense","1",9,"Defend the opponent’s attack with the shield.
Shield must be equipped",2,47,"30 35 40 45 50 60|3 3 3 3 3 2","|0","Short distance Defense + #0 %
Long distance Defense + #1 %","sk_lvl|sk_lvl 3 +","0|0","0","0","0","0","0",1
"Defense Improvement","2",4,"Increase the selected target's defense",7,111,"53 62|1 1","|0","Add. Close Defense : #0 Add. Long-range Defense : #1","5 sk_lvl 30 * +|5 sk_lvl 20 * +","0|0","41 sk_lvl 31 * +","2000","5000","128","600",0
"Defensive incantation","2",7,"Protect one's body with power of earth.",2,124,"30 35 40 45 50 60|1 1 1 1 1 1","|0","Absorption Rate + (1,1,2,2,2,3), Defense + (3,5,7,10,15,21)","0","0","0","0","0","0","900",0
"Distance Control","1",4,"Increase the range of [Soul Destruction]",15,119,"58|1","|0","Add. Range + ??","0","0","0","0","0","0","0",0
"Emergency Escape","2",17,"Run fastly to escape from the danger temporally.
It effects on all your group members who are near you",11,21,"59|1","|0","-","0","0","350","0","0","0","30",0
"Elastic Shield","2",11,"Increase the Defense of all member of group instantly",12,69,"58|1","|0","Close Defense + 350
Long Distance Defense + 300","0","0","475","0","1800000","0","15",0
"Explosive Burst","2",3,"Big explosion is made on the selected area.
All enemies get damages",10,101,"64|1","Fire Blow|5","Magic Attack Point + #0","580 3 ch_lvl * + 2 ch_int * sk_lvl * 5 / +","860","142","1800","2200","180","0",0
"Explosion","2",3,"The selected target gets hot wind and it's exploded and burned",8,99,"62 68|1 1","Flame Bomb|2","Magic Attack Point + #0","380 3 ch_lvl * 2 / + 7 ch_int * sk_lvl * 3 / +","790","32 sk_lvl 4 * +","1400","600","180","0",0
"Fatal Blow","1",15,"Additional damage to the normal attack will be operating",3,2,"10 34 47 60|5 5 5 2","|0","Chance of Operation : #0 % Add. Attack : #1 %","sk_lvl|50 sk_lvl 2 * +","10|0","0","0","0","0","0",1
"Fire Blow","2",2,"When the Fire Blow is active
All the enemies get fired",6,84,"33|5","Fire Magic|10","Magic Attack Point + #0","5 ch_lvl * 6 / 3 ch_int * sk_lvl * 5 / +","500","32 sk_lvl 6 * +","2100","600","180","0",0
"Flame Bomb","2",3,"Explode and fire up the selected target",3,94,"52 59|1 1","Fire Magic|20","Magic Attack Point + #0","380 3 ch_lvl * 2 / + 1 ch_int * sk_lvl * 2 / +","720","16 sk_lvl 4 * +","1300","600","180","0",0
"Fire Resistance","2",17,"Increase the resistance on Fire",3,13,"52 64|1 1","|0","Fire Resistance + #0 %","10 sk_lvl 5 * +","0","42 sk_lvl 11 * +","0","0","0","900",0
"Flamy Arrow","2",16,"Shoot the arrow with flame to the opponent continuously",1,6,"30|5","|0","Add. Attack Point + #0 Add. On-target Point + #1","sk_lvl 12 *|sk_lvl 2 *","0|0","4 sk_lvl +","800","0","0","0",0
"Fire Magic","2",1,"Throw fire ball to the enemy to give fire damage",3,75,"8|20","|0","Magic Attack Point + #0","3 ch_lvl * 4 / 3 ch_int * sk_lvl * 20 / +","450","7 sk_lvl 4 / +","1300","600","110 sk_lvl 3 * +","0",0
"Focus Shot","2",17,"Focus the target slowly for more accurate and powerful attack
Attack Power is depend on the time you focus",1,11,"50 56 60 66 69|1 1 1 1 1","|0","Add. Attack Point + ??","0","0","25 sk_lvl 5 * +","0","0","0","0",0
"Force of Defense","2",11,"Increasing your defense for a while",1,58,"50 56 62 70|1 1 1 1","|0","Add. Close Defense : #0 %
Add. Log-range Defense : #1 %","14 sk_lvl 7 * +|14 sk_lvl 3 * +","0|0","300 sk_lvl 20 * +","0","30000","0","1200",0
"Frost","2",2,"Freeze the targeted enemy for a while of time
However, it canceled when it gets attacked",12,90,"43|1","Splashy Ice|1","Continuation time 5 sec","0","0","47","2000","600","230","0",0
"Flashing Slash","2",9,"Stiffens the enemy for a short amount of time",3,48,"39|3","Transcendental Blow|1","Add. Attack Point + #0 Add. On-target Point + #1
Hostility 100 % Increase","50 sk_lvl 10 * +|sk_lvl 9 +","0|0","19 sk_lvl 2 * +","750 sk_lvl 50 * -","3300","0","0",0
"Fire Storm","2",3,"Fire is dropping for certain amount of time on the selected area.
Attack every target in the area every 2 seconds for 16 seconds",13,104,"65|1","Explosive Burst|1","Magic Attack Point + #0","228 9 ch_lvl * 10 / + 7 ch_int * sk_lvl * 5 / +","0","327","4000","180000","180","0",0
"Group Cure","2",2,"Recover the health point of all the group members",13,91,"47|3","Cure 2|5","Recovering Point : #0","100 ch_lvl 4 / + 4 ch_wis * sk_lvl * 7 / + 60 sk_lvl * +","540","58 sk_lvl 4 * +","1200","600","0","0",0
"Group Cure 2","2",4,"Recover the health point of all the group members",14,118,"58 67|1 1","Group Cure|3","Recovering Point : ??","0","0","72 sk_lvl 12 * +","1300","600","128","0",0
"Hail","2",3,"Drop pieces of sharp ice from the sky",2,93,"51 58 64 67|1 1 1 1","Ice Magic|20","Magic Attack Point + #0","240 3 ch_lvl * 2 / + 5 ch_int * sk_lvl * 12 / +","680","0","0","0","0","0",0
"Half Swing","2",10,"Swing a weapon and attack the front of 180 degree enemies.You must equip two handed sword.
You get a Death Blow Point if you hit more than one enemy",6,57,"54 58 62 66 69|1 1 1 1 1","|0","Add. Attack Point + ??","0","0","49 sk_lvl 9 * +","0","10000","0","0",0
"Hearth Breaker","2",15,"Put the arrow deeply to stop the opponent for a while",6,5,"26|5","Staggering Blow|5","Add. Attack Point + #0 Add. On-target Point + #1
Hostility 50 % Increase","sk_lvl 12 *|sk_lvl 2 *","0|0","50 sk_lvl +","3000 sk_lvl 100 * -","0","0","0",0
"Heal","2",1,"Recover one's own health points",4,76,"7|5","|0","Health recovered : #0","100 3 ch_lvl * 4 / + sk_lvl ch_wis * 4 / +","300","6 sk_lvl 6 * +","0","4200","0","0",0
"Hypnotism","2",4,"Make the enemies who are in the effective area to fall in a sleep.
Target can't do anything while it's under hypnosis, but when it get attacked,
the effectiveness of magic will be gone away",4,108,"51 56 61 67 70|1 1 1 1 1","|0","-","0","0","98 sk_lvl 4 * +","2500 sk_lvl 100 * -","600","190 sk_lvl 10 * +","4 sk_lvl 4 * +",0
"Ice Resistance","2",17,"Increase the resistance on Ice",4,14,"52 64|1 1","|0","Ice Resistance + #0 %","10 sk_lvl 5 * +","0","42 sk_lvl 11 * +","0","0","0","900",0
"Ice Magic","2",1,"Throw a lump of ice to the enemy to give ice damage",2,74,"3|20","|0","Magic Attack Point + #0","3 ch_lvl * 4 / 3 ch_int * sk_lvl * 26 / +","350","6 sk_lvl 4 / +","800","600","120 sk_lvl 4 * +","0",0
"Increase of Critical Hit (magician)","2",4,"Increase the appearance of Critical Hit of the selected target",13,117,"57 66|1 1","|0","Critical Hit + #0","2 sk_lvl 3 * +","0","64 sk_lvl 36 * +","2000","5000","94","900",0
"Increasing Concentration","2",9,"Increases on-target point for a short while",5,50,"42 60|1 1","|0","Add. On-target Point + #0","sk_lvl 3 *","0","86","0","90000","0","0",1
"Increase of Target Range","1",4,"Increase the range of all kinds of cure magic",8,112,"53|1","|0","Add. Range + ??
Application of Magic : [Cure, Cure 2, Cure 3, Restore]","0","0","0","0","0","0","0",0
"Blessing of son of the Sky (MA)","1",5,"Adds attack power",1,158,"70 75 80 85 90|1 1 1 1 1","|0","Add attack power + #0%","4 sk_lvl 4 * +","0","0","0","0","0","0",0
"Blessing of son of the Sky (MM)","1",6,"Adds defense strength",1,158,"70 75 80 85 90|1 1 1 1 1","|0","Defense + #0%","8 sk_lvl 4 * +","0","0","0","0","0","0",0
"Blessing of son of the Sky (KV)","1",12,"Adds attack power",1,158,"70 75 80 85 90|1 1 1 1 1","|0","Add attack power + #0%","4 sk_lvl 4 * +","0","0","0","0","0","0",0
"Blessing of son of the Sky (KC)","1",13,"Adds attack power",1,158,"70 75 80 85 90|1 1 1 1 1","|0","Add attack power + #0%","4 sk_lvl 4 * +","0","0","0","0","0","0",0
"Blessing of son of the Sky (AE)","1",19,"Adds attack power",1,158,"70 75 80 85 90|1 1 1 1 1","|0","Add attack power + #0%","4 sk_lvl 4 * +","0","0","0","0","0","0",0
"Blessing of son of the Sky (AI)","1",20,"Adds attack power",1,158,"70 75 80 85 90|1 1 1 1 1","|0","Add attack power + #0%","4 sk_lvl 4 * +","0","0","0","0","0","0",0
"Artillery","1",4,"You may assemble and control weapon of castle siege",20,177,"50|1","|0","-","0","0","0","0","0","0","0",0
"Powerful Widening Wound","2",11,"It's a continuous attack after Upward Slash,
more powerful Widening Wound.",14,51,"56|5","Widening Wound|1","-","0","0","0","0","700","0","0",0
"Acrobatic","1",23,"Increase úr physical damage.",6,159,"30 35 40 45 50|1 1 1 1 1","|0","Physical damage increased by 10 % with its probability of #0 %","3 sk_lvl 2 * +","0","0","0","0","0","0",0
"Weak Point Detection","1",23,"Increase the chance of Fatal Blow with skill rank.",7,160,"60|8","|0","Chance of Fatal Blow + #0 %","sk_lvl","0","0","0","0","0","0",0
"Deep Breath","1",22,"This is a secret method of breathing.
It makes the duration of hiding skill increased.",7,161,"25|1","|0","Hiding +10 sec","0","0","0","0","0","0","0",0
"Silence Step","1",26,"By improving the way of walking, movement speed of a character in 
hiding gets higher. 
This is only available for the character in hiding.",2,162,"70|1","|0","-","0","0","0","0","0","0","0",0
"Wrath of Heaven","2",26,"This is only available for the character in hiding and to attack an 
enemy silently and impetuously with a sword on which virulent 
poison is painted.
Poison damage will be added when fatal attack has applied.",3,163,"70|6","|0","-","0","0","260","1000","320000 sk_lvl 20000 * -","0","0",0
"Blessing of son of the Sky (TU)","1",27,"Adds attack power",1,158,"70 75 80 85 90|1 1 1 1 1","|0","Add attack power + #0%","4 sk_lvl 4 * +","0","0","0","0","0","0",0
"High Grade Acrobatic","1",27,"This is the upgraded skill of Acrobatic and some of the physical 
damage reduce with higher chance than Acrobatic.",2,164,"70|1","|0","Physical damage reduces by 25% with probability of 5%","0","0","0","0","0","0","0",0
"Lightning Slash","2",27,"This skill is to make a series of attacks in rapid succession to enemy. 
The number of attacking per sigle use gets increased by 
the increase of skill level.",3,165,"70|6","|0","-","0","0","ch_lvl 4 * 10 -","1000","320000 sk_lvl 20000 * -","0","0",0
"Blessing of son of the Sky (TH)","1",26,"Adds attack power",1,158,"70 75 80 85 90|1 1 1 1 1","|0","Add attack power + #0%","4 sk_lvl 4 * +","0","0","0","0","0","0",0
"Sword Dance","2",12,"Attack in rapid succession with a rapid sword-wielding",4,166,"75|5","|0","Attacks the enemy #0 time(s)","sk_lvl","0","sk_lvl 1 - 20 + sk_lvl * 120 + 7 4 / *","0","20000","0","0",0
"Provocation of Blow","2",13,"Increase enemy's hostility by giving a strong blow. 
Hostility increases in proportion to its skill-level.",4,167,"75|5","|0","-","0","0","sk_lvl 1 - 20 + sk_lvl * 120 +","0","50000","0","0",0
"Combative Spirit","2",19,"Administer a severe blow by consuming all amount of the MP. Enemies between a shooter and a target are also shot through their bodies.",4,168,"75|5","|0","Penetration chance: #0 %","sk_lvl 20 *","0","sk_lvl 1 - 20 + sk_lvl * 200 + 185 100 / *","0","200000 sk_lvl 20000 * -","0","0",0
"Virulent Arrow","2",20,"Venom explodes and its influence spreads around the moment that 
Virulent Arrow is striken. 
The influence affects enemies within the range of it over a certain period of time.
2 Poison bag item is needed for using.",4,169,"75|5","|0","-","0","0","sk_lvl 1 - 25 + sk_lvl * 230 + 98 100 / *","0","200000 sk_lvl 20000 * -","0","0",0
"Fireball","2",5,"The more the skill is used, the bigger it becomes. 5 Fireballs in total can be put together and a joined Fireball can be used before 5 Fireballs complete the biggest one.",6,170,"75|5","Flame Injection|1","-","0","0","sk_lvl 1 - 30 + sk_lvl * 300 + 79 100 / *","1000","200000 sk_lvl 20000 * -","0","0",0
"Ice Arrow","2",5,"Ice Arrows are brought up around your character. 
can be shot until they are used up whenever you want.",7,171,"75|5","Icicle|1","Number of Arrows: #0","sk_lvl","0","sk_lvl 1 - 100 + sk_lvl * 450 + 42 100 / *","1000","200000 sk_lvl 20000 * -","0","0",0
"Thunderbolt","2",5,"Shoot 6 lightening balls consecutively.
Will be canceled if your character moves while the balls are being shot.",8,172,"75|5","Lightning Arrow|1","-","0","0","sk_lvl 1 - 45 + sk_lvl * 280 + 3 4 / *","2500","200000 sk_lvl 20000 * -","0","0",0
"Therapeutic touch","2",6,"HP is recovered every 2 seconds for 12 seconds.",4,173,"75|5","|0","-","0","0","100 sk_lvl 50 sk_lvl 1 - + * + 198 100 / *","0","150000","0","10",0
"Spin Blade","2",26,"A kind of wide-ranging attack with a sword dance.
The higher skill-level, the more number of hits at once. 
According as its skill-level increses, extra on-target points are added.",4,174,"75|5","|0","-","0","0","290","500","200000 sk_lvl 20000 * -","0","0",0
"Shadow Slash","2",27,"Give a penetrating attack to the enemy in line with your character, 
with the effect of stunning.",4,175,"75|5","|0","-","0","0","sk_lvl 1 - 50 + sk_lvl * 232 + 98 100 / *","500","200000 sk_lvl 20000 * -","0","0",0
"Artillery","1",3,"You may assemble and control weapon of castle siege",14,177,"50|1","|0","-","0","0","0","0","0","0","0",0
"Artillery","1",10,"You may assemble and control weapon of castle siege",8,177,"50|1","|0","-","0","0","0","0","0","0","0",0
"Artillery","1",11,"You may assemble and control weapon of castle siege",15,177,"50|1","|0","-","0","0","0","0","0","0","0",0
"Artillery","1",17,"You may assemble and control weapon of castle siege",13,177,"50|1","|0","-","0","0","0","0","0","0","0",0
"Artillery","1",18,"You may assemble and control weapon of castle siege",18,177,"50|1","|0","-","0","0","0","0","0","0","0",0
"Artillery","1",24,"You may assemble and control weapon of castle siege",7,177,"50|1","|0","-","0","0","0","0","0","0","0",0
"Artillery","1",25,"You may assemble and control weapon of castle siege",7,177,"50|1","|0","-","0","0","0","0","0","0","0",0
"Counter Damage","2",4,"If you received damage, this skill will be return some of damage to attacker.
It skill applied properly, its effect will be disappeared.",19,176,"50|5","|0","-","0","0","640","45 sk_lvl 5 * -","300","0","0",0
"Mystery skill oSotS (EVA)","1",21,"Consists of 3 kinds of skills and only one skill is allowed to choose!",4,178,"81|6","|0","Evasion points + #0","5 sk_lvl *","0","0","0","0","0","0",0
"Mystery skill oSotS (EVA)","1",14,"Consists of 3 kinds of skills and only one skill is allowed to choose!",4,178,"81|6","|0","Evasion points + #0","5 sk_lvl *","0","0","0","0","0","0",0
"Mystery skill oSotS (EVA)","1",7,"Consists of 3 kinds of skills and only one skill is allowed to choose!",4,178,"81|6","|0","Evasion points + #0","5 sk_lvl *","0","0","0","0","0","0",0
"Mystery skill oSotS (EVA)","1",28,"Consists of 3 kinds of skills and only one skill is allowed to choose!",2,178,"81|6","|0","Evasion points + #0","5 sk_lvl *","0","0","0","0","0","0",0
"Counter Offensive","2",25,"If Counter offensive is activated, some amount of received damage
will be reflected to enemies within a certain range.
to the attacker for this skills duration.",6,179,"63|5","|0","-","0","0","50 sk_lvl 30 * +","0","90000","0","0",0
