ita_azon,ita_itype,ita_grade,ita_class,ita_type,ita_name,ita_lvllim,ita_rev,ita_price,ita_pic,ita_pic2,ita_3d
145,0,"G65","Archer","All","Blood Dragon Armor",65,"10|8|||12|||||||3|158|219|24","0","ita_a10",,"CM_0_f01.gb#182$Tex\CM_0_f01.GTX$0$0$0"
146,1,"G65","Archer","Armor","Blood Dragon Armor",65,"3|3|||6|||||||1|30|68|7|1|0|1|0|1","0","-",159,"CM_12_a01.gb#254$Tex\CM_12_a01.GTX#Tex\CM_12_a02.GTX#Tex\CM_12_h02.GTX$0#0#0#1#2$0$1"
147,1,"G65","Archer","Boots","Blood Dragon Boots",62,"1|1|||2||||||||44|38|3","0","-",162,"CM_12_s01.gb#200$Tex\CM_12_s01.GTX#Tex\CM_12_h02.GTX$1#0$0$1"
148,1,"G65","Archer","Gloves","Blood Dragon Gloves",61,"3||||1||||||||15|40|4","0","-",161,"CM_12_g01.gb#200$Tex\CM_12_g01.GTX#Tex\CM_12_h02.GTX$0#1$0$1"
149,1,"G65","Archer","Helmet","Blood Dragon Hood",63,"2|2|||||||||||16|42|4","0","-",160,"CM_12_h01.gb#200$Tex\CM_12_h01.GTX#Tex\CM_12_h02.GTX$0#1$0$1"
150,1,"G65","Archer","Shorts","Blood Dragon Shorts",64,"1|2|||3|||||||2|53|31|6|1|0|1|0|1","0","-",163,"CM_12_p01.gb#218$Tex\CM_12_p01.GTX#Tex\CM_12_p02.GTX#Tex\CM_12_a01.GTX$0#1#2$0$1"
151,0,"G65","Knight","All","Blood Dragon Scaled Armor",65,"17|3|||10||||||||125|317|31","0","ita_k10",,"CW_0_f01.gb#182$Tex\CW_0_f01.GTX$0$0$0"
152,1,"G65","Knight","Armor","Blood Dragon Scaled Armor",65,"9||||3|||||||3|31|70|9|1|1|0|1|0","0","-",164,"CW_12_a01.gb#200$Tex\CW_12_a01.GTX$0#0$0$1"
153,1,"G65","Knight","Boots","Blood Dragon Scaled Boots",62,"|1|||3||||||||30|53|5","0","-",167,"CW_12_s01.gb#182$Tex\CW_12_s01.GTX$0$0$1"
154,1,"G65","Knight","Gloves","Blood Dragon Scaled Gloves",61,"3||||1||||||||12|66|4","0","-",166,"CW_12_g01.gb#200$Tex\CW_12_g01.GTX$0#0$0$1"
155,1,"G65","Knight","Helmet","Blood Dragon Scaled Helmet",63,"1|2|||1||||||||15|65|5","0","-",165,"CW_12_h01.gb#200$Tex\CW_12_h01.GTX#Tex\CW_12_h02.GTX$0#1$0$1"
156,1,"G65","Knight","Shorts","Blood Dragon Scaled Shorts",64,"4||||2|||||||2|38|67|8|1|1|0|1|0","0","-",168,"CW_12_p01.gb#182$Tex\CW_12_p01.GTX$0$0$1"
157,0,"G65","Magician","All","Blood Dragon DeaChangEau",65,"|4|22|8|||||||||143|194|7|34|34|34|29|29","0","ita_m10",,"CR_0_f01.gb#182$Tex\CR_0_f01.GTX$0$0$0"
158,1,"G65","Magician","Armor","Blood Dragon DeaChangEau Clothes",65,"|1|13|2|||||||||37|47|2|9|9|9|9|9","0","-",169,"CR_12_a01.gb#236$Tex\CR_12_a01.GTX#Tex\CR_12_a02.GTX#Tex\CR_12_h03.GTX$0#0#1#2$0$1"
159,1,"G65","Magician","Boots","Blood Dragon DeaChangEau Boots",62,"||2|2|||||||||30|41|1|5|5|5|6|6","0","-",172,"CR_12_s01.gb#182$Tex\CR_12_s01.GTX$0$0$1"
160,1,"G65","Magician","Gloves","Blood Dragon DeaChangEau Gloves",61,"||2|2|||||||||17|36|1|7|7|7|5|5","0","-",171,"CR_12_g01.gb#182$Tex\CR_12_g01.GTX$0$0$1"
161,1,"G65","Magician","Helmet","Blood Dragon DeaChangEau Decoration",63,"|2|2||||||||||18|35|1|8|8|8|5|5","0","-",170,"CR_12_h01.gb#236$Tex\CR_12_h01.GTX#Tex\CR_12_h02.GTX#Tex\CR_12_h03.GTX$0#0#1#2$0$1"
162,1,"G65","Magician","Shorts","Blood Dragon DeaChangEau Shorts",64,"|1|7|2|||||||||41|35|2|5|5|5|5|5","0","-",173,"CR_12_p01.gb#182$Tex\CR_12_p01.GTX$0$0$1"
163,2,"G10","Knight","Shield","Small Iron Shield",1,"||||||||||||2|0|0","80","31",136,"PS_B1_01.gb#182$Tex\PS_B1_01.GTX$0$0$0"
164,2,"G23","Knight","Shield","Mid-Iron Shield",1,"||||||||||||4|0|0","520","32",137,"PS_B2_01.gb#182$Tex\PS_B2_01.GTX$0$0$0"
165,2,"G40","Knight","Shield","Mid-Steel Shield",1,"||||||||||||6|0|0","3.200","33",138,"PS_B3_01.gb#182$Tex\PS_B3_01.GTX$0$0$0"
166,2,"G44","Knight","Shield","Large Iron Shield",40,"||||||||||||8|12|0","0","34",139,"PS_B4_01.gb#182$Tex\PS_B4_01.GTX$0$0$0"
167,2,"G48","Knight","Shield","Ghost Shaped Iron Shield",45,"||||||||||||8|16|1","0","35",140,"PS_B4_02.gb#182$Tex\PS_B4_02.GTX$0$0$0"
168,2,"G52","Knight","Shield","Iron Shield With Gong",50,"||||||||||||8|20|1","0","36",141,"PS_B4_03.gb#182$Tex\PS_B4_03.GTX$0$0$0"
169,2,"G60","Knight","Shield","Golden Shield",60,"||||||||||||10|34|2","0","142",142,"PS_B5_02.gb#200$Tex\PS_B5_02.GTX#Tex\PS_B5_021.GTX$0#1$0$0"
170,3,"G62","Archer","Bow","Golden Bow",60,"1|2|||7|400||280|360|||81","0","145",138,"PB_S12_01.gb#200$Tex\PB_S12_01.GTX$0#0$0$0"
171,3,"G62","Magician","Stick","Golden Stick",60,"||7|3||250|150|190|190|350|420|72","0","146",139,"PG_S12_01.gb#200$Tex\PG_S12_01.GTX$0#0$0$0"
172,3,"G62","Knight","Sw.1H","Golden Sword",60,"5|4|||1|450||300|370|||83","0","143",136,"PS_S17_01.gb#200$Tex\PS_S17_01.GTX$0$0$0"
173,3,"G62","Knight","Sw.2H","Golden Giant Sword",60,"7|3||||400||560|620|||82","0","144",137,"PS_S18_01.gb#200$Tex\PS_S18_01.GTX$0$0$0"
174,3,"G01","Knight","Sw.1H","Short Iron Sword",1,"|||||||3|10|||15","4","69",1,"PS_S1_01.gb#200$Tex\PS_S1_01.GTX$0#0$0$0"
175,3,"G05","Knight","Sw.1H","Short Steel Sword",1,"|||||||16|24|||18","180","70",2,"PS_S2_01.gb#200$Tex\PS_S2_01.GTX$0#0$0$0"
176,3,"G09","Knight","Sw.1H","Small Steel Sword",1,"|||||||25|37|||21","1.650","71",3,"PS_S2_02.gb#200$Tex\PS_S2_02.GTX$0#0$0$0"
177,3,"G13","Knight","Sw.1H","Iron Sword",1,"|||||||34|49|||25","3.120","72",4,"PS_S3_01.gb#200$Tex\PS_S3_01.GTX$0#0$0$0"
178,3,"G17","Knight","Sw.1H","Iron Red-Blood Sword",1,"|||||||45|65|||29","6.973","73",5,"PS_S3_02.gb#200$Tex\PS_S3_02.GTX$0#0$0$0"
179,3,"G21","Knight","Sw.1H","Steel Sword",1,"|||||||51|75|||33","10.826","74",6,"PS_S3_03.gb#200$Tex\PS_S3_03.GTX$0#0$0$0"
180,3,"G25","Knight","Sw.1H","Big Steel Sword",1,"|||||||55|80|||38","14.680","75",7,"PS_S4_01.gb#200$Tex\PS_S4_01.GTX$0#0$0$0"
181,3,"G29","Knight","Sw.1H","Red Big Steel Sword",1,"|||||||63|94|||43","27.120","76",8,"PS_S4_02.gb#200$Tex\PS_S4_02.GTX$0#0$0$0"
182,3,"G33","Knight","Sw.1H","Big Steel Sword with Pattern of Leaf",1,"|||||||92|96|||48","39.560","77",9,"PS_S4_03.gb#200$Tex\PS_S4_03.GTX$0#0$0$0"
183,3,"G37","Knight","Sw.1H","HwanDoo Big Sword",1,"|||||||79|117|||54","51.320","78",10,"PS_S5_01.gb#200$Tex\PS_S5_01.GTX$0#0$0$0"
184,3,"G40","Knight","Sw.1H","Red HwanDoo Big Sword",1,"|||||||74|184|||55","0","79",13,"PS_S5_02.gb#200$Tex\PS_S5_02.GTX$0#0$0$0"
185,3,"G40","Knight","Sw.1H","White HwanDoo Big Sword",1,"|||||||98|139|||67","0","80",11,"PS_S5_03.gb#200$Tex\PS_S5_03.GTX$0#0$0$0"
186,3,"G40","Knight","Sw.1H","HwanDoo SaeHyung Big Sword",1,"|||||||104|146|||60","159.092","81",12,"PS_S6_01.gb#200$Tex\PS_S6_01.GTX$0#0$0$0"
187,3,"G45","Knight","Sw.1H","Maegak Hwandoo Saehyung Big Sword",40,"|1||||150||122|152|||62","0","82",14,"PS_S6_02.gb#200$Tex\PS_S6_02.GTX$0#0$0$0"
188,3,"G45","Knight","Sw.1H","Hwandoo Saehyung Big Sword with PoL",40,"||||1|100|50|80|204|||68","0","83",15,"PS_S6_03.gb#182$Tex\PS_S6_03.GTX$0$0$0"
189,3,"G48","Knight","Sw.1H","Savage Tribes Treasure Sword",45,"1|1||||200||113|195|||68","0","84",16,"PS_S15_01.gb#200$Tex\PS_S15_01.GTX$0#0$0$0"
190,3,"G48","Knight","Sw.1H","Savage Tribes Tiger Teeth Sword",45,"2|||||150||121|203|||64","0","85",17,"PS_S15_02.gb#200$Tex\PS_S15_02.GTX$0#0$0$0"
191,3,"G48","Knight","Sw.1H","Savage Tribes Truth Sword",45,"1||||1|100|50|106|188|||72","0","86",18,"PS_S15_03.gb#200$Tex\PS_S15_03.GTX$0#0$0$0"
192,3,"G50","Knight","Sw.1H","Golden Treasure Sword",50,"1|2||||200||147|187|||72","0","87",19,"PS_S7_01.gb#200$Tex\PS_S7_01.GTX$0#0$0$0"
193,3,"G50","Knight","Sw.1H","Butterfly-Shaped Treasure Sword",50,"3|||||150||163|203|||68","0","88",20,"PS_S7_02.gb#182$Tex\PS_S7_02.GTX$0$0$0"
194,3,"G50","Knight","Sw.1H","Black Golden Treasure Sword",50,"1|2|||1|100|50|132|172|||76","0","89",21,"PS_S7_03.gb#182$Tex\PS_S7_03.GTX$0$0$0"
195,3,"G50","Knight","Sw.2H","Giant Sword",50,"3|||||150||360|440|||72","0","90",22,"PS_S8_01.gb#200$Tex\PS_S8_01.GTX$0#0$0$0"
196,3,"G50","Knight","Sw.2H","Revengeful Sword",50,"4|||||100||390|470|||66","0","91",23,"PS_S8_02.gb#200$Tex\PS_S8_02.GTX$0#0$0$0"
197,3,"G50","Knight","Sw.2H","Butterfly-Shaped Giant Sword",50,"2|||||100||330|410|||74","0","92",24,"PS_S8_03.gb#200$Tex\PS_S8_03.GTX$0#0$0$0"
198,3,"G53","Knight","Sw.1H","Diamond Treasure Sword",53,"1|2|||1|200||167|207|||74","0","93",25,"PS_S9_01.gb#200$Tex\PS_S9_01.GTX$0#0$0$0"
199,3,"G53","Knight","Sw.1H","Diamond Sword of Pain",53,"4|||||150||182|222|||70","0","95",26,"PS_S9_02.gb#200$Tex\PS_S9_02.GTX$0#0$0$0"
200,3,"G53","Knight","Sw.1H","Diamond Sword of Phantom",53,"1|2||1|1|100||152|192|||78","0","96",27,"PS_S9_03.gb#182$Tex\PS_S9_03.GTX$0$0$0"
201,3,"G53","Knight","Sw.2H","Diamond Giant Sword",53,"3||||1|150||400|480|||74","0","94",28,"PS_S10_01.gb#182$Tex\PS_S10_01.GTX$0$0$0"
202,3,"G53","Knight","Sw.2H","Diamond Giant Sword of Pain",53,"5|||||100||440|520|||68","0","97",29,"PS_S10_02.gb#200$Tex\PS_S10_02.GTX$0#0$0$0"
203,3,"G53","Knight","Sw.2H","Diamond Giant Sword of Phantom",53,"2|||1|1|100|50|370|450|||76","0","98",30,"PS_S10_03.gb#182$Tex\PS_S10_03.GTX$0$0$0"
204,3,"G56","Knight","Sw.1H","Ancient Treasure Sword",56,"2|2|||1|250||187|227|||76","0","99",31,"PS_S13_01.gb#200$Tex\PS_S13_01.GTX$0#0$0$0"
205,3,"G56","Knight","Sw.1H","Generals Treasure Sword",56,"4|1||||200||202|242|||73","0","100",32,"PS_S13_02.gb#200$Tex\PS_S13_02.GTX$0#0$0$0"
206,3,"G56","Knight","Sw.1H","Ancient Dynastys Treasure Sword",56,"1|2||1|2|150|50|172|212|||79","0","101",33,"PS_S13_03.gb#200$Tex\PS_S13_03.GTX$0#0$0$0"
207,3,"G56","Knight","Sw.2H","Ancient Giant Sword",56,"4||||1|200||430|490|||76","0","102",34,"PS_S14_01.gb#200$Tex\PS_S14_01.GTX$0#0$0$0"
208,3,"G56","Knight","Sw.2H","Generals Giant Sword",56,"6|||||150||470|530|||71","0","103",35,"PS_S14_02.gb#200$Tex\PS_S14_02.GTX$0#0$0$0"
209,3,"G56","Knight","Sw.2H","Ancient Dynastys Giant Sword",56,"3|||1|1|150|50|410|470|||77","0","104",36,"PS_S14_03.gb#200$Tex\PS_S14_03.GTX$0#0$0$0"
210,3,"G59","Knight","Sw.1H","Treasure Sword of Doggebi",59,"4|3|||1|350||220|275|||79","0","105",37,"PS_S11_01.gb#182$Tex\PS_S11_01.GTX$0$0$0"
211,3,"G59","Knight","Sw.1H","Treasure Sword of High Class Doggebi",59,"6|2||||300||245|300|||76","0","106",38,"PS_S11_03.gb#182$Tex\PS_S11_03.GTX$0$0$0"
212,3,"G59","Knight","Sw.1H","Treasure Sword of Doggebi Lord",59,"2|4||1|2|250|150|210|260|||82","0","107",39,"PS_S11_02.gb#182$Tex\PS_S11_02.GTX$0$0$0"
213,3,"G59","Knight","Sw.2H","Giant Sword of Doggebi",59,"6|2||||300||440|530|||79","0","108",40,"PS_S12_01.gb#182$Tex\PS_S12_01.GTX$0$0$0"
214,3,"G59","Knight","Sw.2H","Giant Sword of High Class Doggebi",59,"8|||||250||490|570|||74","0","109",41,"PS_S12_02.gb#182$Tex\PS_S12_02.GTX$0$0$0"
215,3,"G59","Knight","Sw.2H","Giant Sword of Doggebi Lord",59,"4|3||1|1|200|100|420|510|||80","0","110",42,"PS_S12_03.gb#200$Tex\PS_S12_03.GTX$0#0$0$0"
216,3,"G01","Archer","Bow","Birch Bow",1,"|||||||2|7|||12","4","0",45,"PB_S1_01.gb#182$Tex\PB_S1_01.GTX$0$0$0"
217,3,"G05","Archer","Bow","Oak Bow",1,"|||||||14|22|||17","180","1",46,"PB_S2_01.gb#182$Tex\PB_S2_01.GTX$0$0$0"
218,3,"G09","Archer","Bow","Big Oak Bow",1,"|||||||20|31|||19","1650","2",47,"PB_S2_02.gb#182$Tex\PB_S2_02.GTX$0$0$0"
219,3,"G13","Archer","Bow","YeonGak Bow",1,"|||||||26|40|||24","3.120","3",48,"PB_S3_01.gb#182$Tex\PB_S3_01.GTX$0$0$0"
220,3,"G17","Archer","Bow","YeonHwang Bow",1,"|||||||35|51|||28","6.973","4",49,"PB_S3_02.gb#182$Tex\PB_S3_02.GTX$0$0$0"
221,3,"G21","Archer","Bow","SooWoo YeonGak Bow",1,"|||||||41|59|||32","10.826","5",50,"PB_S3_03.gb#182$Tex\PB_S3_03.GTX$0$0$0"
222,3,"G25","Archer","Bow","GangGak Bow",1,"|||||||43|64|||36","14.680","6",51,"PB_S4_01.gb#182$Tex\PB_S4_01.GTX$0$0$0"
223,3,"G29","Archer","Bow","SooWoo GangGak Bow",1,"|||||||51|74|||40","27.120","7",52,"PB_S4_02.gb#182$Tex\PB_S4_02.GTX$0$0$0"
224,3,"G33","Archer","Bow","TaeWoon GangGak Bow",1,"|||||||60|83|||44","39.560","8",53,"PB_S4_03.gb#182$Tex\PB_S4_03.GTX$0$0$0"
225,3,"G37","Archer","Bow","HoMeeGak Bow",1,"|||||||65|93|||49","51.320","9",54,"PB_S5_01.gb#200$Tex\PB_S5_01.GTX$0#0$0$0"
226,3,"G40","Archer","Bow","Yellow Tiger Pattern Gak Bow",1,"|||||||58|151|||50","159.092","10",55,"PB_S5_02.gb#218$Tex\PB_S5_02.GTX$0#0#0$0$0"
227,3,"G40","Archer","Bow","Red Tiger Pattern Gak Bow",1,"|||||||76|109|||62","0","11",56,"PB_S5_03.gb#218$Tex\PB_S5_03.GTX$0#0#0$0$0"
228,3,"G40","Archer","Bow","ChulTae Bow",1,"|||||||85|118|||54","0","12",57,"PB_S6_01.gb#200$Tex\PB_S6_01.GTX$0#0$0$0"
229,3,"G45","Archer","Bow","Baek Dae Steel Bow",40,"|1||||150||100|128|||60","0","13",59,"PB_S6_02.gb#200$Tex\PB_S6_02.GTX$0#0$0$0"
230,3,"G45","Archer","Bow","Yeon Lin Steel Bow",40,"||||1|100|50|72|182|||65","0","14",58,"PB_S6_03.gb#200$Tex\PB_S6_03.GTX$0#0$0$0"
231,3,"G48","Archer","Bow","Savage Tribes ChulTae Bow",45,"||||2|150||92|182|||68","0","15",60,"PB_S11_01.gb#200$Tex\PB_S11_01_1.GTX#Tex\PB_S11_01_2.GTX$0#1$0$0"
232,3,"G48","Archer","Bow","Savage Tribes Blue ChulTae Bow",45,"||||2|100|50|107|197|||66","0","16",61,"PB_S11_02.gb#200$Tex\PB_S11_02_1.GTX#Tex\PB_S11_02_2.GTX$0#1$0$0"
233,3,"G48","Archer","Bow","Savage Tribes Red ChulTae Bow",45,"||||2|100||77|167|||70","0","17",62,"PB_S11_03.gb#200$Tex\PB_S11_03_1.GTX#Tex\PB_S11_03_2.GTX$0#1$0$0"
234,3,"G50","Archer","Bow","Steel Bow",50,"||||3|150||112|182|||70","0","18",63,"PB_S7_01.gb#200$Tex\PB_S7_01.GTX$0#0$0$0"
235,3,"G50","Archer","Bow","Steel Bow with Crows Feather",50,"||||3|100|50|127|197|||68","0","19",64,"PB_S7_02.gb#218$Tex\PB_S7_02.GTX$0#0#0$0$0"
236,3,"G50","Archer","Bow","Steel Bow with Golden Crows Feather",50,"1||||3|100||97|167|||72","0","20",65,"PB_S7_03.gb#182$Tex\PB_S7_03.GTX$0$0$0"
237,3,"G53","Archer","Bow","Diamond Bow",53,"1||||3|150||132|202|||72","0","21",66,"PB_S8_01.gb#200$Tex\PB_S8_01.GTX$0#0$0$0"
238,3,"G53","Archer","Bow","Diamond Bow of Pain",53,"||||4|100|50|147|217|||70","0","22",67,"PB_S8_02.gb#200$Tex\PB_S8_02.GTX$0#0$0$0"
239,3,"G53","Archer","Bow","Diamond Bow of Phantom",53,"2||||3|100||117|187|||74","0","23",68,"PB_S8_03.gb#200$Tex\PB_S8_03.GTX$0#0$0$0"
240,3,"G56","Archer","Bow","Ancient Tribal Macs Bow",56,"1||||4|200||151|217|||74","0","24",69,"PB_S10_01.gb#218$Tex\PB_S10_01_1.GTX#Tex\PB_S10_01_2.GTX$0#1#1$0$0"
241,3,"G56","Archer","Bow","General of Ancient Tribal Macs Bow",56,"1||||4|150|50|172|232|||72","0","25",70,"PB_S10_02.gb#200$Tex\PB_S10_02.GTX$0#0$0$0"
242,3,"G56","Archer","Bow","Ancient Dynasty of Tribal Macs Bow",56,"||||5|150||142|202|||76","0","26",71,"PB_S10_03.gb#218$Tex\PB_S10_03_1.GTX#Tex\PB_S10_03_2.GTX$0#1#1$0$0"
243,3,"G59","Archer","Bow","Bow of Doggebi",59,"1|1|||6|300||200|250|||77","0","27",72,"PB_S9_01.gb#200$Tex\PB_S9_01.GTX$0#0$0$0"
244,3,"G59","Archer","Bow","Bow of High Class Doggebi",59,"4||||4|250||225|275|||75","0","28",73,"PB_S9_02.gb#200$Tex\PB_S9_02.GTX$0#0$0$0"
245,3,"G59","Archer","Bow","Bow of Doggebi Lord",59,"|1||2|5|200|100|190|240|||79","0","29",74,"PB_S9_03.gb#200$Tex\PB_S9_03.GTX$0#0$0$0"
246,3,"G01","Magician","Stick","Bamboo Stick",1,"|||||||1|8|2|12|12","4","38",76,"PG_S1_01.gb#182$Tex\PG_S1_01.GTX$0$0$0"
247,3,"G05","Magician","Stick","Oak Stick",1,"|||||||7|14|10|20|16","180","39",77,"PG_S2_01.gb#182$Tex\PG_S2_01.GTX$0$0$0"
248,3,"G09","Magician","Stick","Oak Petal Stick",1,"|||||||13|20|19|31|20","1650","40",78,"PG_S2_02.gb#182$Tex\PG_S2_02.GTX$0$0$0"
249,3,"G13","Magician","Stick","Iron Stick",1,"|||||||20|27|28|42|21","3.120","41",79,"PG_S3_01.gb#182$Tex\PG_S3_01.GTX$0$0$0"
250,3,"G17","Magician","Stick","Iron JuckMo Stick",1,"|||||||25|32|40|56|26","6.973","42",80,"PG_S3_02.gb#200$Tex\PG_S3_02.GTX$0#0$0$0"
251,3,"G21","Magician","Stick","BangChooHyung Iron Stick",1,"|||||||33|40|52|68|30","10.826","43",81,"PG_S3_03.gb#200$Tex\PG_S3_03.GTX$0#0$0$0"
252,3,"G25","Magician","Stick","HwanDoo Stick",1,"|||||||37|44|58|78|35","14.680","44",82,"PG_S4_01.gb#182$Tex\PG_S4_01.GTX$0$0$0"
253,3,"G29","Magician","Stick","YeongHwaHwanDoo Stick",1,"|||||||44|51|70|92|39","27.120","45",83,"PG_S4_02.gb#200$Tex\PG_S4_02.GTX$0#0$0$0"
254,3,"G33","Magician","Stick","HwanRaeHwanDoo Stick",1,"|||||||52|59|70|92|43","39.560","46",84,"PG_S4_03.gb#200$Tex\PG_S4_03.GTX$0#0$0$0"
255,3,"G37","Magician","Stick","SaeGum Chairpersons Stick",1,"|||||||60|67|91|117|46","51.320","47",85,"PG_S5_01.gb#200$Tex\PG_S5_01.GTX$0#0$0$0"
256,3,"G40","Magician","Stick","Sae Dan Chairpersons Stick",1,"||3||3|||26|43|82|191|42","0","48",86,"PG_S5_02.gb#200$Tex\PG_S5_02.GTX$0#0$0$0"
257,3,"G40","Magician","Stick","Sae Hak Chairpersons Stick",1,"|||5|2||150|95|117|84|93|72","0","49",87,"PG_S5_03.gb#200$Tex\PG_S5_03.GTX$0#0$0$0"
258,3,"G40","Magician","Stick","JoongBang Chairpersons Stick",1,"|||||||78|85|117|146|50","159.092","50",88,"PG_S6_01.gb#218$Tex\PG_S6_01.GTX$0#0#0$0$0"
259,3,"G45","Magician","Stick","Joong Bang Chairpersons WhiteStick",40,"|2||||150||78|89|121|156|57","0","51",89,"PG_S6_02.gb#236$Tex\PG_S6_02.GTX$0#0#0#0$0$0"
260,3,"G45","Magician","Stick","Joong Bang Chairpersons Single Stick",40,"||2|||100|50|75|92|93|225|54","0","52",90,"PG_S6_03.gb#218$Tex\PG_S6_03.GTX$0#0#0$0$0"
261,3,"G48","Magician","Stick","Savage Tribes Religious Stick",45,"||2|||150||92|105|114|225|57","0","53",91,"PG_S11_01.gb#218$Tex\PG_S11_01.GTX$0#0#0$0$0"
262,3,"G48","Magician","Stick","Savage Tribes Big Stick",45,"|||6|2||200|93|110|99|195|61","0","54",92,"PG_S11_02.gb#218$Tex\PG_S11_02.GTX$0#0#0$0$0"
263,3,"G48","Magician","Stick","Savage Tribes Grand Stick",45,"||2||||150|81|102|106|240|57","0","55",93,"PG_S11_03.gb#218$Tex\PG_S11_03.GTX$0#0#0$0$0"
264,3,"G50","Magician","Stick","Stick with Black Crows Feather",50,"||3|||150||109|119|135|225|60","0","56",94,"PG_S7_01.gb#200$Tex\PG_S7_01.GTX$0#0$0$0"
265,3,"G50","Magician","Stick","Line Pattern Stick with Black Crows Feather",50,"|||7|2||200|111|129|105|195|64","0","57",95,"PG_S7_02.gb#200$Tex\PG_S7_02.GTX$0#0$0$0"
266,3,"G50","Magician","Stick","Stick with Blue Crows Feather",50,"||3||||150|88|112|120|240|60","0","58",96,"PG_S7_03.gb#200$Tex\PG_S7_03.GTX$0#0$0$0"
267,3,"G53","Magician","Stick","Diamond Stick",53,"||3|1||150||119|129|155|245|64","0","59",97,"PG_S8_01.gb#200$Tex\PG_S8_01.GTX$0#0$0$0"
268,3,"G53","Magician","Stick","Diamond Stick of Pain",53,"||4||||200|131|141|170|260|62","0","60",98,"PG_S8_02.gb#200$Tex\PG_S8_02.GTX$0#0$0$0"
269,3,"G53","Magician","Stick","Diamond Stick of Phantom",53,"|||8|3||150|105|115|120|200|66","0","61",99,"PG_S8_03.gb#200$Tex\PG_S8_03.GTX$0#0$0$0"
270,3,"G56","Magician","Stick","Ancient Stick",56,"||4|1||200||135|145|200|280|66","0","62",100,"PG_S10_01.gb#218$Tex\PG_S10_01.GTX$0#0#0$0$0"
271,3,"G56","Magician","Stick","Generals Stick",56,"||5||||250|150|160|220|300|64","0","63",101,"PG_S10_02.gb#218$Tex\PG_S10_02.GTX$0#0#0$0$0"
272,3,"G56","Magician","Stick","Ancient Dynastys Stick",56,"|||9|4||200|120|130|160|240|68","0","64",102,"PG_S10_03.gb#218$Tex\PG_S10_03.GTX$0#0#0$0$0"
273,3,"G59","Magician","Stick","Stick of Doggebi",59,"||6|2||150|100|151|161|270|360|69","0","65",103,"PG_S9_01.gb#200$Tex\PG_S9_01.GTX$0#0$0$0"
274,3,"G59","Magician","Stick","Stick of High Class Doggebi",59,"||8||||300|169|179|290|380|67","0","66",104,"PG_S9_02.gb#200$Tex\PG_S9_02.GTX$0#0$0$0"
275,3,"G59","Magician","Stick","Stick of Doggebi Lord",59,"|||12|4||350|135|145|230|320|81","0","67",105,"PG_S9_03.gb#200$Tex\PG_S9_03.GTX$0#0$0$0"
276,4,,,"Geons","Geons",0,,"1",,,"$0"
277,4,,,"Blood","Demons Blood",0,,"20",,,"$0"
278,4,,,"Medicine","Small Medicine",0,,"70",,,"$0"
279,4,,,"Medicine","Medium Medicine",0,,"160",,,"$0"
281,5,"G08",,"Meal","Small Potato",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
282,5,"G12",,"Meal","Potato",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
283,5,"G16",,"Meal","Big Potato",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
285,5,"G24",,"Meal","Small Sweet Potato",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
286,5,"G28",,"Meal","Sweet Potato",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
287,5,"G32",,"Meal","Big Sweet Potato",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
288,5,"G36",,"Meal","Cooked Sweet Potato",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
290,5,"G40",,"Meal","Piece of Meat",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
291,5,"G44",,"Meal","Chop of Meat",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
293,5,"G52",,"Meal","Cooked Chop of Meat",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
294,5,"G56",,"Meal","Pork Leg of Geum-Oh Mountain",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
295,5,"G60",,"Meal","Pork Rib of Geum-Oh Mountain",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
296,5,"G64",,"Meal","Tiger Meat of Geum-Oh Mountain",0,"It recovers 420 of your health after 30 seconds.",,,,"$0"
298,5,"G8",,"Water","Small Water of Geum-Oh Mountain",0,"It recovers 90 of your energy after 30 seconds.",,,,"$0"
299,5,"G12",,"Water","Medium Water of Geum-Oh Mountain",0,"It recovers 120 of your energy after 30 seconds.",,,,"$0"
300,5,"G16",,"Water","Large Water of Geum-Oh Mountain",0,"It recovers 180 of your energy after 30 seconds.",,,,"$0"
302,5,"G24",,"Water","Small Water of Geum-Oh Valley",0,"It recovers 330 of your energy after 30 seconds.",,,,"$0"
304,5,"G32",,"Water","Large Water of Geum-Oh Valley",0,"It recovers 510 of your energy after 30 seconds.",,,,"$0"
305,5,"G36",,"Water","Best Water of Geum-Oh Valley",0,"It recovers 630 of your energy after 30 seconds.",,,,"$0"
306,5,"G40",,"Water","Small Refining Water",0,"It recovers 750 of your energy after 30 seconds.",,,,"$0"
307,5,"G44",,"Water","Medium Refining Water",0,"It recovers 870 of your energy after 30 seconds.",,,,"$0"
308,5,"G48",,"Water","Large Refining Water",0,"It recovers 990 of your energy after 30 seconds.",,,,"$0"
