pre_azon,attribute_ordinal,attribute,values_json,provenance,source_file,source_line
1612,1,str,"[""2""]",bango-file,prefix.dat,349
1613,1,str,"[""2""]",bango-file,prefix.dat,350
1614,1,str,"[""2""]",bango-file,prefix.dat,351
1615,1,str,"[""2""]",bango-file,prefix.dat,352
1621,1,str,"[""1""]",bango-file,prefix.dat,354
1622,1,str,"[""1""]",bango-file,prefix.dat,355
1623,1,str,"[""1""]",bango-file,prefix.dat,356
1624,1,str,"[""1""]",bango-file,prefix.dat,357
1625,1,str,"[""1""]",bango-file,prefix.dat,358
1626,1,str,"[""2""]",bango-file,prefix.dat,359
1627,1,str,"[""2""]",bango-file,prefix.dat,360
1628,1,str,"[""2""]",bango-file,prefix.dat,361
1629,1,str,"[""2""]",bango-file,prefix.dat,362
1630,1,str,"[""3""]",bango-file,prefix.dat,363
1631,1,str,"[""3""]",bango-file,prefix.dat,364
1632,1,str,"[""3""]",bango-file,prefix.dat,365
1633,1,str,"[""3""]",bango-file,prefix.dat,366
1634,1,str,"[""4""]",bango-file,prefix.dat,367
1635,1,str,"[""4""]",bango-file,prefix.dat,368
1641,1,str,"[""1""]",bango-file,prefix.dat,370
1642,1,str,"[""1""]",bango-file,prefix.dat,371
1643,1,str,"[""2""]",bango-file,prefix.dat,372
1644,1,str,"[""2""]",bango-file,prefix.dat,373
1645,1,str,"[""2""]",bango-file,prefix.dat,374
1646,1,str,"[""3""]",bango-file,prefix.dat,375
1647,1,str,"[""3""]",bango-file,prefix.dat,376
1648,1,str,"[""4""]",bango-file,prefix.dat,377
1649,1,str,"[""4""]",bango-file,prefix.dat,378
1650,1,str,"[""5""]",bango-file,prefix.dat,379
1651,1,str,"[""5""]",bango-file,prefix.dat,380
1652,1,str,"[""6""]",bango-file,prefix.dat,381
1653,1,str,"[""6""]",bango-file,prefix.dat,382
1654,1,str,"[""7""]",bango-file,prefix.dat,383
1655,1,str,"[""7""]",bango-file,prefix.dat,384
1801,1,dex,"[""1""]",bango-file,prefix.dat,388
1802,1,dex,"[""1""]",bango-file,prefix.dat,389
1803,1,dex,"[""1""]",bango-file,prefix.dat,390
1804,1,dex,"[""1""]",bango-file,prefix.dat,391
1805,1,dex,"[""1""]",bango-file,prefix.dat,392
1806,1,dex,"[""1""]",bango-file,prefix.dat,393
1807,1,dex,"[""1""]",bango-file,prefix.dat,394
1808,1,dex,"[""1""]",bango-file,prefix.dat,395
1809,1,dex,"[""1""]",bango-file,prefix.dat,396
1810,1,dex,"[""2""]",bango-file,prefix.dat,397
1811,1,dex,"[""2""]",bango-file,prefix.dat,398
1812,1,dex,"[""2""]",bango-file,prefix.dat,399
1813,1,dex,"[""2""]",bango-file,prefix.dat,400
1814,1,dex,"[""2""]",bango-file,prefix.dat,401
1815,1,dex,"[""2""]",bango-file,prefix.dat,402
1821,1,dex,"[""1""]",bango-file,prefix.dat,404
1822,1,dex,"[""1""]",bango-file,prefix.dat,405
1823,1,dex,"[""1""]",bango-file,prefix.dat,406
1824,1,dex,"[""1""]",bango-file,prefix.dat,407
1825,1,dex,"[""1""]",bango-file,prefix.dat,408
1826,1,dex,"[""2""]",bango-file,prefix.dat,409
1827,1,dex,"[""2""]",bango-file,prefix.dat,410
1828,1,dex,"[""2""]",bango-file,prefix.dat,411
1829,1,dex,"[""2""]",bango-file,prefix.dat,412
1830,1,dex,"[""3""]",bango-file,prefix.dat,413
1831,1,dex,"[""3""]",bango-file,prefix.dat,414
1832,1,dex,"[""3""]",bango-file,prefix.dat,415
1833,1,dex,"[""3""]",bango-file,prefix.dat,416
1834,1,dex,"[""4""]",bango-file,prefix.dat,417
1835,1,dex,"[""4""]",bango-file,prefix.dat,418
1841,1,dex,"[""1""]",bango-file,prefix.dat,420
1842,1,dex,"[""1""]",bango-file,prefix.dat,421
1843,1,dex,"[""2""]",bango-file,prefix.dat,422
1844,1,dex,"[""2""]",bango-file,prefix.dat,423
1845,1,dex,"[""2""]",bango-file,prefix.dat,424
1846,1,dex,"[""3""]",bango-file,prefix.dat,425
1847,1,dex,"[""3""]",bango-file,prefix.dat,426
1848,1,dex,"[""4""]",bango-file,prefix.dat,427
1849,1,dex,"[""4""]",bango-file,prefix.dat,428
1850,1,dex,"[""5""]",bango-file,prefix.dat,429
1851,1,dex,"[""5""]",bango-file,prefix.dat,430
1852,1,dex,"[""6""]",bango-file,prefix.dat,431
1853,1,dex,"[""6""]",bango-file,prefix.dat,432
1854,1,dex,"[""7""]",bango-file,prefix.dat,433
1855,1,dex,"[""7""]",bango-file,prefix.dat,434
2001,1,int,"[""1""]",bango-file,prefix.dat,438
2002,1,int,"[""1""]",bango-file,prefix.dat,439
2003,1,int,"[""1""]",bango-file,prefix.dat,440
2004,1,int,"[""1""]",bango-file,prefix.dat,441
2005,1,int,"[""1""]",bango-file,prefix.dat,442
2006,1,int,"[""1""]",bango-file,prefix.dat,443
2007,1,int,"[""1""]",bango-file,prefix.dat,444
2008,1,int,"[""1""]",bango-file,prefix.dat,445
2009,1,int,"[""1""]",bango-file,prefix.dat,446
2010,1,int,"[""2""]",bango-file,prefix.dat,447
2011,1,int,"[""2""]",bango-file,prefix.dat,448
2012,1,int,"[""2""]",bango-file,prefix.dat,449
2013,1,int,"[""2""]",bango-file,prefix.dat,450
2014,1,int,"[""2""]",bango-file,prefix.dat,451
2015,1,int,"[""2""]",bango-file,prefix.dat,452
2021,1,int,"[""1""]",bango-file,prefix.dat,454
2022,1,int,"[""1""]",bango-file,prefix.dat,455
2023,1,int,"[""1""]",bango-file,prefix.dat,456
2024,1,int,"[""1""]",bango-file,prefix.dat,457
2025,1,int,"[""1""]",bango-file,prefix.dat,458
2026,1,int,"[""2""]",bango-file,prefix.dat,459
2027,1,int,"[""2""]",bango-file,prefix.dat,460
2028,1,int,"[""2""]",bango-file,prefix.dat,461
2029,1,int,"[""2""]",bango-file,prefix.dat,462
2030,1,int,"[""3""]",bango-file,prefix.dat,463
2031,1,int,"[""3""]",bango-file,prefix.dat,464
2032,1,int,"[""3""]",bango-file,prefix.dat,465
2033,1,int,"[""3""]",bango-file,prefix.dat,466
2034,1,int,"[""4""]",bango-file,prefix.dat,467
2035,1,int,"[""4""]",bango-file,prefix.dat,468
2041,1,int,"[""1""]",bango-file,prefix.dat,471
2042,1,int,"[""1""]",bango-file,prefix.dat,472
2043,1,int,"[""2""]",bango-file,prefix.dat,473
2044,1,int,"[""2""]",bango-file,prefix.dat,474
2045,1,int,"[""2""]",bango-file,prefix.dat,475
2046,1,int,"[""3""]",bango-file,prefix.dat,476
2047,1,int,"[""3""]",bango-file,prefix.dat,477
2048,1,int,"[""4""]",bango-file,prefix.dat,478
2049,1,int,"[""4""]",bango-file,prefix.dat,479
2050,1,int,"[""5""]",bango-file,prefix.dat,480
2051,1,int,"[""5""]",bango-file,prefix.dat,481
2052,1,int,"[""6""]",bango-file,prefix.dat,482
2053,1,int,"[""6""]",bango-file,prefix.dat,483
2054,1,int,"[""7""]",bango-file,prefix.dat,484
2055,1,int,"[""7""]",bango-file,prefix.dat,485
2201,1,wis,"[""1""]",bango-file,prefix.dat,489
2202,1,wis,"[""1""]",bango-file,prefix.dat,490
2203,1,wis,"[""1""]",bango-file,prefix.dat,491
2204,1,wis,"[""1""]",bango-file,prefix.dat,492
2205,1,wis,"[""1""]",bango-file,prefix.dat,493
2206,1,wis,"[""1""]",bango-file,prefix.dat,494
2207,1,wis,"[""1""]",bango-file,prefix.dat,495
2208,1,wis,"[""1""]",bango-file,prefix.dat,496
2209,1,wis,"[""1""]",bango-file,prefix.dat,497
2210,1,wis,"[""2""]",bango-file,prefix.dat,498
2211,1,wis,"[""2""]",bango-file,prefix.dat,499
2212,1,wis,"[""2""]",bango-file,prefix.dat,500
2213,1,wis,"[""2""]",bango-file,prefix.dat,501
2214,1,wis,"[""2""]",bango-file,prefix.dat,502
2215,1,wis,"[""2""]",bango-file,prefix.dat,503
2221,1,wis,"[""1""]",bango-file,prefix.dat,505
2222,1,wis,"[""1""]",bango-file,prefix.dat,506
2223,1,wis,"[""1""]",bango-file,prefix.dat,507
2224,1,wis,"[""1""]",bango-file,prefix.dat,508
2225,1,wis,"[""1""]",bango-file,prefix.dat,509
2226,1,wis,"[""2""]",bango-file,prefix.dat,510
2227,1,wis,"[""2""]",bango-file,prefix.dat,511
2228,1,wis,"[""2""]",bango-file,prefix.dat,512
2229,1,wis,"[""2""]",bango-file,prefix.dat,513
2230,1,wis,"[""3""]",bango-file,prefix.dat,514
2231,1,wis,"[""3""]",bango-file,prefix.dat,515
2232,1,wis,"[""3""]",bango-file,prefix.dat,516
2233,1,wis,"[""3""]",bango-file,prefix.dat,517
2234,1,wis,"[""4""]",bango-file,prefix.dat,518
2235,1,wis,"[""4""]",bango-file,prefix.dat,519
2241,1,wis,"[""1""]",bango-file,prefix.dat,521
2242,1,wis,"[""1""]",bango-file,prefix.dat,522
2243,1,wis,"[""2""]",bango-file,prefix.dat,523
2244,1,wis,"[""2""]",bango-file,prefix.dat,524
2245,1,wis,"[""2""]",bango-file,prefix.dat,525
2246,1,wis,"[""3""]",bango-file,prefix.dat,526
2247,1,wis,"[""3""]",bango-file,prefix.dat,527
2248,1,wis,"[""4""]",bango-file,prefix.dat,528
2249,1,wis,"[""4""]",bango-file,prefix.dat,529
2250,1,wis,"[""5""]",bango-file,prefix.dat,530
2251,1,wis,"[""5""]",bango-file,prefix.dat,531
2252,1,wis,"[""6""]",bango-file,prefix.dat,532
2253,1,wis,"[""6""]",bango-file,prefix.dat,533
2254,1,wis,"[""7""]",bango-file,prefix.dat,534
2255,1,wis,"[""7""]",bango-file,prefix.dat,535
2401,1,Hth,"[""1""]",bango-file,prefix.dat,539
2402,1,Hth,"[""1""]",bango-file,prefix.dat,540
2403,1,Hth,"[""1""]",bango-file,prefix.dat,541
2404,1,Hth,"[""1""]",bango-file,prefix.dat,542
2405,1,Hth,"[""1""]",bango-file,prefix.dat,543
2406,1,Hth,"[""1""]",bango-file,prefix.dat,544
2407,1,Hth,"[""1""]",bango-file,prefix.dat,545
2408,1,Hth,"[""1""]",bango-file,prefix.dat,546
2409,1,Hth,"[""1""]",bango-file,prefix.dat,547
2410,1,Hth,"[""2""]",bango-file,prefix.dat,548
2411,1,Hth,"[""2""]",bango-file,prefix.dat,549
2412,1,Hth,"[""2""]",bango-file,prefix.dat,550
2413,1,Hth,"[""2""]",bango-file,prefix.dat,551
2414,1,Hth,"[""2""]",bango-file,prefix.dat,552
2415,1,Hth,"[""2""]",bango-file,prefix.dat,553
2421,1,Hth,"[""1""]",bango-file,prefix.dat,555
2422,1,Hth,"[""1""]",bango-file,prefix.dat,556
2423,1,Hth,"[""1""]",bango-file,prefix.dat,557
2424,1,Hth,"[""1""]",bango-file,prefix.dat,558
2425,1,Hth,"[""1""]",bango-file,prefix.dat,559
2426,1,Hth,"[""2""]",bango-file,prefix.dat,560
2427,1,Hth,"[""2""]",bango-file,prefix.dat,561
2428,1,Hth,"[""2""]",bango-file,prefix.dat,562
2429,1,Hth,"[""2""]",bango-file,prefix.dat,563
2430,1,Hth,"[""3""]",bango-file,prefix.dat,564
2431,1,Hth,"[""3""]",bango-file,prefix.dat,565
2432,1,Hth,"[""3""]",bango-file,prefix.dat,566
2433,1,Hth,"[""3""]",bango-file,prefix.dat,567
2434,1,Hth,"[""4""]",bango-file,prefix.dat,568
2435,1,Hth,"[""4""]",bango-file,prefix.dat,569
2441,1,Hth,"[""1""]",bango-file,prefix.dat,571
2442,1,Hth,"[""1""]",bango-file,prefix.dat,572
2443,1,Hth,"[""2""]",bango-file,prefix.dat,573
2444,1,Hth,"[""2""]",bango-file,prefix.dat,574
2445,1,Hth,"[""2""]",bango-file,prefix.dat,575
2446,1,Hth,"[""3""]",bango-file,prefix.dat,576
2447,1,Hth,"[""3""]",bango-file,prefix.dat,577
2448,1,Hth,"[""4""]",bango-file,prefix.dat,578
2449,1,Hth,"[""4""]",bango-file,prefix.dat,579
2450,1,Hth,"[""5""]",bango-file,prefix.dat,580
2451,1,Hth,"[""5""]",bango-file,prefix.dat,581
2452,1,Hth,"[""6""]",bango-file,prefix.dat,582
2453,1,Hth,"[""6""]",bango-file,prefix.dat,583
2454,1,Hth,"[""7""]",bango-file,prefix.dat,584
2455,1,Hth,"[""7""]",bango-file,prefix.dat,585
3001,1,hp,"[""100""]",bango-file,prefix.dat,591
3002,1,mp,"[""36""]",bango-file,prefix.dat,592
3003,1,attack,"[""6"",""6""]",bango-file,prefix.dat,593
3003,2,magic,"[""6"",""6""]",bango-file,prefix.dat,593
3004,1,str,"[""2""]",bango-file,prefix.dat,594
3005,1,dex,"[""2""]",bango-file,prefix.dat,595
3006,1,int,"[""2""]",bango-file,prefix.dat,596
3007,1,wis,"[""2""]",bango-file,prefix.dat,597
3008,1,Hth,"[""2""]",bango-file,prefix.dat,598
3009,1,hp,"[""150""]",bango-file,prefix.dat,600
3010,1,mp,"[""70""]",bango-file,prefix.dat,601
3011,1,attack,"[""14"",""14""]",bango-file,prefix.dat,602
3011,2,magic,"[""14"",""14""]",bango-file,prefix.dat,602
3012,1,str,"[""2""]",bango-file,prefix.dat,603
3013,1,dex,"[""2""]",bango-file,prefix.dat,604
3014,1,int,"[""2""]",bango-file,prefix.dat,605
3015,1,wis,"[""2""]",bango-file,prefix.dat,606
3016,1,Hth,"[""2""]",bango-file,prefix.dat,607
3017,1,hp,"[""224""]",bango-file,prefix.dat,609
3018,1,mp,"[""112""]",bango-file,prefix.dat,610
3019,1,attack,"[""36"",""36""]",bango-file,prefix.dat,611
3019,2,magic,"[""36"",""36""]",bango-file,prefix.dat,611
3020,1,str,"[""4""]",bango-file,prefix.dat,612
3021,1,dex,"[""4""]",bango-file,prefix.dat,613
3022,1,int,"[""4""]",bango-file,prefix.dat,614
3023,1,wis,"[""4""]",bango-file,prefix.dat,615
3024,1,Hth,"[""4""]",bango-file,prefix.dat,616
3033,1,hp,"[""160""]",bango-file,prefix.dat,618
3034,1,mp,"[""60""]",bango-file,prefix.dat,619
3035,1,attack,"[""12"",""12""]",bango-file,prefix.dat,620
3035,2,magic,"[""12"",""12""]",bango-file,prefix.dat,620
3036,1,str,"[""4""]",bango-file,prefix.dat,621
3037,1,dex,"[""4""]",bango-file,prefix.dat,622
3038,1,int,"[""4""]",bango-file,prefix.dat,623
3039,1,wis,"[""4""]",bango-file,prefix.dat,624
3040,1,Hth,"[""4""]",bango-file,prefix.dat,625
3041,1,hp,"[""258""]",bango-file,prefix.dat,627
3042,1,mp,"[""120""]",bango-file,prefix.dat,628
3043,1,attack,"[""24"",""24""]",bango-file,prefix.dat,629
3043,2,magic,"[""24"",""24""]",bango-file,prefix.dat,629
3044,1,str,"[""6""]",bango-file,prefix.dat,630
3045,1,dex,"[""6""]",bango-file,prefix.dat,631
3046,1,int,"[""6""]",bango-file,prefix.dat,632
3047,1,wis,"[""6""]",bango-file,prefix.dat,633
3048,1,Hth,"[""6""]",bango-file,prefix.dat,634
3049,1,hp,"[""400""]",bango-file,prefix.dat,636
3050,1,mp,"[""200""]",bango-file,prefix.dat,637
3051,1,attack,"[""64"",""64""]",bango-file,prefix.dat,638
3051,2,magic,"[""64"",""64""]",bango-file,prefix.dat,638
3052,1,str,"[""10""]",bango-file,prefix.dat,639
3053,1,dex,"[""10""]",bango-file,prefix.dat,640
3054,1,int,"[""10""]",bango-file,prefix.dat,641
3055,1,wis,"[""10""]",bango-file,prefix.dat,642
3056,1,Hth,"[""10""]",bango-file,prefix.dat,643
3065,1,hp,"[""220""]",bango-file,prefix.dat,645
3066,1,mp,"[""84""]",bango-file,prefix.dat,646
3067,1,attack,"[""18"",""18""]",bango-file,prefix.dat,647
3067,2,magic,"[""18"",""18""]",bango-file,prefix.dat,647
3068,1,str,"[""6""]",bango-file,prefix.dat,648
3069,1,dex,"[""6""]",bango-file,prefix.dat,649
3070,1,int,"[""6""]",bango-file,prefix.dat,650
3071,1,wis,"[""6""]",bango-file,prefix.dat,651
3072,1,Hth,"[""6""]",bango-file,prefix.dat,652
3073,1,hp,"[""366""]",bango-file,prefix.dat,654
3074,1,mp,"[""170""]",bango-file,prefix.dat,655
3075,1,attack,"[""34"",""34""]",bango-file,prefix.dat,656
3075,2,magic,"[""34"",""34""]",bango-file,prefix.dat,656
3076,1,str,"[""10""]",bango-file,prefix.dat,657
3077,1,dex,"[""10""]",bango-file,prefix.dat,658
3078,1,int,"[""10""]",bango-file,prefix.dat,659
3079,1,wis,"[""10""]",bango-file,prefix.dat,660
3080,1,Hth,"[""10""]",bango-file,prefix.dat,661
3081,1,hp,"[""556""]",bango-file,prefix.dat,663
3082,1,mp,"[""288""]",bango-file,prefix.dat,664
3083,1,attack,"[""92"",""92""]",bango-file,prefix.dat,665
3083,2,magic,"[""92"",""92""]",bango-file,prefix.dat,665
3084,1,str,"[""16""]",bango-file,prefix.dat,666
3085,1,dex,"[""16""]",bango-file,prefix.dat,667
3086,1,int,"[""16""]",bango-file,prefix.dat,668
3087,1,wis,"[""16""]",bango-file,prefix.dat,669
3088,1,Hth,"[""16""]",bango-file,prefix.dat,670
3097,1,hp,"[""100""]",bango-file,prefix.dat,675
3097,2,attack,"[""6"",""6""]",bango-file,prefix.dat,675
3097,3,magic,"[""6"",""6""]",bango-file,prefix.dat,675
3098,1,mp,"[""36""]",bango-file,prefix.dat,676
3098,2,int,"[""2""]",bango-file,prefix.dat,676
3099,1,attack,"[""6"",""6""]",bango-file,prefix.dat,677
3099,2,magic,"[""6"",""6""]",bango-file,prefix.dat,677
3099,3,str,"[""2""]",bango-file,prefix.dat,677
3100,1,str,"[""2""]",bango-file,prefix.dat,678
3100,2,Hth,"[""2""]",bango-file,prefix.dat,678
3101,1,dex,"[""2""]",bango-file,prefix.dat,679
3101,2,str,"[""2""]",bango-file,prefix.dat,679
3102,1,int,"[""2""]",bango-file,prefix.dat,680
3102,2,attack,"[""6"",""6""]",bango-file,prefix.dat,680
3102,3,magic,"[""6"",""6""]",bango-file,prefix.dat,680
3103,1,wis,"[""2""]",bango-file,prefix.dat,681
3103,2,int,"[""2""]",bango-file,prefix.dat,681
3104,1,Hth,"[""2""]",bango-file,prefix.dat,682
3104,2,hp,"[""100""]",bango-file,prefix.dat,682
3105,1,hp,"[""150""]",bango-file,prefix.dat,684
3105,2,attack,"[""14"",""14""]",bango-file,prefix.dat,684
3105,3,magic,"[""14"",""14""]",bango-file,prefix.dat,684
3106,1,mp,"[""70""]",bango-file,prefix.dat,685
3106,2,int,"[""2""]",bango-file,prefix.dat,685
3107,1,attack,"[""14"",""14""]",bango-file,prefix.dat,686
3107,2,magic,"[""14"",""14""]",bango-file,prefix.dat,686
3107,3,str,"[""2""]",bango-file,prefix.dat,686
3108,1,str,"[""2""]",bango-file,prefix.dat,687
3108,2,Hth,"[""2""]",bango-file,prefix.dat,687
3109,1,dex,"[""2""]",bango-file,prefix.dat,688
3109,2,str,"[""2""]",bango-file,prefix.dat,688
3110,1,int,"[""2""]",bango-file,prefix.dat,689
3110,2,attack,"[""14"",""14""]",bango-file,prefix.dat,689
3110,3,magic,"[""14"",""14""]",bango-file,prefix.dat,689
3111,1,wis,"[""2""]",bango-file,prefix.dat,690
3111,2,int,"[""2""]",bango-file,prefix.dat,690
3112,1,Hth,"[""2""]",bango-file,prefix.dat,691
3112,2,hp,"[""150""]",bango-file,prefix.dat,691
3113,1,hp,"[""224""]",bango-file,prefix.dat,693
3113,2,attack,"[""36"",""36""]",bango-file,prefix.dat,693
3113,3,magic,"[""36"",""36""]",bango-file,prefix.dat,693
3114,1,mp,"[""112""]",bango-file,prefix.dat,694
3114,2,int,"[""4""]",bango-file,prefix.dat,694
3115,1,attack,"[""36"",""36""]",bango-file,prefix.dat,695
3115,2,magic,"[""36"",""36""]",bango-file,prefix.dat,695
3115,3,str,"[""4""]",bango-file,prefix.dat,695
3116,1,str,"[""4""]",bango-file,prefix.dat,696
3116,2,Hth,"[""4""]",bango-file,prefix.dat,696
3117,1,dex,"[""4""]",bango-file,prefix.dat,697
3117,2,str,"[""4""]",bango-file,prefix.dat,697
3118,1,int,"[""4""]",bango-file,prefix.dat,698
3118,2,attack,"[""36"",""36""]",bango-file,prefix.dat,698
3118,3,magic,"[""36"",""36""]",bango-file,prefix.dat,698
3119,1,wis,"[""4""]",bango-file,prefix.dat,699
3119,2,int,"[""4""]",bango-file,prefix.dat,699
3120,1,Hth,"[""4""]",bango-file,prefix.dat,700
3120,2,hp,"[""224""]",bango-file,prefix.dat,700
3121,1,hp,"[""160""]",bango-file,prefix.dat,702
3121,2,attack,"[""12"",""12""]",bango-file,prefix.dat,702
3121,3,magic,"[""12"",""12""]",bango-file,prefix.dat,702
3122,1,mp,"[""60""]",bango-file,prefix.dat,703
3122,2,int,"[""4""]",bango-file,prefix.dat,703
3123,1,attack,"[""12"",""12""]",bango-file,prefix.dat,704
3123,2,magic,"[""12"",""12""]",bango-file,prefix.dat,704
3123,3,str,"[""4""]",bango-file,prefix.dat,704
3124,1,str,"[""4""]",bango-file,prefix.dat,705
3124,2,Hth,"[""4""]",bango-file,prefix.dat,705
3125,1,dex,"[""4""]",bango-file,prefix.dat,706
3125,2,str,"[""4""]",bango-file,prefix.dat,706
3126,1,int,"[""4""]",bango-file,prefix.dat,707
3126,2,attack,"[""12"",""12""]",bango-file,prefix.dat,707
3126,3,magic,"[""12"",""12""]",bango-file,prefix.dat,707
3127,1,wis,"[""4""]",bango-file,prefix.dat,708
3127,2,int,"[""4""]",bango-file,prefix.dat,708
3128,1,Hth,"[""4""]",bango-file,prefix.dat,709
3128,2,hp,"[""160""]",bango-file,prefix.dat,709
3129,1,hp,"[""258""]",bango-file,prefix.dat,711
3129,2,attack,"[""24"",""24""]",bango-file,prefix.dat,711
3129,3,magic,"[""24"",""24""]",bango-file,prefix.dat,711
3130,1,mp,"[""120""]",bango-file,prefix.dat,712
3130,2,int,"[""6""]",bango-file,prefix.dat,712
3131,1,attack,"[""24"",""24""]",bango-file,prefix.dat,713
3131,2,magic,"[""24"",""24""]",bango-file,prefix.dat,713
3131,3,str,"[""6""]",bango-file,prefix.dat,713
3132,1,str,"[""6""]",bango-file,prefix.dat,714
3132,2,Hth,"[""6""]",bango-file,prefix.dat,714
3133,1,dex,"[""6""]",bango-file,prefix.dat,715
3133,2,str,"[""6""]",bango-file,prefix.dat,715
3134,1,int,"[""6""]",bango-file,prefix.dat,716
3134,2,attack,"[""24"",""24""]",bango-file,prefix.dat,716
3134,3,magic,"[""24"",""24""]",bango-file,prefix.dat,716
3135,1,wis,"[""6""]",bango-file,prefix.dat,717
3135,2,int,"[""6""]",bango-file,prefix.dat,717
3136,1,Hth,"[""6""]",bango-file,prefix.dat,718
3136,2,hp,"[""258""]",bango-file,prefix.dat,718
3137,1,hp,"[""400""]",bango-file,prefix.dat,720
3137,2,attack,"[""64"",""64""]",bango-file,prefix.dat,720
3137,3,magic,"[""64"",""64""]",bango-file,prefix.dat,720
3138,1,mp,"[""200""]",bango-file,prefix.dat,721
3138,2,int,"[""10""]",bango-file,prefix.dat,721
3139,1,attack,"[""64"",""64""]",bango-file,prefix.dat,722
3139,2,magic,"[""64"",""64""]",bango-file,prefix.dat,722
3139,3,str,"[""10""]",bango-file,prefix.dat,722
3140,1,str,"[""10""]",bango-file,prefix.dat,723
3140,2,Hth,"[""10""]",bango-file,prefix.dat,723
3141,1,dex,"[""10""]",bango-file,prefix.dat,724
3141,2,str,"[""10""]",bango-file,prefix.dat,724
3142,1,int,"[""10""]",bango-file,prefix.dat,725
3142,2,attack,"[""64"",""64""]",bango-file,prefix.dat,725
3142,3,magic,"[""64"",""64""]",bango-file,prefix.dat,725
3143,1,wis,"[""10""]",bango-file,prefix.dat,726
3143,2,int,"[""10""]",bango-file,prefix.dat,726
3144,1,Hth,"[""10""]",bango-file,prefix.dat,727
3144,2,hp,"[""400""]",bango-file,prefix.dat,727
3145,1,hp,"[""800""]",bango-file,prefix.dat,729
3146,1,mp,"[""400""]",bango-file,prefix.dat,730
3147,1,attack,"[""128"",""128""]",bango-file,prefix.dat,731
3147,2,magic,"[""128"",""128""]",bango-file,prefix.dat,731
3148,1,str,"[""20""]",bango-file,prefix.dat,732
3149,1,dex,"[""20""]",bango-file,prefix.dat,733
3150,1,int,"[""20""]",bango-file,prefix.dat,734
3151,1,wis,"[""20""]",bango-file,prefix.dat,735
3152,1,Hth,"[""20""]",bango-file,prefix.dat,736
3153,1,hp,"[""220""]",bango-file,prefix.dat,738
3153,2,attack,"[""18"",""18""]",bango-file,prefix.dat,738
3153,3,magic,"[""18"",""18""]",bango-file,prefix.dat,738
3154,1,mp,"[""84""]",bango-file,prefix.dat,739
3154,2,int,"[""6""]",bango-file,prefix.dat,739
3155,1,str,"[""6""]",bango-file,prefix.dat,740
3155,2,attack,"[""18"",""18""]",bango-file,prefix.dat,740
3155,3,magic,"[""18"",""18""]",bango-file,prefix.dat,740
3156,1,str,"[""6""]",bango-file,prefix.dat,741
3156,2,Hth,"[""6""]",bango-file,prefix.dat,741
3157,1,dex,"[""6""]",bango-file,prefix.dat,742
3157,2,str,"[""6""]",bango-file,prefix.dat,742
3158,1,int,"[""6""]",bango-file,prefix.dat,743
3158,2,attack,"[""18"",""18""]",bango-file,prefix.dat,743
3158,3,magic,"[""18"",""18""]",bango-file,prefix.dat,743
3159,1,wis,"[""6""]",bango-file,prefix.dat,744
3159,2,int,"[""6""]",bango-file,prefix.dat,744
3160,1,Hth,"[""6""]",bango-file,prefix.dat,745
3160,2,hp,"[""220""]",bango-file,prefix.dat,745
3161,1,hp,"[""366""]",bango-file,prefix.dat,747
3161,2,attack,"[""34"",""34""]",bango-file,prefix.dat,747
3161,3,magic,"[""34"",""34""]",bango-file,prefix.dat,747
3162,1,mp,"[""170""]",bango-file,prefix.dat,748
3162,2,int,"[""10""]",bango-file,prefix.dat,748
3163,1,str,"[""10""]",bango-file,prefix.dat,749
3163,2,attack,"[""34"",""34""]",bango-file,prefix.dat,749
3163,3,magic,"[""34"",""34""]",bango-file,prefix.dat,749
3164,1,str,"[""10""]",bango-file,prefix.dat,750
3164,2,Hth,"[""10""]",bango-file,prefix.dat,750
3165,1,dex,"[""10""]",bango-file,prefix.dat,751
3165,2,str,"[""10""]",bango-file,prefix.dat,751
3166,1,int,"[""10""]",bango-file,prefix.dat,752
3166,2,attack,"[""34"",""34""]",bango-file,prefix.dat,752
3166,3,magic,"[""34"",""34""]",bango-file,prefix.dat,752
3167,1,wis,"[""10""]",bango-file,prefix.dat,753
3167,2,int,"[""10""]",bango-file,prefix.dat,753
3168,1,Hth,"[""10""]",bango-file,prefix.dat,754
3168,2,hp,"[""366""]",bango-file,prefix.dat,754
3169,1,hp,"[""576""]",bango-file,prefix.dat,756
3169,2,attack,"[""92"",""92""]",bango-file,prefix.dat,756
3169,3,magic,"[""92"",""92""]",bango-file,prefix.dat,756
3170,1,mp,"[""288""]",bango-file,prefix.dat,757
3170,2,int,"[""16""]",bango-file,prefix.dat,757
3171,1,str,"[""16""]",bango-file,prefix.dat,758
3171,2,attack,"[""92"",""92""]",bango-file,prefix.dat,758
3171,3,magic,"[""92"",""92""]",bango-file,prefix.dat,758
3172,1,str,"[""16""]",bango-file,prefix.dat,759
3172,2,Hth,"[""16""]",bango-file,prefix.dat,759
3173,1,dex,"[""16""]",bango-file,prefix.dat,760
3173,2,str,"[""16""]",bango-file,prefix.dat,760
3174,1,int,"[""16""]",bango-file,prefix.dat,761
3174,2,attack,"[""92"",""92""]",bango-file,prefix.dat,761
3174,3,magic,"[""92"",""92""]",bango-file,prefix.dat,761
3175,1,wis,"[""16""]",bango-file,prefix.dat,762
3175,2,int,"[""16""]",bango-file,prefix.dat,762
3176,1,Hth,"[""16""]",bango-file,prefix.dat,763
