normalized_name,status,legacy_names,bango_names,legacy_row_count,bango_row_count,legacy_positions,bango_keys,bango_limits
weapondefend,matched-name,Weapon Defend,Weapon defend,1,1,12,knight-39,"[""knight""]"
weaponmastery,matched-name,Weapon Mastery,Weapon Mastery,1,1,8,knight-2,"[""knight""]"
whirlwindfeather,bango-only-name,,Whirlwind Feather,0,1,,gale-74,"[""gale""]"
wideningwound,matched-name,Widening Wound,Widening Wound,1,1,9,knight-12,"[""knight""]"
windcry,bango-only-name,,Wind Cry,0,1,,thief-29,"[""thief""]"
wrathofheaven,matched-name,Wrath of Heaven,Wrath of Heaven,1,1,26,thief-33,"[""thief""]"
wrathofthief,bango-only-name,,Wrath of Thief,0,1,,thief-31,"[""thief""]"
youngtransformation,bango-only-name,,Young Transformation,0,1,,common-101,[]
zilpoong,bango-only-name,,ZilPoong,0,1,,gale-74,"[""gale""]"
占식뤄옙치占쏙옙,bango-only-name,,占식뤄옙치占쏙옙,0,3,,monster-195|monster-235|monster-236,"[""monster""]|[""monster""]|[""monster""]"
占식욕감占쏙옙,bango-only-name,,占식욕감占쏙옙,0,1,,monster-145,"[""monster""]"
占싣몌옙占쌓띰옙,bango-only-name,,占싣몌옙占쌓띰옙,0,1,,monster-123,"[""monster""]"
占싫몌옙占쏙옙타,bango-only-name,,占싫몌옙 占쏙옙타,0,2,,monster-174|monster-224,"[""monster""]|[""monster""]"
占싱삼옙占싹곤옙,bango-only-name,,占싱삼옙 占싹곤옙,0,1,,monster-164,"[""monster""]"
占싱속곤옙占쏙옙,bango-only-name,,占싱속곤옙占쏙옙,0,1,,monster-110,"[""monster""]"
占싶듸옙占쏙옙占쏙옙占쏙옙,bango-only-name,,占싶듸옙占쏙옙占쏙옙(占쏙옙),0,3,,monster-181|monster-184|monster-187,"[""monster""]|[""monster""]|[""monster""]"
占싹울링,bango-only-name,,占싹울링,0,1,,monster-192,"[""monster""]"
占싻몌옙,bango-only-name,,占싻몌옙,0,1,,monster-24,"[""monster""]"
占싼몌옙占쏙옙占쏙옙,bango-only-name,,占싼몌옙占쏙옙占쏙옙,0,1,,monster-108,"[""monster""]"
占싼몌옙채占쏙옙,bango-only-name,,占싼몌옙채占쏙옙,0,1,,monster-109,"[""monster""]"
占쌀듸옙占쏙옙占쌩삼옙,bango-only-name,,占쌀듸옙占쏙옙 占쌩삼옙,0,1,,monster-25,"[""monster""]"
占쌀바댐옙,bango-only-name,,占쌀바댐옙,0,2,,monster-100|monster-120,"[""monster""]|[""monster""]"
占쌀븝옙占쏙옙,bango-only-name,,占쌀븝옙占쏙옙,0,1,,monster-87,"[""monster""]"
占쌀용돌占쏙옙,bango-only-name,,占쌀용돌占쏙옙,0,1,,monster-81,"[""monster""]"
占쌈뱄옙,bango-only-name,,占쌈뱄옙,0,1,,monster-104,"[""monster""]"
占쌍두몌옙占쏙옙1,bango-only-name,,占쌍두몌옙占쏙옙1,0,1,,monster-18,"[""monster""]"
占쌍두몌옙占쏙옙2,bango-only-name,,占쌍두몌옙占쏙옙2,0,1,,monster-19,"[""monster""]"
占쌍몌옙,bango-only-name,,占쌍몌옙,0,1,,monster-166,"[""monster""]"
占쌓몌옙占쏙옙占쏙옙占쏙옙,bango-only-name,,占쌓몌옙占쏙옙 占쏙옙占쏙옙,0,1,,monster-213,"[""monster""]"
占쌨댐옙占xbd占쏙옙천占쏙옙,bango-only-name,,占쌨댐옙占\xbd? 占쏙옙천占쏙옙,0,1,,monster-47,"[""monster""]"
占쌨쇽옙占싹곤옙,bango-only-name,,占쌨쇽옙 占싹곤옙,0,1,,monster-168,"[""monster""]"
占쌩몌옙占쏙옙占쏙옙占쏙옙,bango-only-name,,占쌩몌옙占쏙옙 占쏙옙占쏙옙,0,1,,monster-41,"[""monster""]"
占쌩몌옙占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙,bango-only-name,,占쌩몌옙占쏙옙 占쏙옙占쏙옙_占쏙옙占쏙옙,0,1,,monster-43,"[""monster""]"
占쌩쏙옙회占쏙옙,bango-only-name,,占쌩쏙옙회占쏙옙,0,1,,monster-83,"[""monster""]"
占썩마占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙,bango-only-name,,占썩마占쏙옙 占쏙옙占쏙옙 占쏙옙占쏙옙 ,0,1,,monster-78,"[""monster""]"
占썩마占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙창,bango-only-name,,占썩마占쏙옙 占쏙옙占쏙옙 占쏙옙占쏙옙창,0,1,,monster-77,"[""monster""]"
占썩마占쏙옙占쏙옙占쏙옙화占쏙옙占쏙옙,bango-only-name,,占썩마占쏙옙 占쏙옙占쏙옙 화占쏙옙 占쏙옙,0,1,,monster-79,"[""monster""]"
占썰병占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙환,bango-only-name,,占썰병 占쏙옙占쏙옙 占쏙옙占쏙옙 占쏙옙환,0,1,,monster-70,"[""monster""]"
占썸돌,bango-only-name,,占썸돌,0,8,,monster-162|monster-225|monster-226|monster-227|monster-228|monster-229|monster-230|monster-234,"[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占썹날占실곤옙,bango-only-name,,占썹날占실곤옙,0,1,,monster-196,"[""monster""]"
占쎌갗占쏙옙占쏙옙,bango-only-name,,占쎌갗占쏙옙占쏙옙,0,1,,monster-163,"[""monster""]"
占쎌슨칼占쏙옙,bango-only-name,,占쎌슨 칼占쏙옙,0,1,,monster-134,"[""monster""]"
占쏘쓰占쏙옙占쏙옙크,bango-only-name,,占쏘쓰占쏙옙占쏙옙크,0,1,,monster-190,"[""monster""]"
占쏙옙占xbd,bango-only-name,,占쏙옙占\xbd?,0,1,,monster-156,"[""monster""]"
占쏙옙占xbd占썲군占쏙옙환,bango-only-name,,占쏙옙占\xbd? 占썲군 占쏙옙환,0,1,,monster-75,"[""monster""]"
占쏙옙占싶쇽옙환,bango-only-name,,占쏙옙占싶쇽옙환,0,1,,monster-143,"[""monster""]"
占쏙옙占쌘쇽옙,bango-only-name,,占쏙옙占쌘쇽옙,0,2,,monster-29|monster-223,"[""monster""]|[""monster""]"
占쏙옙占썅선,bango-only-name,,占쏙옙占썅선,0,1,,monster-85,"[""monster""]"
占쏙옙占썸섬,bango-only-name,,占쏙옙占썸섬,0,1,,monster-84,"[""monster""]"
占쏙옙占쏙림,bango-only-name,,占쏙옙占쏙림,0,4,,monster-113|monster-117|monster-157|monster-222,"[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙占쏙옙,bango-only-name,,占쏙옙占쏙옙,0,7,,monster-115|monster-116|monster-119|monster-124|monster-144|monster-155|monster-159,"[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙占쏙옙占xbd,bango-only-name,,占쏙옙占쏙옙占\xbd?,0,1,,monster-136,"[""monster""]"
占쏙옙占쏙옙占xbd占싱쇽옙회占쏙옙,bango-only-name,,"占쏙옙占쏙옙占\xbd?-占싱쇽옙, 회占쏙옙",0,1,,monster-126,"[""monster""]"
占쏙옙占쏙옙占xbd占쌕댐옙占쏙옙占xbd,bango-only-name,,占쏙옙占쏙옙占\xbd? 占쌕댐옙 占쏙옙占\xbd?,0,1,,monster-68,"[""monster""]"
占쏙옙占쏙옙占xbd占쏙옙占쏙옙,bango-only-name,,占쏙옙占쏙옙占\xbd? 占쏙옙占쏙옙,0,3,,monster-114|monster-118|monster-158,"[""monster""]|[""monster""]|[""monster""]"
占쏙옙占쏙옙占싱듸옙,bango-only-name,,占쏙옙占쏙옙占싱듸옙,0,1,,monster-4,"[""monster""]"
占쏙옙占쏙옙占싸신쇽옙,bango-only-name,,占쏙옙占쏙옙 占싸신쇽옙,0,1,,monster-72,"[""monster""]"
占쏙옙占쏙옙占싻쇽옙,bango-only-name,,占쏙옙占쏙옙 占싻쇽옙,0,2,,monster-140|monster-141,"[""monster""]|[""monster""]"
占쏙옙占쏙옙占싼몌옙,bango-only-name,,占쏙옙占쏙옙 占싼몌옙,0,1,,monster-90,"[""monster""]"
占쏙옙占쏙옙占쌀바댐옙,bango-only-name,,占쏙옙占쏙옙占쌀바댐옙,0,1,,monster-146,"[""monster""]"
占쏙옙占쏙옙占쏘르占쏙옙,bango-only-name,,占쏙옙占쏙옙 占쏘르占쏙옙,0,1,,monster-170,"[""monster""]"
占쏙옙占쏙옙占쏙옙,bango-only-name,,占쏙옙占쏙옙占쏙옙|占쏙옙占쏙옙占쏙옙?,0,4,,monster-15|monster-88|monster-107|monster-167,"[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙占xbd,bango-only-name,,占쏙옙占쏙옙 占쏙옙占\xbd?,0,1,,monster-175,"[""monster""]"
占쏙옙占쏙옙占쏙옙占시쇽옙,bango-only-name,,占쏙옙占쏙옙占쏙옙 占시쇽옙,0,1,,monster-214,"[""monster""]"
占쏙옙占쏙옙占쏙옙占싹곤옙,bango-only-name,,占쏙옙占쏙옙占쏙옙 占싹곤옙,0,1,,monster-173,"[""monster""]"
占쏙옙占쏙옙占쏙옙占쌀깍옙,bango-only-name,,占쏙옙占쏙옙占쏙옙 占쌀깍옙,0,2,,monster-26|monster-27,"[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙占쏘리,bango-only-name,,占쏙옙占쏙옙 占쏙옙占쏘리,0,1,,monster-22,"[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙,bango-only-name,,占쏙옙占쏙옙 占쏙옙占쏙옙|占쏙옙占쏙옙占쏙옙占쏙옙,0,6,,monster-233|monster-96|monster-106|monster-111|monster-135|monster-161,"[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙占xbd占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙치占쏙옙,bango-only-name,,占쏙옙占쏙옙 占쏙옙占쏙옙占\xbd? 占쏙옙占쏙옙占쏙옙 占쏙옙占쏙옙치占쏙옙,0,1,,monster-69,"[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙占싻놂옙,bango-only-name,,占쏙옙占쏙옙占쏙옙占쏙옙 占싻놂옙,0,1,,monster-0,"[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙占쌩삼옙,bango-only-name,,占쏙옙占쏙옙占쏙옙占쏙옙 占쌩삼옙,0,1,,monster-35,"[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙占쏙림,bango-only-name,,占쏙옙占쏙옙占쏙옙 占쏙옙占쏙림,0,2,,monster-3|monster-20,"[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙,bango-only-name,,占쏙옙 占쏙옙占쏙옙 占쏙옙占쏙옙|占쏙옙占쏙옙占쏙옙 占쏙옙(占쏙옙)|占쏙옙占쏙옙占쏙옙 占쏙옙占쏙옙,0,11,,monster-17|monster-59|monster-62|monster-64|monster-65|monster-66|monster-169|monster-178|monster-180|monster-183|monster-186,"[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙,bango-only-name,,占쏙옙占쏙옙 占쏙옙占쏙옙 占쏙옙占쏙옙|占쏙옙占쏙옙占쏙옙占쏙옙 占쏙옙占쏙옙,0,4,,monster-1|monster-6|monster-13|monster-215,"[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙짝占쏙옙,bango-only-name,,占쏙옙占쏙옙占쏙옙占쏙옙 占쏙옙占쏙옙 짝占쏙옙,0,1,,monster-121,"[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙호,bango-only-name,,占쏙옙占쏙옙占쏙옙 占쏙옙占쏙옙 占쏙옙호,0,1,,monster-7,"[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙창,bango-only-name,,占쏙옙占쏙옙 占쏙옙占쏙옙 창,0,1,,monster-76,"[""monster""]"
占쏙옙占쏙옙占쏙옙占쏙옙환,bango-only-name,,占쏙옙占쏙옙占쏙옙 占쏙옙환,0,2,,monster-2|monster-127,"[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙칼占쏙옙,bango-only-name,,占쏙옙占쏙옙占쏙옙 칼占쏙옙,0,1,,monster-122,"[""monster""]"
占쏙옙占쏙옙占쏙옙풍,bango-only-name,,占쏙옙占쏙옙占쏙옙풍,0,4,,monster-9|monster-10|monster-102|monster-105,"[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙혼,bango-only-name,,占쏙옙占쏙옙占쏙옙 혼,0,1,,monster-44,"[""monster""]"
占쏙옙占쏙옙占쏙옙화,bango-only-name,,占쏙옙占쏙옙占쏙옙화,0,2,,monster-14|monster-23,"[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙화占쏙옙占xbd,bango-only-name,,占쏙옙占쏙옙 占쏙옙화(占쏙옙占\xbd?),0,1,,monster-132,"[""monster""]"
占쏙옙占쏙옙占쏙옙화占쏙옙占쏙옙,bango-only-name,,占쏙옙占쏙옙 占쏙옙화(占쏙옙占쏙옙)|占쏙옙占쏙옙占쏙옙화占쏙옙占쏙옙,0,2,,monster-101|monster-131,"[""monster""]|[""monster""]"
占쏙옙占쏙옙占쏙옙환,bango-only-name,,占쏙옙占쏙옙 占쏙옙환,0,2,,monster-28|monster-176,"[""monster""]|[""monster""]"
占쏙옙占쏙옙치占쏙옙,bango-only-name,,占쏙옙占쏙옙치占쏙옙 ,0,1,,monster-46,"[""monster""]"
占쏙옙占쏙옙풍,bango-only-name,,占쏙옙 占쏙옙풍|占쏙옙占쏙옙풍,0,5,,monster-67|monster-86|monster-97|monster-98|monster-177,"[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙占쏙옙화,bango-only-name,,占쏙옙占쏙옙화,0,2,,monster-160|monster-171,"[""monster""]|[""monster""]"
占쏙옙占쏙옙화占쏙옙,bango-only-name,,占쏙옙占쏙옙화占쏙옙,0,1,,monster-103,"[""monster""]"
占쏙옙占쏙옙환,bango-only-name,,占쏙옙 占쏙옙환,0,1,,monster-16,"[""monster""]"
占쏙옙占쏙옙환占쌥쇽옙,bango-only-name,,占쏙옙占쏙옙 환占쌥쇽옙,0,1,,monster-71,"[""monster""]"
占쏙옙釜占xbd,bango-only-name,,占쏙옙釜占\xbd?,0,1,,monster-32,"[""monster""]"
占쏙옙창占쏙옙환,bango-only-name,,占쏙옙창 占쏙옙환,0,1,,monster-80,"[""monster""]"
占쏙옙철화占쏙옙,bango-only-name,,占쏙옙철화占쏙옙,0,1,,monster-137,"[""monster""]"
占쏙옙청占쏙옙,bango-only-name,,占쏙옙청占쏙옙,0,1,,monster-112,"[""monster""]"
占쏙옙치占싱듸옙,bango-only-name,,占쏙옙치 占싱듸옙,0,1,,monster-142,"[""monster""]"
占쏙옙침,bango-only-name,,占쏙옙침,0,1,,monster-165,"[""monster""]"
占쏙옙침占쏙옙占쏙옙,bango-only-name,,占쏙옙침 占쏙옙占쏙옙,0,1,,monster-74,"[""monster""]"
占쏙옙타,bango-only-name,,占쏙옙타,0,1,,monster-194,"[""monster""]"
占쏙옙틀占쏙옙占쏙옙占xbd占싱뱄옙占쏙옙,bango-only-name,,占쏙옙틀占쏙옙 占쏙옙占\xbd? 占싱뱄옙占쏙옙,0,1,,monster-48,"[""monster""]"
占쏙옙틀占쏙옙占쏙옙占쏙옙占싱뱄옙占쏙옙,bango-only-name,,占쏙옙틀占쏙옙 占쏙옙占쏙옙 占싱뱄옙占쏙옙,0,1,,monster-53,"[""monster""]"
占쏙옙틀占쏙옙占쏙옙占쏙옙占쏙옙,bango-only-name,,占쏙옙틀占쏙옙 占쏙옙占쏙옙占쏙옙,0,4,,monster-55|monster-56|monster-57|monster-58,"[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙틀占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙占쏙옙占xbd,bango-only-name,,占쏙옙틀占쏙옙 占쏙옙占쏙옙占쏙옙 占쏙옙占쏙옙占쏙옙占\xbd?,0,1,,monster-54,"[""monster""]"
占쏙옙호占쏙옙,bango-only-name,,占쏙옙호占쏙옙,0,1,,monster-130,"[""monster""]"
占쏙옙호占쏙옙占쏙옙환,bango-only-name,,占쏙옙호占쏙옙 占쏙옙환,0,1,,monster-125,"[""monster""]"
占쏙옙호占쏙옙천占쏙옙占쏙옙탄占쏙옙占쏙옙,bango-only-name,,占쏙옙호占쏙옙천占쏙옙 占쏙옙탄 占쏙옙占쏙옙,0,1,,monster-36,"[""monster""]"
占쏙옙혼占쏙옙,bango-only-name,,占쏙옙혼占쏙옙,0,1,,monster-42,"[""monster""]"
占쏙옙화,bango-only-name,,占쏙옙화,0,2,,monster-8|monster-128,"[""monster""]|[""monster""]"
占쏙옙화占쏙옙,bango-only-name,,占쏙옙화占쏙옙,0,1,,monster-33,"[""monster""]"
占쏙옙환,bango-only-name,,占쏙옙환,0,2,,monster-129|monster-191,"[""monster""]|[""monster""]"
占쏙옙환占쏙옙,bango-only-name,,占쏙옙환占쏙옙,0,5,,monster-200|monster-201|monster-202|monster-203|monster-204,"[""monster""]|[""monster""]|[""monster""]|[""monster""]|[""monster""]"
占쏙옙환占쏙옙占쏙옙환,bango-only-name,,占쏙옙환占쏙옙 占쏙옙환,0,1,,monster-179,"[""monster""]"
占쏙옙효,bango-only-name,, 占쏙옙효 |占쏙옙효,0,2,,monster-45|monster-193,"[""monster""]|[""monster""]"
천占쌌븝옙占쏙옙,bango-only-name,,천占쌌븝옙占쏙옙,0,1,,monster-89,"[""monster""]"
천占쏙옙占xbd占싱뱄옙占쏙옙,bango-only-name,,천占쏙옙占\xbd? 占싱뱄옙占쏙옙,0,2,,monster-60|monster-61,"[""monster""]|[""monster""]"
천占쏙옙占xbd占싱뱄옙占쏙옙占쏙옙占쏙옙占쏙옙占쌩억옙,bango-only-name,,천占쏙옙占\xbd? 占싱뱄옙占쏙옙: 占쏙옙占쏙옙占쏙옙 占쌩억옙,0,1,,monster-51,"[""monster""]"
천占쏙옙占xbd占싱뱄옙占쏙옙占쏙옙占쏙옙占쏙옙환,bango-only-name,,천占쏙옙占\xbd? 占싱뱄옙占쏙옙: 占쏙옙占쏙옙 占쏙옙환,0,1,,monster-52,"[""monster""]"
천占쏙옙占xbd占싱뱄옙占쏙옙占쏙옙첩占실댐옙占쏙옙占쏙옙占쏙옙占싱쇽옙占쏙옙占쏙옙,bango-only-name,,천占쏙옙占\xbd? 占싱뱄옙占쏙옙: 占쏙옙첩占실댐옙 占쏙옙占쏙옙占쏙옙(占싱쇽옙 占쏙옙占쏙옙),0,1,,monster-49,"[""monster""]"
천占쏙옙占xbd占싱뱄옙占쏙옙占쏙옙첩占실댐옙占쏙옙占쏙옙占쏙옙체占쏙옙占쏙옙占쏙옙,bango-only-name,,천占쏙옙占\xbd? 占싱뱄옙占쏙옙: 占쏙옙첩占실댐옙 占쏙옙占쏙옙占쏙옙(체占쏙옙 占쏙옙占쏙옙),0,1,,monster-50,"[""monster""]"
천占쏙옙占쏙옙占쏙옙환,bango-only-name,,천占쏙옙占쏙옙 占쏙옙환,0,1,,monster-82,"[""monster""]"
혼占쏙옙占쏙옙占쏙옙,bango-only-name,,혼占쏙옙 占쏙옙占쏙옙,0,1,,monster-5,"[""monster""]"
홀占쏙옙占쏙옙,bango-only-name,,홀占쏙옙占쏙옙,0,1,,monster-172,"[""monster""]"
화占쏙옙占xbd,bango-only-name,,화占쏙옙占\xbd?,0,1,,monster-231,"[""monster""]"
화占쏙옙占싻삼옙,bango-only-name,,화占쏙옙 占싻삼옙|화占쏙옙占싻삼옙,0,2,,monster-232|monster-138,"[""monster""]|[""monster""]"
화占쏙옙占싻쇽옙,bango-only-name,,화占쏙옙 占싻쇽옙,0,1,,monster-139,"[""monster""]"
화占쏙옙占쏙옙,bango-only-name,,화占쏙옙占쏙옙,0,1,,monster-31,"[""monster""]"
화占쏙옙占쏙옙占쏙옙,bango-only-name,,화占쏙옙占쏙옙(占쏙옙),0,3,,monster-182|monster-185|monster-188,"[""monster""]|[""monster""]|[""monster""]"
화占쏙옙占쏙옙占쏙옙占쏙옙,bango-only-name,,화占쏙옙占쏙옙占쏙옙占쏙옙,0,1,,monster-34,"[""monster""]"
화占쏙옙占쏙옙占쏙옙환,bango-only-name,,화占쏙옙占쏙옙 占쏙옙환,0,1,,monster-21,"[""monster""]"
화占쏙옙占쏙옙풍,bango-only-name,,화占쏙옙占쏙옙풍,0,2,,monster-11|monster-99,"[""monster""]|[""monster""]"
환占쌘쇽옙,bango-only-name,,환占쌘쇽옙,0,1,,monster-30,"[""monster""]"
황占쏙옙占쏙옙치占쏙옙占쏙옙치占쏙옙,bango-only-name,,황占쏙옙 占쏙옙치 占쏙옙占쏙옙치占쏙옙,0,1,,monster-73,"[""monster""]"
