sk_megn,sk_type,sk_poz,sk_desc,sk_order,sk_pic,sk_lvl,sk_pre,sk_form,sk_pars,sk_maxpars,sk_mana,sk_charge,sk_coold,sk_range,sk_lasting,sk_honor,bango_key,bango_definition_ordinal,bango_limit_json,bango_action_json,bango_level_json,bango_grade_json,bango_maxlevel_json,bango_type_json,bango_property_json,bango_parameters_json,bango_parameter_rpn_json,bango_compares_json,bango_mana_rpn_json,bango_range_rpn_json,bango_cast_ms_rpn_json,bango_cooldown_ms_rpn_json,bango_compare_label_status_json,bango_conditions_json,bango_record_json,provenance,source_file,source_line
Perfect Evasion 2,1,,#nEvade opponent's physical attack perfectly.,,passive018,,,#nChance Perfect Evasion + %1!d! %%,,,,,,,,,archer-20,1,"[""archer""]","[""20""]","[""54"",""62"",""68"",""0""]","[""7"",""0""]","[""1"",""2"",""3"",""0""]","[""passive"",""etc""]","[""2"",""2"",""1"",""1"",""9"",""0""]","[[""parameter"",""1"",[""plus"",[""plus"",""evade"",""7""],""skill_level""]]]","[""evade 7 + skill_level +""]",[],[],[],[],[],{},"[[""condition"",""8"",""10""]]","[""skill"",[""key"",""archer-20""],[""name"",""Perfect Evasion 2""],[""limit"",""archer""],[""action"",""20""],[""image"",""passive018""],[""desc"",""#nEvade opponent's physical attack perfectly.""],[""ability"",""#nChance Perfect Evasion + %1!d! %%""],[""parameter"",""1"",[""plus"",[""plus"",""evade"",""7""],""skill_level""]],[""level"",""54"",""62"",""68"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""2"",""3"",""0""],[""condition"",""8"",""10""],[""type"",""passive"",""etc""],[""property"",""2"",""2"",""1"",""1"",""9"",""0""]]",bango-file,jobsystem.dat,4255
Mysterious Arrow,2,,"#nShoot several arrows to the target.#nWhen it hit the target, it explodes#nand the target gets continuous damage for 5 seconds.",,active072,,,#nShoot %1!d! arrows to the target continuously.#nAttack per arrow: 50%% of Normal Hit #nDebuff damage over time: 10%% of Normal Hit (5 waves)#nEnergy used : %2!d!,,,31 skill_level 11 * +,0,5000,weapon_range,,,archer-21,1,"[""archer""]","[""21""]","[""57"",""67"",""70"",""0""]","[""7"",""0""]","[""1"",""2"",""3"",""0""]","[""active"",""use""]","[""2"",""2"",""0"",""0"",""0"",""5""]","[[""parameter"",""1"",[""plus"",""skill_level"",""2""]],[""parameter"",""2"",[""plus"",""31"",[""mul"",""skill_level"",""11""]]]]","[""skill_level 2 +"",""31 skill_level 11 * +""]","[[""compare"",""1"",[""plus"",""31"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""5000""]]","[""31 skill_level 11 * +""]","[""weapon_range""]","[""0""]","[""5000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-21""],[""name"",""Mysterious Arrow""],[""limit"",""archer""],[""action"",""21""],[""image"",""active072""],[""desc"",""#nShoot several arrows to the target.#nWhen it hit the target, it explodes#nand the target gets continuous damage for 5 seconds.""],[""ability"",""#nShoot %1!d! arrows to the target continuously.#nAttack per arrow: 50%% of Normal Hit #nDebuff damage over time: 10%% of Normal Hit (5 waves)#nEnergy used : %2!d!""],[""parameter"",""1"",[""plus"",""skill_level"",""2""]],[""parameter"",""2"",[""plus"",""31"",[""mul"",""skill_level"",""11""]]],[""level"",""57"",""67"",""70"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""2"",""3"",""0""],[""compare"",""1"",[""plus"",""31"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""5000""],[""type"",""active"",""use""],[""motion"",""0"",""12"",""none""],[""ridemotion"",""2"",""3"",""none""],[""battleride"",""1""],[""damagetype"",""1""],[""property"",""2"",""2"",""0"",""0"",""0"",""5""]]",bango-file,jobsystem.dat,4271
Speed of Attack Reducer,2,,#nReduce the target's speed of physical attack for a while.,,active073,,,#nSpeed of Attack reduces by %1!d! %%#nLasting Time : 15#nEnergy used : 20,,,20,0,30000,weapon_range,,,archer-22,1,"[""archer""]","[""22""]","[""52"",""61"",""0""]","[""11"",""0""]","[""1"",""2"",""0""]","[""active"",""use""]","[""2"",""3"",""0"",""0"",""2"",""5""]","[[""parameter"",""1"",[""mul"",""skill_level"",""30""]]]","[""skill_level 30 *""]","[[""compare"",""1"",""20""],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""30000""]]","[""20""]","[""weapon_range""]","[""0""]","[""30000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-22""],[""name"",""Speed of Attack Reducer""],[""limit"",""archer""],[""action"",""22""],[""image"",""active073""],[""desc"",""#nReduce the target's speed of physical attack for a while.""],[""ability"",""#nSpeed of Attack reduces by %1!d! %%#nLasting Time : 15#nEnergy used : 20""],[""parameter"",""1"",[""mul"",""skill_level"",""30""]],[""level"",""52"",""61"",""0""],[""grade"",""11"",""0""],[""maxlevel"",""1"",""2"",""0""],[""compare"",""1"",""20""],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""30000""],[""type"",""active"",""use""],[""motion"",""0"",""11"",""none""],[""ridemotion"",""2"",""3"",""none""],[""battleride"",""1""],[""damagetype"",""3""],[""targetkind"",""1"",""2""],[""property"",""2"",""3"",""0"",""0"",""2"",""5""]]",bango-file,jobsystem.dat,4304
Sight Interruption,2,,#nReduce the opponent's movement instantly by 50%.,,active074,,,#nTime : %1!d!#nEnergy used : %2!d!,,,57 skill_level 11 * +,1000,5000,weapon_range,,,archer-23,1,"[""archer""]","[""23""]","[""53"",""58"",""69"",""0""]","[""11"",""0""]","[""1"",""2"",""3"",""0""]","[""active"",""use""]","[""2"",""3"",""0"",""0"",""2"",""5""]","[[""parameter"",""1"",[""mul"",""skill_level"",""8""]],[""parameter"",""2"",[""plus"",""57"",[""mul"",""skill_level"",""11""]]]]","[""skill_level 8 *"",""57 skill_level 11 * +""]","[[""compare"",""1"",[""plus"",""57"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""1000""],[""compare"",""4"",""5000""]]","[""57 skill_level 11 * +""]","[""weapon_range""]","[""1000""]","[""5000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-23""],[""name"",""Sight Interruption""],[""limit"",""archer""],[""action"",""23""],[""image"",""active074""],[""desc"",""#nReduce the opponent's movement instantly by 50%.""],[""ability"",""#nTime : %1!d!#nEnergy used : %2!d!""],[""parameter"",""1"",[""mul"",""skill_level"",""8""]],[""parameter"",""2"",[""plus"",""57"",[""mul"",""skill_level"",""11""]]],[""level"",""53"",""58"",""69"",""0""],[""grade"",""11"",""0""],[""maxlevel"",""1"",""2"",""3"",""0""],[""compare"",""1"",[""plus"",""57"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""1000""],[""compare"",""4"",""5000""],[""type"",""active"",""use""],[""motion"",""10"",""11"",""none""],[""ridemotion"",""2"",""3"",""none""],[""battleride"",""1""],[""damagetype"",""3""],[""targetkind"",""1"",""2""],[""property"",""2"",""3"",""0"",""0"",""2"",""5""]]",bango-file,jobsystem.dat,4326
Lightning Resistance,2,,#nIncrease the resistance on Lightning.,,active103,,,#nLightning Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!,,,42 skill_level 11 * +,0,60000,weapon_range,,,archer-24,1,"[""archer""]","[""24""]","[""52"",""64"",""0""]","[""7"",""0""]","[""1"",""2"",""0""]","[""active"",""once""]","[""2"",""2"",""1"",""0"",""3"",""0""]","[[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]]]","[""10 skill_level 5 * +"",""42 skill_level 11 * +""]","[[""compare"",""1"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""]]","[""42 skill_level 11 * +""]","[""weapon_range""]","[""0""]","[""60000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-24""],[""name"",""Lightning Resistance""],[""limit"",""archer""],[""action"",""24""],[""image"",""active103""],[""desc"",""#nIncrease the resistance on Lightning.""],[""ability"",""#nLightning Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!""],[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]],[""level"",""52"",""64"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""2"",""0""],[""compare"",""1"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""],[""type"",""active"",""once""],[""motion"",""0"",""9"",""none""],[""ridemotion"",""0"",""4"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""2"",""2"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,4351
Ice Resistance,2,,#nIncrease the resistance on Ice.,,active104,,,#nIce Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!,,,42 skill_level 11 * +,0,60000,weapon_range,,,archer-25,1,"[""archer""]","[""25""]","[""52"",""64"",""0""]","[""7"",""0""]","[""1"",""2"",""0""]","[""active"",""once""]","[""2"",""2"",""1"",""0"",""3"",""0""]","[[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]]]","[""10 skill_level 5 * +"",""42 skill_level 11 * +""]","[[""compare"",""1"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""]]","[""42 skill_level 11 * +""]","[""weapon_range""]","[""0""]","[""60000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-25""],[""name"",""Ice Resistance""],[""limit"",""archer""],[""action"",""25""],[""image"",""active104""],[""desc"",""#nIncrease the resistance on Ice.""],[""ability"",""#nIce Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!""],[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]],[""level"",""52"",""64"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""2"",""0""],[""compare"",""1"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""],[""type"",""active"",""once""],[""motion"",""0"",""9"",""none""],[""ridemotion"",""0"",""4"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""2"",""2"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,4373
Fire Resistance,2,,#nIncrease the resistance on fire.,,active105,,,#nFire Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!,,,42 skill_level 11 * +,0,60000,weapon_range,,,archer-26,1,"[""archer""]","[""26""]","[""52"",""64"",""0""]","[""7"",""0""]","[""1"",""2"",""0""]","[""active"",""once""]","[""2"",""2"",""1"",""0"",""3"",""0""]","[[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]]]","[""10 skill_level 5 * +"",""42 skill_level 11 * +""]","[[""compare"",""1"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""]]","[""42 skill_level 11 * +""]","[""weapon_range""]","[""0""]","[""60000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-26""],[""name"",""Fire Resistance""],[""limit"",""archer""],[""action"",""26""],[""image"",""active105""],[""desc"",""#nIncrease the resistance on fire.""],[""ability"",""#nFire Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!""],[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]],[""level"",""52"",""64"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""2"",""0""],[""compare"",""1"",[""plus"",""42"",[""mul"",""skill_level"",""11""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""],[""type"",""active"",""once""],[""motion"",""0"",""9"",""none""],[""ridemotion"",""0"",""4"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""2"",""2"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,4395
Powerful Arrow of Silence,2,,"#nBlock the opponent's magic,#nand consume the target's MP for 10 seconds.",,active106,,,#nMP Consumption per 1 sec : %1!d!#nLasting Time : 10#nEnergy used : %2!d!,,,80 skill_level 20 * +,2000,40000,weapon_range,,,archer-27,1,"[""archer""]","[""27""]","[""53"",""63"",""0""]","[""7"",""0""]","[""1"",""2"",""0""]","[""active"",""use""]","[""2"",""2"",""0"",""0"",""2"",""5""]","[[""parameter"",""1"",[""minus"",""120"",[""mul"",""70"",[""minus"",""2"",""skill_level""]]]],[""parameter"",""2"",[""plus"",""80"",[""mul"",""skill_level"",""20""]]]]","[""120 70 2 skill_level - * -"",""80 skill_level 20 * +""]","[[""compare"",""1"",[""plus"",""80"",[""mul"",""skill_level"",""20""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""2000""],[""compare"",""4"",""40000""]]","[""80 skill_level 20 * +""]","[""weapon_range""]","[""2000""]","[""40000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-27""],[""name"",""Powerful Arrow of Silence""],[""limit"",""archer""],[""action"",""27""],[""image"",""active106""],[""desc"",""#nBlock the opponent's magic,#nand consume the target's MP for 10 seconds.""],[""ability"",""#nMP Consumption per 1 sec : %1!d!#nLasting Time : 10#nEnergy used : %2!d!""],[""parameter"",""1"",[""minus"",""120"",[""mul"",""70"",[""minus"",""2"",""skill_level""]]]],[""parameter"",""2"",[""plus"",""80"",[""mul"",""skill_level"",""20""]]],[""level"",""53"",""63"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""2"",""0""],[""compare"",""1"",[""plus"",""80"",[""mul"",""skill_level"",""20""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""2000""],[""compare"",""4"",""40000""],[""type"",""active"",""use""],[""motion"",""2"",""3"",""none""],[""ridemotion"",""2"",""3"",""none""],[""battleride"",""1""],[""damagetype"",""3""],[""targetkind"",""1""],[""property"",""2"",""2"",""0"",""0"",""2"",""5""]]",bango-file,jobsystem.dat,4417
Curse Resistance,2,,#nIncrease the resistance on Curse.,,active107,,,#nCurse Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!,,,22 skill_level 14 * +,0,60000,weapon_range,,,archer-28,1,"[""archer""]","[""28""]","[""55"",""65"",""0""]","[""7"",""0""]","[""1"",""2"",""0""]","[""active"",""once""]","[""2"",""2"",""1"",""0"",""3"",""0""]","[[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""22"",[""mul"",""skill_level"",""14""]]]]","[""10 skill_level 5 * +"",""22 skill_level 14 * +""]","[[""compare"",""1"",[""plus"",""22"",[""mul"",""skill_level"",""14""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""]]","[""22 skill_level 14 * +""]","[""weapon_range""]","[""0""]","[""60000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-28""],[""name"",""Curse Resistance""],[""limit"",""archer""],[""action"",""28""],[""image"",""active107""],[""desc"",""#nIncrease the resistance on Curse.""],[""ability"",""#nCurse Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!""],[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""22"",[""mul"",""skill_level"",""14""]]],[""level"",""55"",""65"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""2"",""0""],[""compare"",""1"",[""plus"",""22"",[""mul"",""skill_level"",""14""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""],[""type"",""active"",""once""],[""motion"",""0"",""9"",""none""],[""ridemotion"",""0"",""4"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""2"",""2"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,4440
Non-Attribution Resistance,2,,#nIncrease the resistance on Non-Attribution.,,active108,,,#nNon-Attribution Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!,,,22 skill_level 14 * +,0,60000,weapon_range,,,archer-29,1,"[""archer""]","[""29""]","[""56"",""65"",""0""]","[""7"",""0""]","[""1"",""2"",""0""]","[""active"",""once""]","[""2"",""2"",""1"",""0"",""3"",""0""]","[[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""22"",[""mul"",""skill_level"",""14""]]]]","[""10 skill_level 5 * +"",""22 skill_level 14 * +""]","[[""compare"",""1"",[""plus"",""22"",[""mul"",""skill_level"",""14""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""]]","[""22 skill_level 14 * +""]","[""weapon_range""]","[""0""]","[""60000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-29""],[""name"",""Non-Attribution Resistance""],[""limit"",""archer""],[""action"",""29""],[""image"",""active108""],[""desc"",""#nIncrease the resistance on Non-Attribution.""],[""ability"",""#nNon-Attribution Resistance + %1!d! %%#nLasting Time : 900#nEnergy used : %2!d!""],[""parameter"",""1"",[""plus"",""10"",[""mul"",""skill_level"",""5""]]],[""parameter"",""2"",[""plus"",""22"",[""mul"",""skill_level"",""14""]]],[""level"",""56"",""65"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""2"",""0""],[""compare"",""1"",[""plus"",""22"",[""mul"",""skill_level"",""14""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""],[""type"",""active"",""once""],[""motion"",""0"",""9"",""none""],[""ridemotion"",""0"",""4"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""2"",""2"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,4462
Emergency Escape,2,,#nRun fastly to escape from the danger temporally#nIt effects on all your group members#nwho are near you.,,active109,,,#nLasting Time : 38,,,70,0,900000,weapon_range,,,archer-30,1,"[""archer""]","[""31""]","[""59"",""0""]","[""7"",""0""]","[""1"",""0""]","[""active"",""once""]","[""2"",""2"",""1"",""0"",""3"",""4""]",[],[],"[[""compare"",""1"",""70""],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""900000""]]","[""70""]","[""weapon_range""]","[""0""]","[""900000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-30""],[""name"",""Emergency Escape""],[""limit"",""archer""],[""action"",""31""],[""image"",""active109""],[""desc"",""#nRun fastly to escape from the danger temporally#nIt effects on all your group members#nwho are near you.""],[""ability"",""#nLasting Time : 38""],[""level"",""59"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""0""],[""compare"",""1"",""70""],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""900000""],[""type"",""active"",""once""],[""motion"",""0"",""9"",""none""],[""battleride"",""0""],[""damagetype"",""0""],[""property"",""2"",""2"",""1"",""0"",""3"",""4""]]",bango-file,jobsystem.dat,4484
Critical Hit,1,,#nThe power of attack is increased.#n And the percentage of activation remains same as 15%,,passive007,,,,,,0,0,0,0,,,archer-31,1,"[""archer""]","[""32""]","[""61"",""0""]","[""7"",""0""]","[""1"",""0""]","[""passive"",""etc""]","[""2"",""2"",""1"",""1"",""9"",""0""]",[],[],"[[""compare"",""1"",""0""],[""compare"",""2"",""0""],[""compare"",""3"",""0""],[""compare"",""4"",""0""]]","[""0""]","[""0""]","[""0""]","[""0""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-31""],[""name"",""Critical Hit""],[""limit"",""archer""],[""action"",""32""],[""image"",""passive007""],[""desc"",""#nThe power of attack is increased.#n And the percentage of activation remains same as 15%""],[""level"",""61"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""1"",""0""],[""compare"",""1"",""0""],[""compare"",""2"",""0""],[""compare"",""3"",""0""],[""compare"",""4"",""0""],[""type"",""passive"",""etc""],[""motion"",""0"",""0"",""none""],[""property"",""2"",""2"",""1"",""1"",""9"",""0""]]",bango-file,jobsystem.dat,4505
Decrease of Target Range,2,,#nDecrease 50% of the range of selected target.,,active110,,,#nLasting Time : 15#nEnergy used : 50,,,50,0,30000,200,,,archer-32,1,"[""archer""]","[""33""]","[""52"",""0""]","[""11"",""0""]","[""1"",""0""]","[""active"",""use""]","[""2"",""3"",""0"",""0"",""2"",""5""]",[],[],"[[""compare"",""1"",""50""],[""compare"",""2"",""200""],[""compare"",""3"",""0""],[""compare"",""4"",""30000""]]","[""50""]","[""200""]","[""0""]","[""30000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-32""],[""name"",""Decrease of Target Range""],[""limit"",""archer""],[""action"",""33""],[""image"",""active110""],[""desc"",""#nDecrease 50% of the range of selected target.""],[""ability"",""#nLasting Time : 15#nEnergy used : 50""],[""level"",""52"",""0""],[""grade"",""11"",""0""],[""maxlevel"",""1"",""0""],[""compare"",""1"",""50""],[""compare"",""2"",""200""],[""compare"",""3"",""0""],[""compare"",""4"",""30000""],[""type"",""active"",""use""],[""motion"",""0"",""11"",""none""],[""ridemotion"",""0"",""4"",""none""],[""battleride"",""1""],[""damagetype"",""3""],[""targetkind"",""1"",""2""],[""property"",""2"",""3"",""0"",""0"",""2"",""5""]]",bango-file,jobsystem.dat,4525
MP Vaporization,2,,#nVaporize the target's MP for certain amount of time.,,active111,,,#nMP Consumption for %1!d!#nEnergy used : %2!d!,,,40 skill_level 16 * +,2400,30000,160,,,archer-33,1,"[""archer""]","[""34""]","[""53"",""65"",""0""]","[""11"",""0""]","[""1"",""2"",""0""]","[""active"",""use""]","[""2"",""3"",""0"",""0"",""2"",""5""]","[[""parameter"",""1"",[""plus"",""100"",[""mul"",""skill_level"",""250""]]],[""parameter"",""2"",[""plus"",""40"",[""mul"",""skill_level"",""16""]]]]","[""100 skill_level 250 * +"",""40 skill_level 16 * +""]","[[""compare"",""1"",[""plus"",""40"",[""mul"",""skill_level"",""16""]]],[""compare"",""2"",""160""],[""compare"",""3"",""2400""],[""compare"",""4"",""30000""]]","[""40 skill_level 16 * +""]","[""160""]","[""2400""]","[""30000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-33""],[""name"",""MP Vaporization""],[""limit"",""archer""],[""action"",""34""],[""image"",""active111""],[""desc"",""#nVaporize the target's MP for certain amount of time.""],[""ability"",""#nMP Consumption for %1!d!#nEnergy used : %2!d!""],[""parameter"",""1"",[""plus"",""100"",[""mul"",""skill_level"",""250""]]],[""parameter"",""2"",[""plus"",""40"",[""mul"",""skill_level"",""16""]]],[""level"",""53"",""65"",""0""],[""grade"",""11"",""0""],[""maxlevel"",""1"",""2"",""0""],[""compare"",""1"",[""plus"",""40"",[""mul"",""skill_level"",""16""]]],[""compare"",""2"",""160""],[""compare"",""3"",""2400""],[""compare"",""4"",""30000""],[""type"",""active"",""use""],[""motion"",""10"",""11"",""none""],[""ridemotion"",""2"",""3"",""none""],[""battleride"",""1""],[""damagetype"",""3""],[""targetkind"",""1""],[""property"",""2"",""3"",""0"",""0"",""2"",""5""]]",bango-file,jobsystem.dat,4546
Curse of Critical Hit,2,,#nDecrease the activation percentage of Cirtical Hit temporally.,,active112,,,#nPercentage of Cirtical Hit - %1!d! %%#nLasting Time : %2!d!#nEnergy used : 26,,,26,0,60000,200,,,archer-34,1,"[""archer""]","[""35""]","[""54"",""67"",""0""]","[""11"",""0""]","[""1"",""2"",""0""]","[""active"",""use""]","[""2"",""3"",""0"",""0"",""2"",""1""]","[[""parameter"",""1"",[""plus"",""25"",[""mul"",""skill_level"",""25""]]],[""parameter"",""2"",[""plus"",""50"",[""mul"",""skill_level"",""20""]]]]","[""25 skill_level 25 * +"",""50 skill_level 20 * +""]","[[""compare"",""1"",""26""],[""compare"",""2"",""200""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""]]","[""26""]","[""200""]","[""0""]","[""60000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""archer-34""],[""name"",""Curse of Critical Hit""],[""limit"",""archer""],[""action"",""35""],[""image"",""active112""],[""desc"",""#nDecrease the activation percentage of Cirtical Hit temporally.""],[""ability"",""#nPercentage of Cirtical Hit - %1!d! %%#nLasting Time : %2!d!#nEnergy used : 26""],[""parameter"",""1"",[""plus"",""25"",[""mul"",""skill_level"",""25""]]],[""parameter"",""2"",[""plus"",""50"",[""mul"",""skill_level"",""20""]]],[""level"",""54"",""67"",""0""],[""grade"",""11"",""0""],[""maxlevel"",""1"",""2"",""0""],[""compare"",""1"",""26""],[""compare"",""2"",""200""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""],[""type"",""active"",""use""],[""motion"",""0"",""11"",""none""],[""ridemotion"",""0"",""4"",""none""],[""battleride"",""1""],[""damagetype"",""3""],[""targetkind"",""1"",""2""],[""property"",""2"",""3"",""0"",""0"",""2"",""1""]]",bango-file,jobsystem.dat,4569
