ita_azon,ita_itype,ita_grade,ita_class,ita_type,ita_name,ita_lvllim,ita_rev,ita_price,ita_pic,ita_pic2,ita_3d,bango_name_id,bango_description,bango_image,bango_action_json,bango_class_json,bango_code_json,bango_country_json,bango_limit_json,bango_sell,bango_endurance,bango_specialty_json,bango_record_json,provenance,source_file,source_line
670,,G65,Knight,,Dragon Giant Sword of Sky,65,,0,,,,870,,Wea123,"[""18"",""2""]","[""weapon"",""sword2h""]","[""1"",""2"",""1"",""1""]","[""2""]","[""Knight"",""65""]",3182400,36,"[""specialty"",[""aspeed"",""1400""],[""Str"",""9""],[""Hth"",""3""],[""Attack"",""600"",""670""],[""hp"",""500""],[""hit"",""85""]]","[""item"",[""name"",""870""],[""Index"",""670""],[""Image"",""Wea123""],[""Action"",""18"",""2""],[""class"",""weapon"",""sword2h""],[""code"",""1"",""2"",""1"",""1""],[""country"",""2""],[""level"",""65""],[""wear"",""1""],[""limit"",""Knight"",""65""],[""range"",""32""],[""buy"",""0""],[""sell"",""3182400""],[""endurance"",""36""],[""maxprotect"",""280""],[""specialty"",[""aspeed"",""1400""],[""Str"",""9""],[""Hth"",""3""],[""Attack"",""600"",""670""],[""hp"",""500""],[""hit"",""85""]]]",bango-file,inititem.dat,1933
671,,G65,Archer,,Dragon Bow of Sky,65,,0,,,,871,,Wea124,"[""12"",""2""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""65""]",3182400,34,"[""specialty"",[""aspeed"",""800""],[""Str"",""1""],[""Hth"",""2""],[""Dex"",""9""],[""Attack"",""345"",""415""],[""hp"",""450""],[""mp"",""50""],[""hit"",""84""]]","[""item"",[""name"",""871""],[""Index"",""671""],[""Image"",""Wea124""],[""Action"",""12"",""2""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""65""],[""wear"",""1""],[""limit"",""archer"",""65""],[""range"",""176""],[""buy"",""0""],[""sell"",""3182400""],[""endurance"",""34""],[""maxprotect"",""280""],[""specialty"",[""aspeed"",""800""],[""Str"",""1""],[""Hth"",""2""],[""Dex"",""9""],[""Attack"",""345"",""415""],[""hp"",""450""],[""mp"",""50""],[""hit"",""84""]]]",bango-file,inititem.dat,1936
672,,G65,Mage,,Dragon Stick of Sky,65,,0,,,,872,,Wea125,"[""12"",""2""]","[""weapon"",""wand""]","[""1"",""2"",""1"",""3""]","[""2""]","[""mage"",""65""]",3182400,34,"[""specialty"",[""aspeed"",""1000""],[""Hth"",""1""],[""Int"",""8""],[""Wis"",""3""],[""Attack"",""210"",""220""],[""Magic"",""420"",""490""],[""hp"",""350""],[""mp"",""200""],[""hit"",""75""]]","[""item"",[""name"",""872""],[""Index"",""672""],[""Image"",""Wea125""],[""Action"",""12"",""2""],[""class"",""weapon"",""wand""],[""code"",""1"",""2"",""1"",""3""],[""country"",""2""],[""level"",""65""],[""wear"",""1""],[""limit"",""mage"",""65""],[""range"",""18""],[""buy"",""0""],[""sell"",""3182400""],[""endurance"",""34""],[""maxprotect"",""280""],[""specialty"",[""aspeed"",""1000""],[""Hth"",""1""],[""Int"",""8""],[""Wis"",""3""],[""Attack"",""210"",""220""],[""Magic"",""420"",""490""],[""hp"",""350""],[""mp"",""200""],[""hit"",""75""]]]",bango-file,inititem.dat,1939
673,,G60,Knight,,Scaled Armor of Darkness,60,,0,,,,873,,Def152,"[""9"",""1""]","[""defense"",""upperarmor""]","[""2"",""3"",""3"",""0""]","[""2""]","[""Knight"",""60""]",520000,24,"[""specialty"",[""Str"",""6""],[""Hth"",""3""],[""defense"",""60""],[""dodge"",""21""],[""absorb"",""7""]]","[""item"",[""name"",""873""],[""Index"",""673""],[""Image"",""Def152""],[""Action"",""9"",""1""],[""class"",""defense"",""upperarmor""],[""code"",""2"",""3"",""3"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""Knight"",""60""],[""buy"",""0""],[""sell"",""520000""],[""endurance"",""24""],[""specialty"",[""Str"",""6""],[""Hth"",""3""],[""defense"",""60""],[""dodge"",""21""],[""absorb"",""7""]]]",bango-file,inititem.dat,1944
674,,G60,Knight,,Scaled Helmet of  Darkness,58,,0,,,,874,,Def153,"[""9"",""1""]","[""defense"",""helmet""]","[""2"",""3"",""4"",""0""]","[""2""]","[""Knight"",""58""]",280000,14,"[""specialty"",[""Str"",""1""],[""Hth"",""2""],[""defense"",""58""],[""dodge"",""13""],[""absorb"",""4""]]","[""item"",[""name"",""874""],[""Index"",""674""],[""Image"",""Def153""],[""Action"",""9"",""1""],[""class"",""defense"",""helmet""],[""code"",""2"",""3"",""4"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""Knight"",""58""],[""buy"",""0""],[""sell"",""280000""],[""endurance"",""14""],[""specialty"",[""Str"",""1""],[""Hth"",""2""],[""defense"",""58""],[""dodge"",""13""],[""absorb"",""4""]]]",bango-file,inititem.dat,1947
675,,G60,Knight,,Scaled Gloves of Darkness,56,,0,,,,875,,Def154,"[""9"",""1""]","[""defense"",""gauntlet""]","[""2"",""3"",""5"",""0""]","[""2""]","[""Knight"",""56""]",200000,10,"[""specialty"",[""Str"",""3""],[""defense"",""59""],[""dodge"",""10""],[""absorb"",""3""]]","[""item"",[""name"",""875""],[""Index"",""675""],[""Image"",""Def154""],[""Action"",""9"",""1""],[""class"",""defense"",""gauntlet""],[""code"",""2"",""3"",""5"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""Knight"",""56""],[""buy"",""0""],[""sell"",""200000""],[""endurance"",""10""],[""specialty"",[""Str"",""3""],[""defense"",""59""],[""dodge"",""10""],[""absorb"",""3""]]]",bango-file,inititem.dat,1950
676,,G60,Knight,,Scaled Shoes of  Darkness,57,,0,,,,876,,Def155,"[""9"",""1""]","[""defense"",""boots""]","[""2"",""3"",""6"",""0""]","[""2""]","[""Knight"",""57""]",240000,12,"[""specialty"",[""Hth"",""1""],[""Dex"",""2""],[""defense"",""45""],[""dodge"",""23""],[""absorb"",""3""]]","[""item"",[""name"",""876""],[""Index"",""676""],[""Image"",""Def155""],[""Action"",""9"",""1""],[""class"",""defense"",""boots""],[""code"",""2"",""3"",""6"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""Knight"",""57""],[""buy"",""0""],[""sell"",""240000""],[""endurance"",""12""],[""specialty"",[""Hth"",""1""],[""Dex"",""2""],[""defense"",""45""],[""dodge"",""23""],[""absorb"",""3""]]]",bango-file,inititem.dat,1953
677,,G60,Knight,,Scaled Shorts of Darkness,59,,0,,,,877,,Def156,"[""9"",""1""]","[""defense"",""lowerarmor""]","[""2"",""3"",""7"",""0""]","[""2""]","[""Knight"",""59""]",440000,20,"[""specialty"",[""Str"",""1""],[""Hth"",""2""],[""defense"",""40""],[""dodge"",""23""],[""absorb"",""5""]]","[""item"",[""name"",""877""],[""Index"",""677""],[""Image"",""Def156""],[""Action"",""9"",""1""],[""class"",""defense"",""lowerarmor""],[""code"",""2"",""3"",""7"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""Knight"",""59""],[""buy"",""0""],[""sell"",""440000""],[""endurance"",""20""],[""specialty"",[""Str"",""1""],[""Hth"",""2""],[""defense"",""40""],[""dodge"",""23""],[""absorb"",""5""]]]",bango-file,inititem.dat,1956
678,,G60,Archer,,Armor of Darkness,60,,0,,,,878,,Def157,"[""9"",""1""]","[""defense"",""upperarmor""]","[""2"",""3"",""3"",""0""]","[""2""]","[""archer"",""60""]",520000,24,"[""specialty"",[""Str"",""2""],[""Hth"",""3""],[""Dex"",""4""],[""defense"",""62""],[""dodge"",""22""],[""absorb"",""5""]]","[""item"",[""name"",""878""],[""Index"",""678""],[""Image"",""Def157""],[""Action"",""9"",""1""],[""class"",""defense"",""upperarmor""],[""code"",""2"",""3"",""3"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""archer"",""60""],[""buy"",""0""],[""sell"",""520000""],[""endurance"",""24""],[""specialty"",[""Str"",""2""],[""Hth"",""3""],[""Dex"",""4""],[""defense"",""62""],[""dodge"",""22""],[""absorb"",""5""]]]",bango-file,inititem.dat,1959
679,,G60,Archer,,Helmet of Darkness,58,,0,,,,879,,Def158,"[""9"",""1""]","[""defense"",""helmet""]","[""2"",""3"",""4"",""0""]","[""2""]","[""archer"",""58""]",280000,14,"[""specialty"",[""Str"",""1""],[""Hth"",""2""],[""defense"",""40""],[""dodge"",""14""],[""absorb"",""3""]]","[""item"",[""name"",""879""],[""Index"",""679""],[""Image"",""Def158""],[""Action"",""9"",""1""],[""class"",""defense"",""helmet""],[""code"",""2"",""3"",""4"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""archer"",""58""],[""buy"",""0""],[""sell"",""280000""],[""endurance"",""14""],[""specialty"",[""Str"",""1""],[""Hth"",""2""],[""defense"",""40""],[""dodge"",""14""],[""absorb"",""3""]]]",bango-file,inititem.dat,1962
680,,G60,Archer,,Gloves of Darkness,56,,0,,,,880,,Def159,"[""9"",""1""]","[""defense"",""gauntlet""]","[""2"",""3"",""5"",""0""]","[""2""]","[""archer"",""56""]",200000,10,"[""specialty"",[""Str"",""3""],[""defense"",""38""],[""dodge"",""13""],[""absorb"",""3""]]","[""item"",[""name"",""880""],[""Index"",""680""],[""Image"",""Def159""],[""Action"",""9"",""1""],[""class"",""defense"",""gauntlet""],[""code"",""2"",""3"",""5"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""archer"",""56""],[""buy"",""0""],[""sell"",""200000""],[""endurance"",""10""],[""specialty"",[""Str"",""3""],[""defense"",""38""],[""dodge"",""13""],[""absorb"",""3""]]]",bango-file,inititem.dat,1965
681,,G60,Archer,,Shoes of Darkness,57,,0,,,,881,,Def160,"[""9"",""1""]","[""defense"",""boots""]","[""2"",""3"",""6"",""0""]","[""2""]","[""archer"",""57""]",240000,12,"[""specialty"",[""Hth"",""1""],[""Dex"",""2""],[""defense"",""36""],[""dodge"",""42""],[""absorb"",""2""]]","[""item"",[""name"",""881""],[""Index"",""681""],[""Image"",""Def160""],[""Action"",""9"",""1""],[""class"",""defense"",""boots""],[""code"",""2"",""3"",""6"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""archer"",""57""],[""buy"",""0""],[""sell"",""240000""],[""endurance"",""12""],[""specialty"",[""Hth"",""1""],[""Dex"",""2""],[""defense"",""36""],[""dodge"",""42""],[""absorb"",""2""]]]",bango-file,inititem.dat,1968
682,,G60,Archer,,Shorts of Darkness,59,,0,,,,882,,Def161,"[""9"",""1""]","[""defense"",""lowerarmor""]","[""2"",""3"",""7"",""0""]","[""2""]","[""archer"",""59""]",440000,20,"[""specialty"",[""Str"",""1""],[""Hth"",""2""],[""defense"",""25""],[""dodge"",""46""],[""absorb"",""3""]]","[""item"",[""name"",""882""],[""Index"",""682""],[""Image"",""Def161""],[""Action"",""9"",""1""],[""class"",""defense"",""lowerarmor""],[""code"",""2"",""3"",""7"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""archer"",""59""],[""buy"",""0""],[""sell"",""440000""],[""endurance"",""20""],[""specialty"",[""Str"",""1""],[""Hth"",""2""],[""defense"",""25""],[""dodge"",""46""],[""absorb"",""3""]]]",bango-file,inititem.dat,1971
683,,G60,Mage,,DaeChangEau of Darkness,60,,0,,,,883,,Def162,"[""9"",""1""]","[""defense"",""upperarmor""]","[""2"",""3"",""3"",""0""]","[""2""]","[""mage"",""60""]",520000,24,"[""specialty"",[""Hth"",""3""],[""Int"",""6""],[""defense"",""41""],[""dodge"",""31""],[""resistfire"",""8""],[""resistice"",""8""],[""resistlitning"",""8""],[""resistcurse"",""5""],[""resistpalsy"",""5""]]","[""item"",[""name"",""883""],[""Index"",""683""],[""Image"",""Def162""],[""Action"",""9"",""1""],[""class"",""defense"",""upperarmor""],[""code"",""2"",""3"",""3"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""mage"",""60""],[""buy"",""0""],[""sell"",""520000""],[""endurance"",""24""],[""specialty"",[""Hth"",""3""],[""Int"",""6""],[""defense"",""41""],[""dodge"",""31""],[""resistfire"",""8""],[""resistice"",""8""],[""resistlitning"",""8""],[""resistcurse"",""5""],[""resistpalsy"",""5""]]]",bango-file,inititem.dat,1974
684,,G60,Mage,,Hair Decoration of Darkness,58,,0,,,,884,,Def163,"[""9"",""1""]","[""defense"",""helmet""]","[""2"",""3"",""4"",""0""]","[""2""]","[""mage"",""58""]",280000,14,"[""specialty"",[""Hth"",""2""],[""Int"",""1""],[""defense"",""33""],[""dodge"",""16""],[""resistfire"",""7""],[""resistice"",""7""],[""resistlitning"",""7""],[""resistcurse"",""4""],[""resistpalsy"",""4""]]","[""item"",[""name"",""884""],[""Index"",""684""],[""Image"",""Def163""],[""Action"",""9"",""1""],[""class"",""defense"",""helmet""],[""code"",""2"",""3"",""4"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""mage"",""58""],[""buy"",""0""],[""sell"",""280000""],[""endurance"",""14""],[""specialty"",[""Hth"",""2""],[""Int"",""1""],[""defense"",""33""],[""dodge"",""16""],[""resistfire"",""7""],[""resistice"",""7""],[""resistlitning"",""7""],[""resistcurse"",""4""],[""resistpalsy"",""4""]]]",bango-file,inititem.dat,1977
685,,G60,Mage,,DaeChangEau Gloves of Darkness,56,,0,,,,885,,Def164,"[""9"",""1""]","[""defense"",""gauntlet""]","[""2"",""3"",""5"",""0""]","[""2""]","[""mage"",""56""]",200000,10,"[""specialty"",[""Int"",""1""],[""Wis"",""2""],[""defense"",""33""],[""dodge"",""14""],[""resistfire"",""6""],[""resistice"",""6""],[""resistlitning"",""6""],[""resistcurse"",""4""],[""resistpalsy"",""4""]]","[""item"",[""name"",""885""],[""Index"",""685""],[""Image"",""Def164""],[""Action"",""9"",""1""],[""class"",""defense"",""gauntlet""],[""code"",""2"",""3"",""5"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""mage"",""56""],[""buy"",""0""],[""sell"",""200000""],[""endurance"",""10""],[""specialty"",[""Int"",""1""],[""Wis"",""2""],[""defense"",""33""],[""dodge"",""14""],[""resistfire"",""6""],[""resistice"",""6""],[""resistlitning"",""6""],[""resistcurse"",""4""],[""resistpalsy"",""4""]]]",bango-file,inititem.dat,1980
686,,G60,Mage,,DaeChangEau Shoes of Darkness,57,,0,,,,886,,Def165,"[""9"",""1""]","[""defense"",""boots""]","[""2"",""3"",""6"",""0""]","[""2""]","[""mage"",""57""]",240000,12,"[""specialty"",[""Int"",""1""],[""Wis"",""2""],[""defense"",""38""],[""dodge"",""27""],[""resistfire"",""4""],[""resistice"",""4""],[""resistlitning"",""4""],[""resistcurse"",""5""],[""resistpalsy"",""5""]]","[""item"",[""name"",""886""],[""Index"",""686""],[""Image"",""Def165""],[""Action"",""9"",""1""],[""class"",""defense"",""boots""],[""code"",""2"",""3"",""6"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""mage"",""57""],[""buy"",""0""],[""sell"",""240000""],[""endurance"",""12""],[""specialty"",[""Int"",""1""],[""Wis"",""2""],[""defense"",""38""],[""dodge"",""27""],[""resistfire"",""4""],[""resistice"",""4""],[""resistlitning"",""4""],[""resistcurse"",""5""],[""resistpalsy"",""5""]]]",bango-file,inititem.dat,1983
687,,G60,Mage,,DaeChangEau Shorts of Darkness,59,,0,,,,887,,Def166,"[""9"",""1""]","[""defense"",""lowerarmor""]","[""2"",""3"",""7"",""0""]","[""2""]","[""mage"",""59""]",440000,20,"[""specialty"",[""Hth"",""2""],[""Int"",""1""],[""defense"",""29""],[""dodge"",""35""],[""resistfire"",""4""],[""resistice"",""4""],[""resistlitning"",""4""],[""resistcurse"",""4""],[""resistpalsy"",""4""]]","[""item"",[""name"",""887""],[""Index"",""687""],[""Image"",""Def166""],[""Action"",""9"",""1""],[""class"",""defense"",""lowerarmor""],[""code"",""2"",""3"",""7"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""mage"",""59""],[""buy"",""0""],[""sell"",""440000""],[""endurance"",""20""],[""specialty"",[""Hth"",""2""],[""Int"",""1""],[""defense"",""29""],[""dodge"",""35""],[""resistfire"",""4""],[""resistice"",""4""],[""resistlitning"",""4""],[""resistcurse"",""4""],[""resistpalsy"",""4""]]]",bango-file,inititem.dat,1986
688,,G60,Knight,,Shield of Darkness,60,,0,,,,888,Only the one who get recognized by the king can get this shield.#nIt can be bought with Reward points.#nReward Point 300000,Def167,"[""5"",""1""]","[""defense"",""shield""]","[""2"",""3"",""8"",""0""]","[""2""]","[""Knight"",""60""]",0,15,"[""specialty"",[""defense"",""34""],[""dodge"",""10""],[""absorb"",""2""]]","[""item"",[""name"",""888""],[""Index"",""688""],[""Image"",""Def167""],[""Action"",""5"",""1""],[""desc"",""13032""],[""class"",""defense"",""shield""],[""code"",""2"",""3"",""8"",""0""],[""country"",""2""],[""level"",""60""],[""wear"",""1""],[""limit"",""Knight"",""60""],[""buy"",""0""],[""sell"",""0""],[""endurance"",""15""],[""specialty"",[""defense"",""34""],[""dodge"",""10""],[""absorb"",""2""]]]",bango-file,inititem.dat,1990
689,,,,,Gold Pot,,,0,,,,889,"When it used, other item is out of the pot in a certain probability.",item182,[],"[""general"",""etc""]","[""4"",""8"",""0"",""0""]","[""2""]",[],,,[],"[""item"",[""name"",""889""],[""Index"",""689""],[""Image"",""item182""],[""desc"",""351""],[""class"",""general"",""etc""],[""code"",""4"",""8"",""0"",""0""],[""country"",""2""],[""use"",""1""],[""plural"",""1""],[""cooltime"",""1000""],[""buy"",""0""]]",bango-file,inititem.dat,1995
690,,,,,Silver Pot,,,0,,,,890,"When it used, other item is out of the pot in a certain probability.",item183,[],"[""general"",""etc""]","[""4"",""8"",""0"",""0""]","[""2""]",[],,,[],"[""item"",[""name"",""890""],[""Index"",""690""],[""Image"",""item183""],[""desc"",""351""],[""class"",""general"",""etc""],[""code"",""4"",""8"",""0"",""0""],[""country"",""2""],[""use"",""1""],[""plural"",""1""],[""cooltime"",""1000""],[""buy"",""0""]]",bango-file,inititem.dat,1998
691,,G53,Knight,,Diamond Treasure Sword,53,,0,,,,2000,,Wea070,"[""9"",""1""]","[""weapon"",""sword""]","[""1"",""1"",""1"",""1""]","[""2""]","[""Knight"",""53""]",198900,32,"[""specialty"",[""aspeed"",""700""],[""Str"",""1""],[""Hth"",""2""],[""Dex"",""1""],[""Attack"",""167"",""207""],[""hp"",""200""],[""hit"",""74""]]","[""item"",[""name"",""2000""],[""Index"",""691""],[""Image"",""Wea070""],[""Action"",""9"",""1""],[""class"",""weapon"",""sword""],[""code"",""1"",""1"",""1"",""1""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""Knight"",""53""],[""range"",""30""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""32""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""700""],[""Str"",""1""],[""Hth"",""2""],[""Dex"",""1""],[""Attack"",""167"",""207""],[""hp"",""200""],[""hit"",""74""]]]",bango-file,inititem.dat,2003
692,,G53,Knight,,Diamond Sword of Pain,53,,0,,,,2001,,Wea071,"[""9"",""2""]","[""weapon"",""sword""]","[""1"",""1"",""1"",""1""]","[""2""]","[""Knight"",""53""]",198900,32,"[""specialty"",[""aspeed"",""700""],[""Str"",""4""],[""Attack"",""182"",""222""],[""hp"",""150""],[""hit"",""70""]]","[""item"",[""name"",""2001""],[""Index"",""692""],[""Image"",""Wea071""],[""Action"",""9"",""2""],[""class"",""weapon"",""sword""],[""code"",""1"",""1"",""1"",""1""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""Knight"",""53""],[""range"",""30""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""32""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""700""],[""Str"",""4""],[""Attack"",""182"",""222""],[""hp"",""150""],[""hit"",""70""]]]",bango-file,inititem.dat,2006
693,,G53,Knight,,Diamond Sword of Phantom,53,,0,,,,2002,,Wea072,"[""9"",""3""]","[""weapon"",""sword""]","[""1"",""1"",""1"",""1""]","[""2""]","[""Knight"",""53""]",198900,32,"[""specialty"",[""aspeed"",""700""],[""Str"",""1""],[""Hth"",""2""],[""Wis"",""1""],[""Dex"",""1""],[""Attack"",""152"",""192""],[""hp"",""100""],[""mp"",""50""],[""hit"",""78""]]","[""item"",[""name"",""2002""],[""Index"",""693""],[""Image"",""Wea072""],[""Action"",""9"",""3""],[""class"",""weapon"",""sword""],[""code"",""1"",""1"",""1"",""1""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""Knight"",""53""],[""range"",""30""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""32""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""700""],[""Str"",""1""],[""Hth"",""2""],[""Wis"",""1""],[""Dex"",""1""],[""Attack"",""152"",""192""],[""hp"",""100""],[""mp"",""50""],[""hit"",""78""]]]",bango-file,inititem.dat,2009
694,,G53,Knight,,Diamond Giant Sword,53,,0,,,,2003,,Wea073,"[""10"",""1""]","[""weapon"",""sword2h""]","[""1"",""2"",""1"",""1""]","[""2""]","[""Knight"",""53""]",198900,32,"[""specialty"",[""aspeed"",""1400""],[""Str"",""3""],[""Dex"",""1""],[""Attack"",""400"",""480""],[""hp"",""150""],[""hit"",""74""]]","[""item"",[""name"",""2003""],[""Index"",""694""],[""Image"",""Wea073""],[""Action"",""10"",""1""],[""class"",""weapon"",""sword2h""],[""code"",""1"",""2"",""1"",""1""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""Knight"",""53""],[""range"",""32""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""32""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""1400""],[""Str"",""3""],[""Dex"",""1""],[""Attack"",""400"",""480""],[""hp"",""150""],[""hit"",""74""]]]",bango-file,inititem.dat,2012
695,,G53,Knight,,Diamond Giant Sword of Pain,53,,0,,,,2004,,Wea074,"[""10"",""2""]","[""weapon"",""sword2h""]","[""1"",""2"",""1"",""1""]","[""2""]","[""Knight"",""53""]",198900,32,"[""specialty"",[""aspeed"",""1400""],[""Str"",""5""],[""Attack"",""440"",""520""],[""hp"",""100""],[""hit"",""68""]]","[""item"",[""name"",""2004""],[""Index"",""695""],[""Image"",""Wea074""],[""Action"",""10"",""2""],[""class"",""weapon"",""sword2h""],[""code"",""1"",""2"",""1"",""1""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""Knight"",""53""],[""range"",""32""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""32""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""1400""],[""Str"",""5""],[""Attack"",""440"",""520""],[""hp"",""100""],[""hit"",""68""]]]",bango-file,inititem.dat,2015
696,,G53,Knight,,Diamond Giant Sword of Phantom,53,,0,,,,2005,,Wea075,"[""10"",""3""]","[""weapon"",""sword2h""]","[""1"",""2"",""1"",""1""]","[""2""]","[""Knight"",""53""]",198900,32,"[""specialty"",[""aspeed"",""1400""],[""Str"",""2""],[""Wis"",""1""],[""Dex"",""1""],[""Attack"",""370"",""450""],[""hp"",""100""],[""mp"",""50""],[""hit"",""76""]]","[""item"",[""name"",""2005""],[""Index"",""696""],[""Image"",""Wea075""],[""Action"",""10"",""3""],[""class"",""weapon"",""sword2h""],[""code"",""1"",""2"",""1"",""1""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""Knight"",""53""],[""range"",""32""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""32""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""1400""],[""Str"",""2""],[""Wis"",""1""],[""Dex"",""1""],[""Attack"",""370"",""450""],[""hp"",""100""],[""mp"",""50""],[""hit"",""76""]]]",bango-file,inititem.dat,2018
697,,G53,Archer,,Diamond Bow,53,,0,,,,2006,,Wea076,"[""8"",""1""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""53""]",198900,30,"[""specialty"",[""aspeed"",""800""],[""Str"",""1""],[""Dex"",""3""],[""Attack"",""132"",""202""],[""hp"",""150""],[""hit"",""72""]]","[""item"",[""name"",""2006""],[""Index"",""697""],[""Image"",""Wea076""],[""Action"",""8"",""1""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""archer"",""53""],[""range"",""176""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""30""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""800""],[""Str"",""1""],[""Dex"",""3""],[""Attack"",""132"",""202""],[""hp"",""150""],[""hit"",""72""]]]",bango-file,inititem.dat,2021
698,,G53,Archer,,Diamond Bow of Pain,53,,0,,,,2007,,Wea077,"[""8"",""2""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""53""]",198900,30,"[""specialty"",[""aspeed"",""800""],[""Dex"",""4""],[""Attack"",""147"",""217""],[""hp"",""100""],[""mp"",""50""],[""hit"",""70""]]","[""item"",[""name"",""2007""],[""Index"",""698""],[""Image"",""Wea077""],[""Action"",""8"",""2""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""archer"",""53""],[""range"",""176""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""30""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""800""],[""Dex"",""4""],[""Attack"",""147"",""217""],[""hp"",""100""],[""mp"",""50""],[""hit"",""70""]]]",bango-file,inititem.dat,2024
699,,G53,Archer,,Diamond Bow of Phantom,53,,0,,,,2008,,Wea078,"[""8"",""3""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""53""]",198900,30,"[""specialty"",[""aspeed"",""800""],[""Str"",""2""],[""Dex"",""3""],[""Attack"",""117"",""187""],[""hp"",""100""],[""hit"",""74""]]","[""item"",[""name"",""2008""],[""Index"",""699""],[""Image"",""Wea078""],[""Action"",""8"",""3""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""archer"",""53""],[""range"",""176""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""30""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""800""],[""Str"",""2""],[""Dex"",""3""],[""Attack"",""117"",""187""],[""hp"",""100""],[""hit"",""74""]]]",bango-file,inititem.dat,2027
700,,G53,Mage,,Diamond Stick,53,,0,,,,2009,,Wea079,"[""8"",""1""]","[""weapon"",""wand""]","[""1"",""2"",""1"",""3""]","[""2""]","[""mage"",""53""]",198900,30,"[""specialty"",[""aspeed"",""1000""],[""Int"",""3""],[""Wis"",""1""],[""Attack"",""119"",""129""],[""Magic"",""155"",""245""],[""hp"",""150""],[""hit"",""64""]]","[""item"",[""name"",""2009""],[""Index"",""700""],[""Image"",""Wea079""],[""Action"",""8"",""1""],[""class"",""weapon"",""wand""],[""code"",""1"",""2"",""1"",""3""],[""country"",""2""],[""level"",""53""],[""wear"",""1""],[""limit"",""mage"",""53""],[""range"",""18""],[""buy"",""0""],[""sell"",""198900""],[""endurance"",""30""],[""maxprotect"",""120""],[""specialty"",[""aspeed"",""1000""],[""Int"",""3""],[""Wis"",""1""],[""Attack"",""119"",""129""],[""Magic"",""155"",""245""],[""hp"",""150""],[""hit"",""64""]]]",bango-file,inititem.dat,2030
