pre_azon,pre_name,pre_rev,pre_grd,bango_level,bango_sell,bango_stats_json,bango_record_json,provenance,source_file,source_line
138,Lightning[Royal],,,0,1,"[[""resistlitning"",""8""]]","[""prefix"",[""index"",""138""],[""level"",""0""],[""sell"",""1""],[""resistlitning"",""8""]]",bango-file,prefix.dat,140
139,Lightning[Small],,,0,1,"[[""resistlitning"",""3""]]","[""prefix"",[""index"",""139""],[""level"",""0""],[""sell"",""1""],[""resistlitning"",""3""]]",bango-file,prefix.dat,141
140,Ice[Royal],,,0,1,"[[""resistice"",""8""]]","[""prefix"",[""index"",""140""],[""level"",""0""],[""sell"",""1""],[""resistice"",""8""]]",bango-file,prefix.dat,142
141,Ice[Small],,,0,1,"[[""resistice"",""3""]]","[""prefix"",[""index"",""141""],[""level"",""0""],[""sell"",""1""],[""resistice"",""3""]]",bango-file,prefix.dat,143
142,Resist[Royal],,,0,1,"[[""resistpalsy"",""8""]]","[""prefix"",[""index"",""142""],[""level"",""0""],[""sell"",""1""],[""resistpalsy"",""8""]]",bango-file,prefix.dat,144
143,Resist[Small],,,0,1,"[[""resistpalsy"",""3""]]","[""prefix"",[""index"",""143""],[""level"",""0""],[""sell"",""1""],[""resistpalsy"",""3""]]",bango-file,prefix.dat,145
144,Curse[Royal],,,0,1,"[[""resistcurse"",""8""]]","[""prefix"",[""index"",""144""],[""level"",""0""],[""sell"",""1""],[""resistcurse"",""8""]]",bango-file,prefix.dat,146
145,Curse[Small],,,0,1,"[[""resistcurse"",""3""]]","[""prefix"",[""index"",""145""],[""level"",""0""],[""sell"",""1""],[""resistcurse"",""3""]]",bango-file,prefix.dat,147
146,+1,,,0,1,"[[""hp"",""100""],[""attack"",""3"",""5""]]","[""prefix"",[""index"",""146""],[""level"",""0""],[""sell"",""1""],[""hp"",""100""],[""attack"",""3"",""5""]]",bango-file,prefix.dat,150
147,+2,,,0,1,"[[""hp"",""200""],[""attack"",""7"",""9""]]","[""prefix"",[""index"",""147""],[""level"",""0""],[""sell"",""1""],[""hp"",""200""],[""attack"",""7"",""9""]]",bango-file,prefix.dat,151
148,+3,,,0,1,"[[""hp"",""300""],[""attack"",""14"",""18""]]","[""prefix"",[""index"",""148""],[""level"",""0""],[""sell"",""1""],[""hp"",""300""],[""attack"",""14"",""18""]]",bango-file,prefix.dat,152
149,+4,,,0,1,"[[""hp"",""400""],[""attack"",""21"",""27""]]","[""prefix"",[""index"",""149""],[""level"",""0""],[""sell"",""1""],[""hp"",""400""],[""attack"",""21"",""27""]]",bango-file,prefix.dat,153
150,+5,,,0,1,"[[""hp"",""500""],[""attack"",""32"",""40""]]","[""prefix"",[""index"",""150""],[""level"",""0""],[""sell"",""1""],[""hp"",""500""],[""attack"",""32"",""40""]]",bango-file,prefix.dat,154
151,+6,,,0,1,"[[""hp"",""600""],[""attack"",""43"",""53""]]","[""prefix"",[""index"",""151""],[""level"",""0""],[""sell"",""1""],[""hp"",""600""],[""attack"",""43"",""53""]]",bango-file,prefix.dat,155
152,+7,,,0,1,"[[""hp"",""700""],[""attack"",""57"",""71""]]","[""prefix"",[""index"",""152""],[""level"",""0""],[""sell"",""1""],[""hp"",""700""],[""attack"",""57"",""71""]]",bango-file,prefix.dat,156
153,+1,,,0,1,"[[""hp"",""100""],[""magic"",""3"",""5""]]","[""prefix"",[""index"",""153""],[""level"",""0""],[""sell"",""1""],[""hp"",""100""],[""magic"",""3"",""5""]]",bango-file,prefix.dat,157
154,+2,,,0,1,"[[""hp"",""200""],[""magic"",""7"",""9""]]","[""prefix"",[""index"",""154""],[""level"",""0""],[""sell"",""1""],[""hp"",""200""],[""magic"",""7"",""9""]]",bango-file,prefix.dat,158
155,+3,,,0,1,"[[""hp"",""300""],[""magic"",""14"",""18""]]","[""prefix"",[""index"",""155""],[""level"",""0""],[""sell"",""1""],[""hp"",""300""],[""magic"",""14"",""18""]]",bango-file,prefix.dat,159
156,+4,,,0,1,"[[""hp"",""400""],[""magic"",""21"",""27""]]","[""prefix"",[""index"",""156""],[""level"",""0""],[""sell"",""1""],[""hp"",""400""],[""magic"",""21"",""27""]]",bango-file,prefix.dat,160
157,+5,,,0,1,"[[""hp"",""500""],[""magic"",""32"",""40""]]","[""prefix"",[""index"",""157""],[""level"",""0""],[""sell"",""1""],[""hp"",""500""],[""magic"",""32"",""40""]]",bango-file,prefix.dat,161
158,+6,,,0,1,"[[""hp"",""600""],[""magic"",""43"",""53""]]","[""prefix"",[""index"",""158""],[""level"",""0""],[""sell"",""1""],[""hp"",""600""],[""magic"",""43"",""53""]]",bango-file,prefix.dat,162
159,+7,,,0,1,"[[""hp"",""700""],[""magic"",""57"",""71""]]","[""prefix"",[""index"",""159""],[""level"",""0""],[""sell"",""1""],[""hp"",""700""],[""magic"",""57"",""71""]]",bango-file,prefix.dat,163
160,+1,,,0,1,"[[""hit"",""1""]]","[""prefix"",[""index"",""160""],[""level"",""0""],[""sell"",""1""],[""hit"",""1""]]",bango-file,prefix.dat,164
161,+2,,,0,1,"[[""hit"",""2""]]","[""prefix"",[""index"",""161""],[""level"",""0""],[""sell"",""1""],[""hit"",""2""]]",bango-file,prefix.dat,165
162,+3,,,0,1,"[[""hit"",""4""]]","[""prefix"",[""index"",""162""],[""level"",""0""],[""sell"",""1""],[""hit"",""4""]]",bango-file,prefix.dat,166
163,+4,,,0,1,"[[""hit"",""6""]]","[""prefix"",[""index"",""163""],[""level"",""0""],[""sell"",""1""],[""hit"",""6""]]",bango-file,prefix.dat,167
164,+5,,,0,1,"[[""hit"",""9""]]","[""prefix"",[""index"",""164""],[""level"",""0""],[""sell"",""1""],[""hit"",""9""]]",bango-file,prefix.dat,168
165,+6,,,0,1,"[[""hit"",""12""]]","[""prefix"",[""index"",""165""],[""level"",""0""],[""sell"",""1""],[""hit"",""12""]]",bango-file,prefix.dat,169
166,+7,,,0,1,"[[""hit"",""16""]]","[""prefix"",[""index"",""166""],[""level"",""0""],[""sell"",""1""],[""hit"",""16""]]",bango-file,prefix.dat,170
1001,+1,,,0,1,"[[""hp"",""26""]]","[""prefix"",[""index"",""1001""],[""level"",""0""],[""sell"",""1""],[""hp"",""26""]]",bango-file,prefix.dat,186
1002,+2,,,0,1,"[[""hp"",""32""]]","[""prefix"",[""index"",""1002""],[""level"",""0""],[""sell"",""1""],[""hp"",""32""]]",bango-file,prefix.dat,187
1003,+3,,,0,1,"[[""hp"",""38""]]","[""prefix"",[""index"",""1003""],[""level"",""0""],[""sell"",""1""],[""hp"",""38""]]",bango-file,prefix.dat,188
1004,+4,,,0,1,"[[""hp"",""44""]]","[""prefix"",[""index"",""1004""],[""level"",""0""],[""sell"",""1""],[""hp"",""44""]]",bango-file,prefix.dat,189
1005,+5,,,0,1,"[[""hp"",""50""]]","[""prefix"",[""index"",""1005""],[""level"",""0""],[""sell"",""1""],[""hp"",""50""]]",bango-file,prefix.dat,190
1006,+6,,,0,1,"[[""hp"",""56""]]","[""prefix"",[""index"",""1006""],[""level"",""0""],[""sell"",""1""],[""hp"",""56""]]",bango-file,prefix.dat,191
1007,+7,,,0,1,"[[""hp"",""62""]]","[""prefix"",[""index"",""1007""],[""level"",""0""],[""sell"",""1""],[""hp"",""62""]]",bango-file,prefix.dat,192
1008,+8,,,0,1,"[[""hp"",""68""]]","[""prefix"",[""index"",""1008""],[""level"",""0""],[""sell"",""1""],[""hp"",""68""]]",bango-file,prefix.dat,193
1009,+9,,,0,1,"[[""hp"",""74""]]","[""prefix"",[""index"",""1009""],[""level"",""0""],[""sell"",""1""],[""hp"",""74""]]",bango-file,prefix.dat,194
1010,+10,,,0,1,"[[""hp"",""80""]]","[""prefix"",[""index"",""1010""],[""level"",""0""],[""sell"",""1""],[""hp"",""80""]]",bango-file,prefix.dat,195
1011,+11,,,0,1,"[[""hp"",""86""]]","[""prefix"",[""index"",""1011""],[""level"",""0""],[""sell"",""1""],[""hp"",""86""]]",bango-file,prefix.dat,196
1012,+12,,,0,1,"[[""hp"",""92""]]","[""prefix"",[""index"",""1012""],[""level"",""0""],[""sell"",""1""],[""hp"",""92""]]",bango-file,prefix.dat,197
1013,+13,,,0,1,"[[""hp"",""98""]]","[""prefix"",[""index"",""1013""],[""level"",""0""],[""sell"",""1""],[""hp"",""98""]]",bango-file,prefix.dat,198
1014,+14,,,0,1,"[[""hp"",""104""]]","[""prefix"",[""index"",""1014""],[""level"",""0""],[""sell"",""1""],[""hp"",""104""]]",bango-file,prefix.dat,199
1015,+15,,,0,1,"[[""hp"",""110""]]","[""prefix"",[""index"",""1015""],[""level"",""0""],[""sell"",""1""],[""hp"",""110""]]",bango-file,prefix.dat,200
1021,<unresolved prefixname:1021>,,,0,1,"[[""hp"",""32""]]","[""prefix"",[""index"",""1021""],[""level"",""0""],[""sell"",""1""],[""hp"",""32""]]",bango-file,prefix.dat,202
1022,<unresolved prefixname:1022>,,,0,1,"[[""hp"",""43""]]","[""prefix"",[""index"",""1022""],[""level"",""0""],[""sell"",""1""],[""hp"",""43""]]",bango-file,prefix.dat,203
1023,<unresolved prefixname:1023>,,,0,1,"[[""hp"",""53""]]","[""prefix"",[""index"",""1023""],[""level"",""0""],[""sell"",""1""],[""hp"",""53""]]",bango-file,prefix.dat,204
1024,<unresolved prefixname:1024>,,,0,1,"[[""hp"",""64""]]","[""prefix"",[""index"",""1024""],[""level"",""0""],[""sell"",""1""],[""hp"",""64""]]",bango-file,prefix.dat,205
1025,<unresolved prefixname:1025>,,,0,1,"[[""hp"",""75""]]","[""prefix"",[""index"",""1025""],[""level"",""0""],[""sell"",""1""],[""hp"",""75""]]",bango-file,prefix.dat,206
1026,<unresolved prefixname:1026>,,,0,1,"[[""hp"",""86""]]","[""prefix"",[""index"",""1026""],[""level"",""0""],[""sell"",""1""],[""hp"",""86""]]",bango-file,prefix.dat,207
1027,<unresolved prefixname:1027>,,,0,1,"[[""hp"",""96""]]","[""prefix"",[""index"",""1027""],[""level"",""0""],[""sell"",""1""],[""hp"",""96""]]",bango-file,prefix.dat,208
1028,<unresolved prefixname:1028>,,,0,1,"[[""hp"",""107""]]","[""prefix"",[""index"",""1028""],[""level"",""0""],[""sell"",""1""],[""hp"",""107""]]",bango-file,prefix.dat,209
1029,<unresolved prefixname:1029>,,,0,1,"[[""hp"",""118""]]","[""prefix"",[""index"",""1029""],[""level"",""0""],[""sell"",""1""],[""hp"",""118""]]",bango-file,prefix.dat,210
1030,<unresolved prefixname:1030>,,,0,1,"[[""hp"",""129""]]","[""prefix"",[""index"",""1030""],[""level"",""0""],[""sell"",""1""],[""hp"",""129""]]",bango-file,prefix.dat,211
1031,<unresolved prefixname:1031>,,,0,1,"[[""hp"",""139""]]","[""prefix"",[""index"",""1031""],[""level"",""0""],[""sell"",""1""],[""hp"",""139""]]",bango-file,prefix.dat,212
1032,<unresolved prefixname:1032>,,,0,1,"[[""hp"",""150""]]","[""prefix"",[""index"",""1032""],[""level"",""0""],[""sell"",""1""],[""hp"",""150""]]",bango-file,prefix.dat,213
1033,<unresolved prefixname:1033>,,,0,1,"[[""hp"",""161""]]","[""prefix"",[""index"",""1033""],[""level"",""0""],[""sell"",""1""],[""hp"",""161""]]",bango-file,prefix.dat,214
1034,<unresolved prefixname:1034>,,,0,1,"[[""hp"",""172""]]","[""prefix"",[""index"",""1034""],[""level"",""0""],[""sell"",""1""],[""hp"",""172""]]",bango-file,prefix.dat,215
1035,<unresolved prefixname:1035>,,,0,1,"[[""hp"",""182""]]","[""prefix"",[""index"",""1035""],[""level"",""0""],[""sell"",""1""],[""hp"",""182""]]",bango-file,prefix.dat,216
1041,<unresolved prefixname:1041>,,,0,1,"[[""hp"",""42""]]","[""prefix"",[""index"",""1041""],[""level"",""0""],[""sell"",""1""],[""hp"",""42""]]",bango-file,prefix.dat,218
1042,<unresolved prefixname:1042>,,,0,1,"[[""hp"",""60""]]","[""prefix"",[""index"",""1042""],[""level"",""0""],[""sell"",""1""],[""hp"",""60""]]",bango-file,prefix.dat,219
1043,<unresolved prefixname:1043>,,,0,1,"[[""hp"",""77""]]","[""prefix"",[""index"",""1043""],[""level"",""0""],[""sell"",""1""],[""hp"",""77""]]",bango-file,prefix.dat,220
1044,<unresolved prefixname:1044>,,,0,1,"[[""hp"",""95""]]","[""prefix"",[""index"",""1044""],[""level"",""0""],[""sell"",""1""],[""hp"",""95""]]",bango-file,prefix.dat,221
1045,<unresolved prefixname:1045>,,,0,1,"[[""hp"",""112""]]","[""prefix"",[""index"",""1045""],[""level"",""0""],[""sell"",""1""],[""hp"",""112""]]",bango-file,prefix.dat,222
1046,<unresolved prefixname:1046>,,,0,1,"[[""hp"",""130""]]","[""prefix"",[""index"",""1046""],[""level"",""0""],[""sell"",""1""],[""hp"",""130""]]",bango-file,prefix.dat,223
1047,<unresolved prefixname:1047>,,,0,1,"[[""hp"",""147""]]","[""prefix"",[""index"",""1047""],[""level"",""0""],[""sell"",""1""],[""hp"",""147""]]",bango-file,prefix.dat,224
1048,<unresolved prefixname:1048>,,,0,1,"[[""hp"",""165""]]","[""prefix"",[""index"",""1048""],[""level"",""0""],[""sell"",""1""],[""hp"",""165""]]",bango-file,prefix.dat,225
1049,<unresolved prefixname:1049>,,,0,1,"[[""hp"",""182""]]","[""prefix"",[""index"",""1049""],[""level"",""0""],[""sell"",""1""],[""hp"",""182""]]",bango-file,prefix.dat,226
1050,<unresolved prefixname:1050>,,,0,1,"[[""hp"",""200""]]","[""prefix"",[""index"",""1050""],[""level"",""0""],[""sell"",""1""],[""hp"",""200""]]",bango-file,prefix.dat,227
1051,<unresolved prefixname:1051>,,,0,1,"[[""hp"",""217""]]","[""prefix"",[""index"",""1051""],[""level"",""0""],[""sell"",""1""],[""hp"",""217""]]",bango-file,prefix.dat,228
1052,<unresolved prefixname:1052>,,,0,1,"[[""hp"",""235""]]","[""prefix"",[""index"",""1052""],[""level"",""0""],[""sell"",""1""],[""hp"",""235""]]",bango-file,prefix.dat,229
1053,<unresolved prefixname:1053>,,,0,1,"[[""hp"",""252""]]","[""prefix"",[""index"",""1053""],[""level"",""0""],[""sell"",""1""],[""hp"",""252""]]",bango-file,prefix.dat,230
1054,<unresolved prefixname:1054>,,,0,1,"[[""hp"",""270""]]","[""prefix"",[""index"",""1054""],[""level"",""0""],[""sell"",""1""],[""hp"",""270""]]",bango-file,prefix.dat,231
1055,<unresolved prefixname:1055>,,,0,1,"[[""hp"",""287""]]","[""prefix"",[""index"",""1055""],[""level"",""0""],[""sell"",""1""],[""hp"",""287""]]",bango-file,prefix.dat,232
1201,<unresolved prefixname:1201>,,,0,1,"[[""mp"",""9""]]","[""prefix"",[""index"",""1201""],[""level"",""0""],[""sell"",""1""],[""mp"",""9""]]",bango-file,prefix.dat,236
1202,<unresolved prefixname:1202>,,,0,1,"[[""mp"",""12""]]","[""prefix"",[""index"",""1202""],[""level"",""0""],[""sell"",""1""],[""mp"",""12""]]",bango-file,prefix.dat,237
1203,<unresolved prefixname:1203>,,,0,1,"[[""mp"",""14""]]","[""prefix"",[""index"",""1203""],[""level"",""0""],[""sell"",""1""],[""mp"",""14""]]",bango-file,prefix.dat,238
1204,<unresolved prefixname:1204>,,,0,1,"[[""mp"",""16""]]","[""prefix"",[""index"",""1204""],[""level"",""0""],[""sell"",""1""],[""mp"",""16""]]",bango-file,prefix.dat,239
1205,<unresolved prefixname:1205>,,,0,1,"[[""mp"",""18""]]","[""prefix"",[""index"",""1205""],[""level"",""0""],[""sell"",""1""],[""mp"",""18""]]",bango-file,prefix.dat,240
1206,<unresolved prefixname:1206>,,,0,1,"[[""mp"",""21""]]","[""prefix"",[""index"",""1206""],[""level"",""0""],[""sell"",""1""],[""mp"",""21""]]",bango-file,prefix.dat,241
1207,<unresolved prefixname:1207>,,,0,1,"[[""mp"",""23""]]","[""prefix"",[""index"",""1207""],[""level"",""0""],[""sell"",""1""],[""mp"",""23""]]",bango-file,prefix.dat,242
1208,<unresolved prefixname:1208>,,,0,1,"[[""mp"",""25""]]","[""prefix"",[""index"",""1208""],[""level"",""0""],[""sell"",""1""],[""mp"",""25""]]",bango-file,prefix.dat,243
1209,<unresolved prefixname:1209>,,,0,1,"[[""mp"",""27""]]","[""prefix"",[""index"",""1209""],[""level"",""0""],[""sell"",""1""],[""mp"",""27""]]",bango-file,prefix.dat,244
1210,<unresolved prefixname:1210>,,,0,1,"[[""mp"",""30""]]","[""prefix"",[""index"",""1210""],[""level"",""0""],[""sell"",""1""],[""mp"",""30""]]",bango-file,prefix.dat,245
1211,<unresolved prefixname:1211>,,,0,1,"[[""mp"",""32""]]","[""prefix"",[""index"",""1211""],[""level"",""0""],[""sell"",""1""],[""mp"",""32""]]",bango-file,prefix.dat,246
1212,<unresolved prefixname:1212>,,,0,1,"[[""mp"",""34""]]","[""prefix"",[""index"",""1212""],[""level"",""0""],[""sell"",""1""],[""mp"",""34""]]",bango-file,prefix.dat,247
1213,<unresolved prefixname:1213>,,,0,1,"[[""mp"",""36""]]","[""prefix"",[""index"",""1213""],[""level"",""0""],[""sell"",""1""],[""mp"",""36""]]",bango-file,prefix.dat,248
1214,<unresolved prefixname:1214>,,,0,1,"[[""mp"",""39""]]","[""prefix"",[""index"",""1214""],[""level"",""0""],[""sell"",""1""],[""mp"",""39""]]",bango-file,prefix.dat,249
1215,<unresolved prefixname:1215>,,,0,1,"[[""mp"",""41""]]","[""prefix"",[""index"",""1215""],[""level"",""0""],[""sell"",""1""],[""mp"",""41""]]",bango-file,prefix.dat,250
1221,<unresolved prefixname:1221>,,,0,1,"[[""mp"",""15""]]","[""prefix"",[""index"",""1221""],[""level"",""0""],[""sell"",""1""],[""mp"",""15""]]",bango-file,prefix.dat,252
1222,<unresolved prefixname:1222>,,,0,1,"[[""mp"",""20""]]","[""prefix"",[""index"",""1222""],[""level"",""0""],[""sell"",""1""],[""mp"",""20""]]",bango-file,prefix.dat,253
1223,<unresolved prefixname:1223>,,,0,1,"[[""mp"",""25""]]","[""prefix"",[""index"",""1223""],[""level"",""0""],[""sell"",""1""],[""mp"",""25""]]",bango-file,prefix.dat,254
1224,<unresolved prefixname:1224>,,,0,1,"[[""mp"",""30""]]","[""prefix"",[""index"",""1224""],[""level"",""0""],[""sell"",""1""],[""mp"",""30""]]",bango-file,prefix.dat,255
1225,<unresolved prefixname:1225>,,,0,1,"[[""mp"",""35""]]","[""prefix"",[""index"",""1225""],[""level"",""0""],[""sell"",""1""],[""mp"",""35""]]",bango-file,prefix.dat,256
1226,<unresolved prefixname:1226>,,,0,1,"[[""mp"",""40""]]","[""prefix"",[""index"",""1226""],[""level"",""0""],[""sell"",""1""],[""mp"",""40""]]",bango-file,prefix.dat,257
1227,<unresolved prefixname:1227>,,,0,1,"[[""mp"",""45""]]","[""prefix"",[""index"",""1227""],[""level"",""0""],[""sell"",""1""],[""mp"",""45""]]",bango-file,prefix.dat,258
1228,<unresolved prefixname:1228>,,,0,1,"[[""mp"",""50""]]","[""prefix"",[""index"",""1228""],[""level"",""0""],[""sell"",""1""],[""mp"",""50""]]",bango-file,prefix.dat,259
1229,<unresolved prefixname:1229>,,,0,1,"[[""mp"",""55""]]","[""prefix"",[""index"",""1229""],[""level"",""0""],[""sell"",""1""],[""mp"",""55""]]",bango-file,prefix.dat,260
1230,<unresolved prefixname:1230>,,,0,1,"[[""mp"",""60""]]","[""prefix"",[""index"",""1230""],[""level"",""0""],[""sell"",""1""],[""mp"",""60""]]",bango-file,prefix.dat,261
1231,<unresolved prefixname:1231>,,,0,1,"[[""mp"",""65""]]","[""prefix"",[""index"",""1231""],[""level"",""0""],[""sell"",""1""],[""mp"",""65""]]",bango-file,prefix.dat,262
1232,<unresolved prefixname:1232>,,,0,1,"[[""mp"",""70""]]","[""prefix"",[""index"",""1232""],[""level"",""0""],[""sell"",""1""],[""mp"",""70""]]",bango-file,prefix.dat,263
1233,<unresolved prefixname:1233>,,,0,1,"[[""mp"",""75""]]","[""prefix"",[""index"",""1233""],[""level"",""0""],[""sell"",""1""],[""mp"",""75""]]",bango-file,prefix.dat,264
1234,<unresolved prefixname:1234>,,,0,1,"[[""mp"",""80""]]","[""prefix"",[""index"",""1234""],[""level"",""0""],[""sell"",""1""],[""mp"",""80""]]",bango-file,prefix.dat,265
1235,<unresolved prefixname:1235>,,,0,1,"[[""mp"",""85""]]","[""prefix"",[""index"",""1235""],[""level"",""0""],[""sell"",""1""],[""mp"",""85""]]",bango-file,prefix.dat,266
1241,<unresolved prefixname:1241>,,,0,1,"[[""mp"",""21""]]","[""prefix"",[""index"",""1241""],[""level"",""0""],[""sell"",""1""],[""mp"",""21""]]",bango-file,prefix.dat,268
1242,<unresolved prefixname:1242>,,,0,1,"[[""mp"",""30""]]","[""prefix"",[""index"",""1242""],[""level"",""0""],[""sell"",""1""],[""mp"",""30""]]",bango-file,prefix.dat,269
1243,<unresolved prefixname:1243>,,,0,1,"[[""mp"",""38""]]","[""prefix"",[""index"",""1243""],[""level"",""0""],[""sell"",""1""],[""mp"",""38""]]",bango-file,prefix.dat,270
1244,<unresolved prefixname:1244>,,,0,1,"[[""mp"",""47""]]","[""prefix"",[""index"",""1244""],[""level"",""0""],[""sell"",""1""],[""mp"",""47""]]",bango-file,prefix.dat,271
1245,<unresolved prefixname:1245>,,,0,1,"[[""mp"",""56""]]","[""prefix"",[""index"",""1245""],[""level"",""0""],[""sell"",""1""],[""mp"",""56""]]",bango-file,prefix.dat,272
1246,<unresolved prefixname:1246>,,,0,1,"[[""mp"",""65""]]","[""prefix"",[""index"",""1246""],[""level"",""0""],[""sell"",""1""],[""mp"",""65""]]",bango-file,prefix.dat,273
1247,<unresolved prefixname:1247>,,,0,1,"[[""mp"",""73""]]","[""prefix"",[""index"",""1247""],[""level"",""0""],[""sell"",""1""],[""mp"",""73""]]",bango-file,prefix.dat,274
1248,<unresolved prefixname:1248>,,,0,1,"[[""mp"",""82""]]","[""prefix"",[""index"",""1248""],[""level"",""0""],[""sell"",""1""],[""mp"",""82""]]",bango-file,prefix.dat,275
1249,<unresolved prefixname:1249>,,,0,1,"[[""mp"",""91""]]","[""prefix"",[""index"",""1249""],[""level"",""0""],[""sell"",""1""],[""mp"",""91""]]",bango-file,prefix.dat,276
1250,<unresolved prefixname:1250>,,,0,1,"[[""mp"",""100""]]","[""prefix"",[""index"",""1250""],[""level"",""0""],[""sell"",""1""],[""mp"",""100""]]",bango-file,prefix.dat,277
1251,<unresolved prefixname:1251>,,,0,1,"[[""mp"",""108""]]","[""prefix"",[""index"",""1251""],[""level"",""0""],[""sell"",""1""],[""mp"",""108""]]",bango-file,prefix.dat,278
1252,<unresolved prefixname:1252>,,,0,1,"[[""mp"",""117""]]","[""prefix"",[""index"",""1252""],[""level"",""0""],[""sell"",""1""],[""mp"",""117""]]",bango-file,prefix.dat,279
1253,<unresolved prefixname:1253>,,,0,1,"[[""mp"",""126""]]","[""prefix"",[""index"",""1253""],[""level"",""0""],[""sell"",""1""],[""mp"",""126""]]",bango-file,prefix.dat,280
1254,<unresolved prefixname:1254>,,,0,1,"[[""mp"",""135""]]","[""prefix"",[""index"",""1254""],[""level"",""0""],[""sell"",""1""],[""mp"",""135""]]",bango-file,prefix.dat,281
1255,<unresolved prefixname:1255>,,,0,1,"[[""mp"",""143""]]","[""prefix"",[""index"",""1255""],[""level"",""0""],[""sell"",""1""],[""mp"",""143""]]",bango-file,prefix.dat,282
1401,<unresolved prefixname:1401>,,,0,1,"[[""attack"",""1"",""1""],[""magic"",""1"",""1""]]","[""prefix"",[""index"",""1401""],[""level"",""0""],[""sell"",""1""],[""attack"",""1"",""1""],[""magic"",""1"",""1""]]",bango-file,prefix.dat,286
1402,<unresolved prefixname:1402>,,,0,1,"[[""attack"",""2"",""2""],[""magic"",""2"",""2""]]","[""prefix"",[""index"",""1402""],[""level"",""0""],[""sell"",""1""],[""attack"",""2"",""2""],[""magic"",""2"",""2""]]",bango-file,prefix.dat,287
1403,<unresolved prefixname:1403>,,,0,1,"[[""attack"",""2"",""2""],[""magic"",""2"",""2""]]","[""prefix"",[""index"",""1403""],[""level"",""0""],[""sell"",""1""],[""attack"",""2"",""2""],[""magic"",""2"",""2""]]",bango-file,prefix.dat,288
1404,<unresolved prefixname:1404>,,,0,1,"[[""attack"",""3"",""3""],[""magic"",""3"",""3""]]","[""prefix"",[""index"",""1404""],[""level"",""0""],[""sell"",""1""],[""attack"",""3"",""3""],[""magic"",""3"",""3""]]",bango-file,prefix.dat,289
1405,<unresolved prefixname:1405>,,,0,1,"[[""attack"",""3"",""3""],[""magic"",""3"",""3""]]","[""prefix"",[""index"",""1405""],[""level"",""0""],[""sell"",""1""],[""attack"",""3"",""3""],[""magic"",""3"",""3""]]",bango-file,prefix.dat,290
1406,<unresolved prefixname:1406>,,,0,1,"[[""attack"",""4"",""4""],[""magic"",""4"",""4""]]","[""prefix"",[""index"",""1406""],[""level"",""0""],[""sell"",""1""],[""attack"",""4"",""4""],[""magic"",""4"",""4""]]",bango-file,prefix.dat,291
1407,<unresolved prefixname:1407>,,,0,1,"[[""attack"",""4"",""4""],[""magic"",""4"",""4""]]","[""prefix"",[""index"",""1407""],[""level"",""0""],[""sell"",""1""],[""attack"",""4"",""4""],[""magic"",""4"",""4""]]",bango-file,prefix.dat,292
1408,<unresolved prefixname:1408>,,,0,1,"[[""attack"",""5"",""5""],[""magic"",""5"",""5""]]","[""prefix"",[""index"",""1408""],[""level"",""0""],[""sell"",""1""],[""attack"",""5"",""5""],[""magic"",""5"",""5""]]",bango-file,prefix.dat,293
1409,<unresolved prefixname:1409>,,,0,1,"[[""attack"",""5"",""5""],[""magic"",""5"",""5""]]","[""prefix"",[""index"",""1409""],[""level"",""0""],[""sell"",""1""],[""attack"",""5"",""5""],[""magic"",""5"",""5""]]",bango-file,prefix.dat,294
1410,<unresolved prefixname:1410>,,,0,1,"[[""attack"",""6"",""6""],[""magic"",""6"",""6""]]","[""prefix"",[""index"",""1410""],[""level"",""0""],[""sell"",""1""],[""attack"",""6"",""6""],[""magic"",""6"",""6""]]",bango-file,prefix.dat,295
1411,<unresolved prefixname:1411>,,,0,1,"[[""attack"",""6"",""6""],[""magic"",""6"",""6""]]","[""prefix"",[""index"",""1411""],[""level"",""0""],[""sell"",""1""],[""attack"",""6"",""6""],[""magic"",""6"",""6""]]",bango-file,prefix.dat,296
1412,<unresolved prefixname:1412>,,,0,1,"[[""attack"",""6"",""6""],[""magic"",""6"",""6""]]","[""prefix"",[""index"",""1412""],[""level"",""0""],[""sell"",""1""],[""attack"",""6"",""6""],[""magic"",""6"",""6""]]",bango-file,prefix.dat,297
1413,<unresolved prefixname:1413>,,,0,1,"[[""attack"",""7"",""7""],[""magic"",""7"",""7""]]","[""prefix"",[""index"",""1413""],[""level"",""0""],[""sell"",""1""],[""attack"",""7"",""7""],[""magic"",""7"",""7""]]",bango-file,prefix.dat,298
1414,<unresolved prefixname:1414>,,,0,1,"[[""attack"",""7"",""7""],[""magic"",""7"",""7""]]","[""prefix"",[""index"",""1414""],[""level"",""0""],[""sell"",""1""],[""attack"",""7"",""7""],[""magic"",""7"",""7""]]",bango-file,prefix.dat,299
1415,<unresolved prefixname:1415>,,,0,1,"[[""attack"",""8"",""8""],[""magic"",""8"",""8""]]","[""prefix"",[""index"",""1415""],[""level"",""0""],[""sell"",""1""],[""attack"",""8"",""8""],[""magic"",""8"",""8""]]",bango-file,prefix.dat,300
1421,<unresolved prefixname:1421>,,,0,1,"[[""attack"",""3"",""3""],[""magic"",""3"",""3""]]","[""prefix"",[""index"",""1421""],[""level"",""0""],[""sell"",""1""],[""attack"",""3"",""3""],[""magic"",""3"",""3""]]",bango-file,prefix.dat,302
